UserID,Type,CLGroup,CLRole,PlayerRole
10116.0,non-gamified,GroupC,Master,
10119.0,ont-gamified,Grupo Zeus,Master,Yee Achiever
10120.0,ont-gamified,Grupo Hélio,Master,Yee Socializer
10121.0,ont-gamified,Grupo Hades,Master,Yee Achiever
10122.0,non-gamified,GroupB,Apprentice,
10123.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10125.0,non-gamified,GroupB,Apprentice,
10126.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10127.0,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10128.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10129.0,non-gamified,GroupB,Apprentice,
10130.0,non-gamified,GroupC,Apprentice,
10131.0,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10132.0,non-gamified,GroupA,Apprentice,
10133.0,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10134.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10135.0,non-gamified,GroupB,Apprentice,
10136.0,non-gamified,GroupC,Apprentice,
10137.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10138.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10139.0,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10140.0,non-gamified,GroupC,Apprentice,
10141.0,ont-gamified,Grupo Apolo,Master,Yee Socializer
10142.0,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10143.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10144.0,non-gamified,GroupA,Master,
10145.0,non-gamified,GroupB,Master,
10146.0,non-gamified,GroupA,Apprentice,
10147.0,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10148.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10149.0,non-gamified,GroupA,Apprentice,
10151.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10152.0,ont-gamified,Grupo Morfeu,Master,Yee Achiever
10153.0,non-gamified,GroupA,Apprentice,
10154.0,non-gamified,GroupC,Apprentice,
10157.0,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10158.0,non-gamified,GroupD,Apprentice,
10159.0,non-gamified,GroupD,Apprentice,
10160.0,non-gamified,GroupD,Master,
