UserID,Type,CLGroup,CLRole,PlayerRole,logintimePA,firstsubmtimePA,viewtimePA,apxtPA,exatPA,nsubmPA,nevalPA,corrPA,nviewPA,logintimePB,firstsubmtimePB,viewtimePB,apxtPB,exatPB,nsubmPB,nevalPB,corrPB,nviewPB,logintimePC,firstsubmtimePC,viewtimePC,apxtPC,exatPC,nsubmPC,nevalPC,corrPC,nviewPC,logintimePD,firstsubmtimePD,viewtimePD,apxtPD,exatPD,nsubmPD,nevalPD,corrPD,nviewPD,PAs0,PAs1,PAs2,PAs3,PBs0,PBs1,PBs2,PBs3,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3
10116.0,non-gamified,GroupC,Master,NA,1480115731.0,1480116479.0,1480115902.0,1008.0,921.0,5.0,1.0,10.0,5.0,1480115731.0,1480117623.0,1480116929.0,2205.0,2094.0,9.0,1.0,10.0,5.0,1480115731.0,1480119372.0,1480119148.0,224.0,3.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0
10119.0,ont-gamified,Grupo Zeus,Master,Yee Achiever,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10120.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,1480114853.0,1480115912.0,1480115258.0,1965.0,6.0,4.0,4.0,10.0,7.0,1480114853.0,1480118414.0,1480115291.0,583868.0,0.0,2.0,2.0,10.0,7.0,1480114853.0,1480120848.0,1480118428.0,582861.0,1784.0,2.0,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10121.0,ont-gamified,Grupo Hades,Master,Yee Achiever,1480115258.0,1480117078.0,1480115554.0,2525.0,2305.0,14.0,3.0,10.0,5.0,1480115258.0,1480119428.0,1480118329.0,2509.0,2157.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10122.0,non-gamified,GroupB,Apprentice,NA,1480116051.0,1480116729.0,1480116108.0,621.0,3.0,1.0,1.0,10.0,3.0,1480116051.0,1480118090.0,1480116743.0,1347.0,0.0,1.0,1.0,10.0,2.0,1480116051.0,1480119671.0,1480118122.0,1549.0,54.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10126.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1480157909.0,1480161952.0,1480158060.0,5503.0,33.0,3.0,2.0,10.0,4.0,1480157909.0,1480163543.0,1480161050.0,2645.0,836.0,2.0,2.0,10.0,6.0,1480157909.0,1480164620.0,1480161052.0,43116.0,48.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10127.0,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,0.0,1480115863.0,1480115494.0,3321.0,2956.0,10.0,1.0,10.0,3.0,0.0,1480119910.0,1480118863.0,2043.0,2078.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10128.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,0.0,1480116929.0,1480115102.0,1827.0,1717.0,1.0,1.0,8.0,2.0,0.0,1480117994.0,1480116980.0,1244.0,231.0,2.0,2.0,8.0,5.0,0.0,1480120399.0,1480118240.0,2159.0,3.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10129.0,non-gamified,GroupB,Apprentice,NA,0.0,1480116353.0,1480115172.0,1504.0,887.0,3.0,3.0,10.0,3.0,0.0,1480118054.0,1480116691.0,56898.0,2729.0,6.0,6.0,10.0,10.0,1480171320.0,1480174483.0,1480173607.0,876.0,83.0,1.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
10130.0,non-gamified,GroupC,Apprentice,NA,1480114960.0,1480117219.0,1480115215.0,2004.0,11.0,1.0,1.0,10.0,1.0,1480114960.0,1480119573.0,1480117232.0,2341.0,4.0,1.0,1.0,10.0,2.0,1480114960.0,1480120303.0,1480119668.0,635.0,3.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA
