UserID,NroUSP,Gamified,Group,CLRole,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24
10230,10351992,no,Grupo1    Team 14,Mestre1,1,2,5,6,5,1,5,5,4,2,1,1,1,1,4,4,1,1,5,5,6,1,4,3
10222,9436110,no,Grupo1    Team 16,Mestre1,1,7,4,5,2,6,4,7,1,1,3,1,2,3,7,3,6,4,6,6,1,1,2,1
10233,9805320,no,Grupo1    Team 16,Aprendiz1,2,7,4,4,6,3,3,3,4,5,7,2,2,1,6,1,3,2,6,5,1,2,3,3
10227,9274382,no,Grupo1    Team 4,Aprendiz1,1,3,4,6,6,4,4,3,2,4,3,3,4,4,5,4,4,4,2,2,3,6,3,2
10234,10310676,no,Grupo1    Team 7,Mestre1,2,2,4,6,2,5,4,4,3,3,7,2,4,2,6,1,4,1,1,3,6,5,4,2
10226,10310342,no,Grupo1    Team 8,Mestre1,2,6,6,6,2,4,1,5,4,2,7,4,1,1,6,1,4,3,5,2,4,4,1,5
10189,9363926,yes,Grupo1   Hades,Mestre1,2,4,6,5,5,2,2,1,4,4,5,3,1,4,5,5,2,2,2,1,6,4,2,5
10186,10310551,yes,Grupo1    Ares,Aprendiz1,3,2,7,7,4,4,1,1,6,4,4,4,1,1,1,4,1,3,4,1,4,5,5,6
10217,9805341,no,Grupo1    Team 13,Mestre1,3,2,6,5,4,1,4,1,5,2,7,4,1,1,1,1,1,1,4,2,5,4,4,2
10248,9755822,no,,,3,6,6,7,7,1,5,1,7,7,1,1,1,5,2,3,1,1,1,1,7,7,7,4
10193,10276762,yes,Grupo1    Afrodite,Mestre1,4,2,3,5,4,5,3,3,5,2,6,5,2,1,5,1,3,1,4,2,5,6,5,4
10218,9842913,yes,Grupo1    Ares,Mestre1,4,2,6,6,5,4,1,1,3,4,3,3,2,3,3,4,3,2,2,2,4,4,3,2
10209,10262669,yes,Grupo1    Artemis,Aprendiz1,4,7,7,7,4,7,1,7,3,2,7,3,1,1,7,1,7,1,4,5,3,2,1,4
10202,10277036,no,Grupo1    Team 11,Aprendiz1,4,7,7,7,4,4,1,5,4,7,1,4,1,7,4,7,4,7,4,4,4,4,3,4
10219,10276831,no,Grupo1    Team 12,Mestre1,4,2,4,4,1,4,5,3,4,2,7,4,3,1,4,1,4,1,2,3,3,4,1,3
10185,10276960,no,Grupo1    Team 12,Aprendiz1,4,4,5,4,3,3,3,3,4,4,6,4,3,2,4,2,4,3,4,3,4,4,4,4
10238,10276953,no,Grupo1    Team 13,Aprendiz1,4,4,5,7,3,5,2,4,3,5,4,4,2,4,7,4,5,5,3,2,4,4,3,4
10228,10310492,no,Grupo1    Team 14,Aprendiz1,4,5,5,7,4,3,2,2,4,5,6,5,1,1,3,2,3,4,5,3,4,4,3,3
10216,10276720,no,Grupo1    Team 15,Mestre1,4,1,6,7,7,1,2,1,7,3,7,5,1,2,4,1,1,1,4,3,5,7,7,1
10220,9760151,no,Grupo1    Team 2,Aprendiz1,4,1,4,7,7,4,1,1,7,4,7,4,1,1,1,1,1,1,1,1,4,7,7,7
10188,10276995,no,Grupo1    Team 3,Mestre1,4,3,4,3,3,3,4,3,4,3,6,4,2,2,3,1,3,1,3,4,3,4,4,4
10192,10276682,no,Grupo1    Team 5,Aprendiz1,4,2,2,7,7,7,4,1,7,4,7,7,1,1,7,1,1,1,1,6,6,6,4,7
10214,10277022,no,Grupo1    Team 5,Mestre1,4,4,3,4,4,4,3,4,4,3,4,3,4,1,5,1,4,2,3,4,3,3,2,1
10191,10276981,no,Grupo1    Team 6,Mestre1,4,2,5,7,6,2,6,3,6,4,7,6,2,1,6,2,1,1,4,1,6,5,4,7
10210,10277015,no,Grupo1    Team 9,Aprendiz1,4,6,6,6,3,5,1,5,5,5,4,4,1,4,6,4,4,6,5,5,2,2,2,4
10179,10310759,no,Grupo1    Team 9,Mestre1,4,6,6,6,3,5,1,4,4,5,6,3,1,2,5,2,4,2,4,3,4,4,3,4
10174,10276852,yes,Grupo1    Urano,Mestre1,4,4,6,7,4,4,1,3,5,6,6,4,1,1,4,1,3,1,2,3,4,6,4,6
10231,10276911,yes,Grupo1   Caronte,Aprendiz1,7,1,5,7,6,1,1,1,7,5,7,7,1,1,2,1,1,1,6,1,7,7,7,7
10197,10276661,yes,Grupo1   Gaia,Aprendiz1,4,1,6,7,7,2,6,1,6,6,7,4,1,1,1,1,1,1,2,1,6,4,6,5
10199,10276737,yes,Grupo1   Gaia,Mestre1,4,1,4,7,7,1,4,1,4,4,2,4,2,3,1,1,1,1,4,1,4,7,7,1
10196,10310655,yes,Grupo1   Hefesto,Aprendiz1,4,6,5,4,2,1,1,4,4,5,7,4,1,1,7,1,1,1,4,4,4,4,4,4
10169,10377538,yes,Grupo1   Hefesto,Mestre1,4,4,6,6,6,6,2,2,6,2,7,6,2,1,2,4,2,2,2,2,6,6,6,6
10240,10276654,yes,Grupo1   Hera,Aprendiz1,4,6,5,6,6,7,4,5,3,4,7,4,3,1,7,1,7,1,7,7,2,4,4,4
10206,10310721,yes,Grupo1   Hera,Mestre1,4,1,5,6,7,1,2,2,6,4,2,4,2,3,2,3,1,2,3,2,5,5,6,3
10221,9082496,yes,Grupo1   Hermes,Aprendiz1,4,3,6,6,6,4,2,1,5,5,7,4,1,1,4,1,1,1,7,4,5,5,1,4
10215,9285227,yes,Grupo1   Zeus,Mestre1,4,1,6,6,6,1,1,1,7,2,7,4,3,1,1,1,1,1,1,1,6,5,4,4
10190,10276907,yes,Grupo1   Zeus,Aprendiz1,4,4,3,6,7,1,5,3,5,2,6,5,2,1,1,2,2,2,3,3,4,4,4,5
10170,10260351,yes,Grupo1    Afrodite,Aprendiz1,5,2,5,7,7,1,2,2,5,5,7,5,1,1,2,1,1,1,3,2,6,6,7,4
10181,10276866,no,Grupo1    Team 10,Mestre1,5,2,4,7,2,1,1,3,5,3,7,5,1,1,2,1,2,1,4,2,5,4,4,2
10212,9065750,no,Grupo1    Team 4,Mestre1,5,3,6,6,7,3,2,1,6,4,6,6,2,2,1,4,2,2,1,1,7,7,4,7
10195,10351971,yes,Grupo1    Urano,Aprendiz1,5,4,5,6,4,4,2,1,6,5,7,5,1,1,4,1,4,1,5,2,6,5,4,5
10184,10276675,yes,Grupo1   Apolo,Mestre1,5,5,6,7,7,1,1,1,5,4,4,5,1,1,4,3,1,1,2,2,4,4,4,4
10201,10276928,yes,Grupo1   Caronte,Mestre1,5,2,7,7,7,3,1,2,7,6,6,7,1,3,2,2,2,1,2,1,7,7,3,5
10223,9795185,yes,Grupo1   Cronus,Mestre1,6,2,6,5,6,2,3,1,6,3,7,6,3,1,2,2,1,1,6,3,7,7,6,6
10176,10276949,yes,Grupo1   Cronus,Aprendiz1,5,5,5,4,6,1,5,1,5,4,4,4,2,2,2,3,2,2,3,2,4,4,2,3
10183,10352030,yes,Grupo1   Hélio,Aprendiz1,5,3,5,5,5,2,2,4,4,4,5,4,2,2,2,3,2,3,2,2,4,4,4,3
10178,8656201,yes,Grupo1   Morfeu,Aprendiz1,5,4,5,5,5,2,2,1,5,5,5,5,1,1,3,4,1,1,4,3,5,5,5,5
10232,10276974,yes,Grupo1    Artemis,Mestre1,6,2,6,5,5,4,3,2,4,4,1,5,1,1,4,2,2,2,2,1,6,5,4,7
10172,10273971,no,Grupo1    Team 1,Mestre1,6,4,5,7,3,2,4,3,6,3,7,5,6,1,2,1,2,1,2,3,5,5,5,4
10224,9368772,no,Grupo1    Team 10,Aprendiz1,6,4,4,7,7,4,4,7,7,4,7,7,2,1,7,1,7,3,5,3,7,6,2,6
10237,10377688,no,Grupo1    Team 11,Mestre1,6,3,2,6,7,5,3,2,5,4,7,4,2,1,2,1,1,1,3,2,6,5,4,3
10171,698531,no,Grupo1    Team 6,Aprendiz1,6,2,3,7,7,2,1,1,6,2,6,6,1,1,3,1,2,1,2,1,5,5,2,6
10208,10276932,no,Grupo1    Team 7,Aprendiz1,6,4,7,7,7,4,1,1,6,5,7,7,1,1,2,4,1,1,2,2,7,6,5,6
10200,9795272,yes,Grupo1   Hades,Aprendiz1,6,2,5,6,5,2,2,3,6,3,7,7,4,1,4,1,2,1,3,2,6,6,4,7
10175,10310700,yes,Grupo1   Hélio,Mestre1,6,1,5,7,7,1,1,1,6,5,7,6,5,1,1,1,1,1,1,1,5,5,6,6
10204,10310471,yes,Grupo1   Hermes,Mestre1,6,2,6,6,7,4,3,1,7,6,7,7,1,1,1,1,1,1,1,1,7,7,7,7
10187,9790781,no,Grupo1    Team 15,Aprendiz1,7,1,6,7,5,1,1,3,7,5,1,7,1,1,4,5,1,1,4,1,7,7,7,7
10211,9311643,no,Grupo1    Team 2,Mestre1,7,7,3,3,3,6,6,3,7,3,7,5,6,2,6,2,3,3,2,2,6,6,5,6
10203,9921470,no,Grupo1    Team 3,Aprendiz1,7,1,5,7,7,1,5,1,7,5,7,7,2,1,1,2,1,1,1,1,1,1,1,1
10198,10310888,yes,Grupo1   Apolo,Aprendiz1,7,1,7,7,7,1,1,1,7,4,7,7,1,1,1,1,1,1,1,1,7,7,7,7
10213,10277040,yes,Grupo1   Morfeu,Mestre1,7,4,2,7,4,1,4,4,6,1,7,5,4,1,7,1,1,1,7,2,4,4,2,7
10229,9292462,no,Grupo1    Team 1,Aprendiz1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10241,9885286,no,Grupo1    Team 8,Aprendiz1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10242,9424506,no,,,,,,,,,,,,,,,,,,,,,,,,,,
10236,9779461,no,,,,,,,,,,,,,,,,,,,,,,,,,,
