UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA,PBs0,PBs1,PBs2,PBs3
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever,32,60,3,18,11,3,6,7,8,6,1,1,1,1
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,31,60,4,18,11,4,6,14,7,6,NA,NA,NA,NA
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA,40,60,4,18,12,8,6,14,12,6,1,1,2,2
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever,22,45,4,11,11,3,6,14,3,6,NA,NA,NA,NA
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer,40,60,4,18,12,4,6,14,12,6,1,2,2,3
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,40,60,4,18,12,4,6,13,7,2,1,1,2,2
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,31,55,4,18,11,4,6,14,7,6,1,2,2,3
10179,10310759,non-gamified,Grupo Team 9,Master,NA,40,60,4,18,12,8,6,14,7,6,NA,NA,NA,NA
10181,10276866,non-gamified,Grupo Team 10,Master,NA,39,60,4,18,8,4,6,14,7,6,0,0,0,0
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,40,60,3,18,9,3,6,13,2,6,1,1,2,2
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer,40,60,0,18,12,8,6,14,12,6,1,2,3,3
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA,40,59,3,18,12,8,6,14,12,6,NA,NA,NA,NA
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,40,60,4,18,12,8,6,14,8,6,NA,NA,NA,NA
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA,31,55,4,18,11,4,6,14,7,6,1,1,1,1
10188,10276995,non-gamified,Grupo Team 3,Master,NA,40,60,4,18,12,8,6,14,12,6,0,0,0,0
10189,9363926,ont-gamified,Grupo Hades,Master,Yee Socializer,40,56,0,18,12,8,6,13,3,6,1,1,1,1
10190,10276907,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,40,54,0,18,12,8,6,14,0,6,NA,NA,NA,NA
10191,10276981,non-gamified,Grupo  Team 6,Master,NA,40,60,4,12,12,8,6,14,12,6,NA,NA,NA,NA
10192,10276682,non-gamified,Grupo Team 5,Apprentice,NA,40,60,4,18,12,4,6,14,12,6,1,2,2,3
10193,10276762,ont-gamified,Grupo Afrodite,Master,Yee Achiever,40,58,0,18,12,8,6,13,12,6,0,0,0,0
10195,10351971,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,40,60,4,18,11,4,6,6,12,6,0,0,0,0
10196,10310655,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,40,60,4,18,12,8,6,14,7,6,1,1,1,2
10197,10276661,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,40,60,4,18,12,4,6,14,8,6,1,1,1,1
10198,10310888,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,40,60,3,12,12,4,6,14,7,6,NA,NA,NA,NA
10199,10276737,ont-gamified,Grupo Gaia,Master,Yee Achiever,40,48,4,12,12,8,2,13,12,2,1,2,3,3
