NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1
698531,10171,non-gamified,Grupo  Team 6,Apprentice,NA,40,58,0,11,1,8,6,16,0,3
8656201,10178,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,4,43,0,12,0,0,2,0,10,0
9065750,10212,non-gamified,Grupo Team 4,Master,NA,32,56,3,18,1,8,6,16,10,12
9082496,10221,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,39,54,2,12,0,3,2,14,10,8
9274382,10227,non-gamified,Grupo Team 4,Apprentice,NA,31,11,3,12,1,3,6,14,5,3
9285227,10215,ont-gamified,Grupo Zeus,Master,Yee Socializer,39,60,3,12,1,4,6,16,4,12
9363926,10189,ont-gamified,Grupo Hades,Master,Yee Socializer,31,54,3,17,1,8,6,15,10,12
9368772,10224,non-gamified,Grupo Team 10,Apprentice,NA,22,48,3,12,0,0,3,16,0,8
9436110,10222,non-gamified,Grupo Team 16,Master,NA,24,48,6,17,0,3,6,16,4,12
9760151,10220,non-gamified,Grupo Team 2,Apprentice,NA,39,58,3,17,0,4,6,16,5,12
9790781,10187,non-gamified,Grupo Team 15,Apprentice,NA,22,57,3,17,1,4,6,7,0,12
9795185,10223,ont-gamified,Grupo Cronus,Master,Yee Achiever,39,48,6,17,1,4,6,15,0,12
9795272,10200,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,32,35,3,18,0,4,6,15,10,12
9805320,10233,non-gamified,Grupo Team 16,Apprentice,NA,31,60,3,12,0,0,6,16,5,12
9805341,10217,non-gamified,Grupo Team 13,Master,NA,16,60,3,12,1,8,6,16,0,12
9842913,10218,ont-gamified,Grupo Ares,Master,Yee Achiever,40,57,0,17,1,4,6,16,5,12
9921470,10203,non-gamified,Grupo Team 3,Apprentice,NA,30,31,6,12,0,4,6,NA,4,12
10260351,10170,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,39,60,3,17,0,0,3,15,10,8
10262669,10209,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,40,60,3,18,0,4,6,16,0,12
10276654,10240,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,32,0,0,6,0,8,0,16,0,0
10276661,10197,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,21,59,0,17,0,8,6,16,5,12
10276675,10184,ont-gamified,Grupo Apolo,Master,Yee Socializer,40,60,1,17,1,4,6,15,10,12
10276682,10192,non-gamified,Grupo Team 5,Apprentice,NA,38,60,3,17,0,3,6,15,0,8
10276720,10216,non-gamified,Grupo Team 15,Master,NA,40,56,3,17,1,4,6,16,0,12
10276737,10199,ont-gamified,Grupo Gaia,Master,Yee Achiever,39,60,3,12,1,8,2,16,5,12
10276762,10193,ont-gamified,Grupo Afrodite,Master,Yee Achiever,39,59,6,17,1,4,6,16,0,12
10276831,10219,non-gamified,Grupo Team 12,Master,NA,40,60,3,6,1,4,6,16,10,12
10276852,10174,ont-gamified,Grupo Urano,Master,Yee Achiever,40,44,3,17,1,4,6,8,5,12
10276866,10181,non-gamified,Grupo Team 10,Master,NA,40,60,3,17,1,4,6,16,4,12
10276907,10190,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,29,54,3,12,1,8,6,5,5,0
10276911,10231,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,40,58,6,12,1,0,6,16,0,12
10276928,10201,ont-gamified,Grupo Caronte,Master,Yee Achiever,40,60,3,12,0,8,6,16,10,12
