UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,P1s0,P1s1,P1s2,P1s3
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever,40,60,0,17,1,4,6,8,10,12,NA,NA,NA,NA
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,39,60,3,17,0,0,3,15,10,8,NA,NA,NA,NA
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA,40,58,0,11,1,8,6,16,0,3,1,1,2,2
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever,40,44,3,17,1,4,6,8,5,12,NA,NA,NA,NA
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer,39,60,3,17,1,8,6,16,10,12,NA,NA,NA,NA
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,40,60,3,12,0,8,6,14,4,8,1,1,1,2
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,4,43,0,12,0,0,2,0,10,0,1,1,1,1
10179,10310759,non-gamified,Grupo Team 9,Master,NA,40,60,3,17,1,8,6,16,0,12,NA,NA,NA,NA
10181,10276866,non-gamified,Grupo Team 10,Master,NA,40,60,3,17,1,4,6,16,4,12,NA,NA,NA,NA
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,31,59,3,18,1,3,2,15,4,0,1,1,1,1
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer,40,60,1,17,1,4,6,15,10,12,1,2,3,4
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA,12,46,4,17,1,3,6,7,10,12,NA,NA,NA,NA
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,40,58,2,17,0,8,6,16,0,12,NA,NA,NA,NA
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA,22,57,3,17,1,4,6,7,0,12,1,2,3,4
10188,10276995,non-gamified,Grupo Team 3,Master,NA,32,60,6,12,1,8,6,16,10,12,1,2,3,3
10189,9363926,ont-gamified,Grupo Hades,Master,Yee Socializer,31,54,3,17,1,8,6,15,10,12,1,1,1,1
10190,10276907,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,29,54,3,12,1,8,6,5,5,0,NA,NA,NA,NA
10191,10276981,non-gamified,Grupo  Team 6,Master,NA,32,60,6,17,1,4,6,16,10,12,NA,NA,NA,NA
10192,10276682,non-gamified,Grupo Team 5,Apprentice,NA,38,60,3,17,0,3,6,15,0,8,1,1,2,2
10193,10276762,ont-gamified,Grupo Afrodite,Master,Yee Achiever,39,59,6,17,1,4,6,16,0,12,1,2,3,4
10195,10351971,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,39,60,3,17,1,4,6,7,4,12,NA,NA,NA,NA
10196,10310655,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,31,47,3,11,0,4,6,16,5,8,1,1,2,2
10197,10276661,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,21,59,0,17,0,8,6,16,5,12,NA,NA,NA,NA
10198,10310888,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,21,56,3,11,0,3,6,6,5,8,1,1,1,1
10199,10276737,ont-gamified,Grupo Gaia,Master,Yee Achiever,39,60,3,12,1,8,2,16,5,12,NA,NA,NA,NA
10200,9795272,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,32,35,3,18,0,4,6,15,10,12,1,1,1,1
10201,10276928,ont-gamified,Grupo Caronte,Master,Yee Achiever,40,60,3,12,0,8,6,16,10,12,1,2,3,4
10202,10277036,non-gamified,Grupo Team 11,Apprentice,NA,39,55,3,17,1,4,6,15,5,0,1,1,1,1
10203,9921470,non-gamified,Grupo Team 3,Apprentice,NA,30,31,6,12,0,4,6,NA,4,12,0,0,0,0
10204,10310471,ont-gamified,Grupo Hermes,Master,Yee Achiever,39,60,6,17,1,8,6,13,10,12,NA,NA,NA,NA
10206,10310721,ont-gamified,Grupo Hera,Master,Yee Achiever,40,60,3,12,1,8,6,16,10,12,1,2,2,3
10208,10276932,non-gamified,Grupo Team 7,Apprentice,NA,31,60,6,11,0,4,6,16,0,8,NA,NA,NA,NA
10209,10262669,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,40,60,3,18,0,4,6,16,0,12,0,0,0,0
10210,10277015,non-gamified,Grupo Team 9,Apprentice,NA,39,48,0,11,0,4,3,15,10,12,1,1,1,1
10212,9065750,non-gamified,Grupo Team 4,Master,NA,32,56,3,18,1,8,6,16,10,12,NA,NA,NA,NA
10213,10277040,ont-gamified,Grupo Morfeu,Master,Yee Socializer,15,48,6,17,1,8,6,16,4,12,NA,NA,NA,NA
10214,10277022,non-gamified,Grupo Team 5,Master,NA,40,48,3,12,1,8,6,16,10,12,NA,NA,NA,NA
10215,9285227,ont-gamified,Grupo Zeus,Master,Yee Socializer,39,60,3,12,1,4,6,16,4,12,1,2,2,3
10216,10276720,non-gamified,Grupo Team 15,Master,NA,40,56,3,17,1,4,6,16,0,12,NA,NA,NA,NA
10217,9805341,non-gamified,Grupo Team 13,Master,NA,16,60,3,12,1,8,6,16,0,12,1,2,3,3
10218,9842913,ont-gamified,Grupo Ares,Master,Yee Achiever,40,57,0,17,1,4,6,16,5,12,1,2,3,4
10219,10276831,non-gamified,Grupo Team 12,Master,NA,40,60,3,6,1,4,6,16,10,12,0,0,0,0
10220,9760151,non-gamified,Grupo Team 2,Apprentice,NA,39,58,3,17,0,4,6,16,5,12,0,0,0,0
10221,9082496,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,39,54,2,12,0,3,2,14,10,8,NA,NA,NA,NA
10222,9436110,non-gamified,Grupo Team 16,Master,NA,24,48,6,17,0,3,6,16,4,12,NA,NA,NA,NA
10223,9795185,ont-gamified,Grupo Cronus,Master,Yee Achiever,39,48,6,17,1,4,6,15,0,12,NA,NA,NA,NA
10224,9368772,non-gamified,Grupo Team 10,Apprentice,NA,22,48,3,12,0,0,3,16,0,8,1,2,2,3
10226,10310342,non-gamified,Grupo Team 8,Master,NA,22,59,5,17,1,8,6,16,5,12,1,1,2,2
10227,9274382,non-gamified,Grupo Team 4,Apprentice,NA,31,11,3,12,1,3,6,14,5,3,1,1,1,1
10230,10351992,non-gamified,Grupo Team 14,Master,NA,13,57,6,16,0,8,6,16,10,8,NA,NA,NA,NA
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,40,58,6,12,1,0,6,16,0,12,NA,NA,NA,NA
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever,24,60,3,17,1,8,6,7,10,12,NA,NA,NA,NA
10233,9805320,non-gamified,Grupo Team 16,Apprentice,NA,31,60,3,12,0,0,6,16,5,12,NA,NA,NA,NA
10234,10310676,non-gamified,Grupo Team 7,Master,NA,39,36,6,17,1,4,6,16,10,8,NA,NA,NA,NA
10237,10377688,non-gamified,Grupo Team 11,Master,NA,39,60,3,18,1,8,6,NA,5,12,1,2,2,3
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA,39,59,4,17,1,4,6,16,4,12,NA,NA,NA,NA
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,32,0,0,6,0,8,0,16,0,0,NA,NA,NA,NA
