UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,theta,error,WLE.rel
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,NA,0.015219938416659686,0.49593237329953443,0.4912066501534773
10171.0,698531.0,ont-gamified,Grupo Losvakai,Master,Yee Achiever,0.7509889977780969,0.4860470562397439,0.4912066501534773
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,NA,-1.2358565924158207,0.41918087085847167,0.4912066501534773
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,NA,0.7509889977780969,0.4860470562397439,0.4912066501534773
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,-0.2482126716355401,0.48742891023622364,0.4912066501534773
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,NA,-0.7105675856923684,0.4508603880864453,0.4912066501534773
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer,-0.9011646241670594,0.4347703686525057,0.4912066501534773
10185.0,10276960.0,ont-gamified,Grupo Tosskor,Master,Yee Achiever,0.015219938416659686,0.49593237329953443,0.4912066501534773
10186.0,10310551.0,non-gamified,Grupo Team 5,Apprentice,NA,-0.7105675856923684,0.4508603880864453,0.4912066501534773
10187.0,9790781.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,0.015219938416659686,0.49593237329953443,0.4912066501534773
10188.0,10276995.0,ont-gamified,Grupo Paldira,Master,Yee Achiever,-0.2482126716355401,0.48742891023622364,0.4912066501534773
10193.0,10276762.0,non-gamified,Grupo Team 2,Master,NA,0.015219938416659686,0.49593237329953443,0.4912066501534773
10196.0,10310655.0,non-gamified,Grupo Team 5,Apprentice,NA,-0.4939415891435046,0.4701727819104066,0.4912066501534773
10197.0,10276661.0,non-gamified,Grupo Team 11,Master,NA,-0.7105675856923684,0.4508603880864453,0.4912066501534773
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,NA,-0.4939415891435046,0.4701727819104066,0.4912066501534773
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,NA,0.7509889977780969,0.4860470562397439,0.4912066501534773
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,-0.4939415891435046,0.4701727819104066,0.4912066501534773
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,-0.9011646241670594,0.4347703686525057,0.4912066501534773
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,0.015219938416659686,0.49593237329953443,0.4912066501534773
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,-0.4939415891435046,0.4701727819104066,0.4912066501534773
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,1.4262566914250443,0.5174541429319865,0.4912066501534773
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,0.2753338747076326,0.4948560473068051,0.4912066501534773
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,-0.7105675856923684,0.4508603880864453,0.4912066501534773
10216.0,10276720.0,ont-gamified,Grupo Ellaru,Master,Yee Socializer,0.5203987443460171,0.4896991340612132,0.4912066501534773
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,0.5203987443460171,0.4896991340612132,0.4912066501534773
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,-0.7105675856923684,0.4508603880864453,0.4912066501534773
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.5203987443460171,0.4896991340612132,0.4912066501534773
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,0.015219938416659686,0.49593237329953443,0.4912066501534773
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,0.7509889977780969,0.4860470562397439,0.4912066501534773
10233.0,9805320.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,1.1948803850188776,0.4968541841652655,0.4912066501534773
10234.0,10310676.0,non-gamified,Grupo Team 6,Apprentice,NA,0.9731476351294435,0.4875192347138689,0.4912066501534773
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,0.015219938416659686,0.49593237329953443,0.4912066501534773
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,0.2753338747076326,0.4948560473068051,0.4912066501534773
