UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA
10175,10310700,non-gamified,Grupo Team 6,Master,NA
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer
10184,10276675,non-gamified,Grupo Team 7,Master,NA
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA
10191,10276981,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer
10193,10276762,non-gamified,Grupo Team 2,Master,NA
10196,10310655,non-gamified,Grupo Team 5,Apprentice,NA
10197,10276661,non-gamified,Grupo Team 11,Master,NA
10200,9795272,non-gamified,Grupo Team 4,Apprentice,NA
10201,10276928,non-gamified,Grupo Team 10,Master,NA
10202,10277036,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever
10206,10310721,non-gamified,Grupo Team 9,Master,NA
10208,10276932,ont-gamified,Grupo Yeka,Master,Yee Socializer
10209,10262669,non-gamified,Grupo Team 1,Master,NA
10211,9311643,ont-gamified,Grupo Razorg,Master,Yee Achiever
10213,10277040,non-gamified,Grupo Team 8,Master,NA
10214,10277022,ont-gamified,Grupo Koil,Apprentice,Yee Achiever
10219,10276831,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever
10223,9795185,non-gamified,Grupo Team 3,Master,NA
10230,10351992,ont-gamified,Grupo Koil,Apprentice,Yee Achiever
10231,10276911,non-gamified,Grupo Team 4,Master,NA
10237,10377688,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer
10218,9842913,non-gamified,Grupo Team 10,Apprentice,NA
10171,698531,ont-gamified,Grupo Losvakai,Master,Yee Achiever
10217,9805341,ont-gamified,Grupo Belos,Master,Yee Socializer
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA
10203,9921470,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever
10198,10310888,non-gamified,Grupo Team 1,Apprentice,NA
10216,10276720,ont-gamified,Grupo Ellaru,Master,Yee Socializer
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever
10192,10276682,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer
10232,10276974,non-gamified,Grupo Team 3,Apprentice,NA
