UserID,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24
10116,3.0,7.0,4.0,4.0,2.0,6.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,6.0
10120,7.0,3.0,7.0,7.0,6.0,2.0,1.0,1.0,6.0,4.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,6.0,6.0,5.0
10121,1.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,6.0,5.0,3.0,6.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0
10122,2.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10123,2.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0
10126,5.0,2.0,5.0,7.0,6.0,2.0,5.0,1.0,6.0,6.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,5.0,5.0,4.0
10127,4.0,2.0,5.0,7.0,6.0,3.0,5.0,4.0,6.0,3.0,5.0,6.0,6.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,6.0,7.0,4.0,6.0
10128,1.0,4.0,1.0,1.0,7.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
10129,1.0,7.0,7.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,5.0,7.0,5.0,5.0,4.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0
10130,4.0,3.0,6.0,5.0,4.0,5.0,2.0,5.0,5.0,6.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0
10131,4.0,5.0,6.0,7.0,4.0,7.0,1.0,2.0,5.0,6.0,6.0,7.0,3.0,1.0,7.0,2.0,7.0,2.0,7.0,1.0,7.0,7.0,1.0,7.0
10132,1.0,7.0,7.0,6.0,4.0,4.0,3.0,4.0,1.0,6.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,7.0,7.0,1.0,1.0,2.0,1.0
10134,2.0,6.0,4.0,4.0,3.0,3.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0
10135,5.0,4.0,5.0,7.0,7.0,1.0,5.0,6.0,5.0,7.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,6.0,2.0
10136,1.0,7.0,3.0,1.0,1.0,6.0,6.0,7.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0,7.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0
10137,5.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,4.0,6.0
10138,3.0,4.0,7.0,7.0,4.0,6.0,1.0,3.0,6.0,7.0,3.0,6.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0
10139,1.0,4.0,5.0,7.0,7.0,4.0,5.0,1.0,6.0,5.0,7.0,3.0,4.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0
10140,1.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0
10141,2.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0
10142,4.0,6.0,4.0,7.0,1.0,3.0,3.0,4.0,6.0,4.0,7.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,5.0,2.0,4.0,4.0,1.0,6.0
10143,4.0,4.0,6.0,6.0,5.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0
10145,1.0,7.0,7.0,4.0,1.0,4.0,1.0,4.0,4.0,7.0,4.0,4.0,1.0,4.0,7.0,4.0,4.0,4.0,4.0,7.0,3.0,2.0,1.0,4.0
10146,5.0,3.0,6.0,6.0,6.0,3.0,2.0,2.0,5.0,6.0,7.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0
10148,4.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,1.0,6.0,5.0,2.0,3.0
10149,4.0,3.0,7.0,1.0,1.0,7.0,5.0,7.0,1.0,7.0,1.0,1.0,1.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,7.0,1.0,1.0,1.0
10152,7.0,3.0,7.0,6.0,7.0,4.0,7.0,1.0,7.0,5.0,4.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0
10153,5.0,4.0,5.0,5.0,7.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,2.0,6.0,2.0,5.0,2.0,4.0,4.0,3.0,6.0,5.0,4.0
10154,3.0,6.0,5.0,4.0,2.0,6.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0,2.0,6.0,6.0,6.0,3.0,4.0,7.0,1.0,1.0,2.0,2.0
10158,7.0,3.0,7.0,7.0,4.0,4.0,1.0,1.0,6.0,2.0,7.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,7.0,4.0,6.0
