Study,UserID,Item22IE,Item09IE,Item12IE,Item24IE,Item21IE,Item01IE,Item17PC,Item15PC,Item06PC,Item02PC,Item08PC,Item16PT,Item14PT,Item18PT,Item11PT,Item13EI,Item03EI,Item07EI,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
pilot,10116,4,4,2,6,4,3,4,5,6,7,4,4,2,2,2,4,4,4,3.8333333333333335,2.8,3.5,4,3.783333333333333
pilot,10120,6,6,5,5,6,7,1,1,2,3,1,1,2,1,6,3,7,1,5.833333333333333,6.4,1.5,6.333333333333333,6.266666666666667
pilot,10121,5,6,6,4,5,1,3,4,2,2,2,5,3,2,3,3,5,3,4.5,5.4,3.75,5,4.7875
pilot,10122,1,1,2,1,1,2,1,1,2,3,2,1,1,1,2,2,3,2,1.3333333333333333,6.2,2.25,5,4.570833333333333
pilot,10123,3,2,3,3,3,2,3,3,2,5,3,2,4,4,4,3,3,3,2.6666666666666665,4.8,3.5,4.333333333333333,4.075
pilot,10126,5,6,6,4,6,5,2,2,2,2,1,1,2,1,3,1,5,5,5.333333333333333,6.2,2.25,5,5.570833333333333
pilot,10127,7,6,6,6,6,4,4,3,3,2,4,4,2,2,5,5,5,5,5.833333333333333,4.8,2.75,3.6666666666666665,4.887499999999999
pilot,10128,1,1,1,1,1,1,1,1,1,4,6,1,1,1,1,5,2,6,1,5.4,2.5,2.3333333333333335,3.5583333333333336
pilot,10129,1,2,1,1,3,1,4,5,4,7,4,5,5,5,1,5,7,2,1.5,3.2,5.5,5.333333333333333,3.133333333333333
pilot,10130,5,5,4,5,5,4,4,4,5,3,5,5,4,5,2,1,6,2,4.666666666666667,3.8,5,6.333333333333333,4.45
pilot,10131,7,5,7,7,7,4,6,7,7,5,2,2,1,2,6,3,6,1,6.166666666666667,2.6,1.75,6,5.254166666666666
pilot,10132,1,1,1,1,1,1,2,3,4,7,4,2,2,2,3,3,7,3,1,4,2.75,5.666666666666667,3.979166666666667
pilot,10134,2,2,2,2,2,2,5,5,3,6,6,3,3,3,2,4,4,4,2,3,3.75,4,3.3125
pilot,10135,5,5,5,2,5,5,2,2,1,4,6,4,4,4,5,2,5,5,4.5,5,3.75,4.666666666666667,4.604166666666667
pilot,10136,1,1,1,1,1,1,6,5,6,7,6,3,1,5,4,5,3,6,1,2,3.25,2.6666666666666665,2.6041666666666665
pilot,10137,5,5,6,6,6,5,1,4,1,1,1,1,1,1,7,1,5,1,5.5,6.4,1,6.333333333333333,6.308333333333334
pilot,10138,4,6,6,4,5,3,4,5,6,4,3,4,4,2,3,1,7,1,4.666666666666667,3.6,3.75,7,4.879166666666666
pilot,10139,3,6,3,4,5,1,1,7,4,4,1,3,4,1,7,4,5,5,3.6666666666666665,4.6,2.25,4,4.504166666666666
pilot,10140,2,4,1,2,4,1,4,4,4,4,4,4,5,5,4,5,3,4,2.3333333333333335,4,4.5,3.3333333333333335,3.291666666666667
pilot,10141,5,5,3,4,5,2,4,4,6,4,4,3,4,1,4,5,5,3,4,3.6,3,4.333333333333333,4.233333333333333
pilot,10142,4,6,4,6,4,4,4,4,3,6,4,4,1,1,7,2,4,3,4.666666666666667,3.8,1.75,5,4.929166666666667
pilot,10143,4,4,4,4,5,4,2,4,3,4,2,3,2,2,3,2,6,2,4.166666666666667,5,3,6,5.041666666666667
pilot,10145,2,4,4,4,3,1,4,7,4,7,4,4,4,4,4,1,7,1,3,2.8,4,7,4.2
pilot,10146,5,5,5,5,5,5,3,4,3,3,2,3,3,3,7,1,6,2,5,5,2.5,6.333333333333333,5.458333333333333
pilot,10148,5,4,4,3,6,4,3,4,1,3,1,5,2,5,2,2,6,1,4.333333333333333,5.6,4.5,6.333333333333333,4.941666666666666
pilot,10149,1,1,1,1,7,4,6,6,7,3,6,5,5,5,1,1,7,5,2.5,2.4,5.5,5.666666666666667,3.2666666666666666
pilot,10152,7,7,7,7,7,7,2,2,4,3,1,2,3,2,4,5,7,6,7,5.6,2.75,4,5.4625
pilot,10153,6,5,5,4,3,5,5,6,3,4,2,2,2,2,4,5,5,2,4.666666666666667,4,2.5,4.666666666666667,4.708333333333334
pilot,10154,1,4,2,2,1,3,6,6,6,6,5,5,2,3,2,5,5,3,2.1666666666666665,2.2,4,4.333333333333333,3.175
pilot,10158,7,6,7,6,6,7,1,4,4,3,1,1,1,1,7,1,7,1,6.5,5.4,1,7,6.475
first,10169,6,6,6,6,6,4,2,2,6,4,2,4,1,2,7,2,6,2,5.666666666666667,4.8,2,6,5.616666666666667
first,10170,6,5,5,4,6,5,1,2,1,2,2,1,1,1,7,1,5,2,5.166666666666667,6.4,1,6,6.141666666666667
first,10171,5,6,6,6,5,6,2,3,2,2,1,1,1,1,6,1,3,1,5.666666666666667,6,1.25,5.666666666666667,6.020833333333334
first,10172,5,6,5,4,5,6,2,2,2,4,3,1,1,1,7,5,5,4,5.166666666666667,5.4,1,4,5.391666666666667
first,10174,6,5,4,6,4,4,3,4,4,4,3,1,1,1,6,1,6,1,4.833333333333333,4.4,1.25,6.666666666666667,5.6625000000000005
first,10175,5,6,6,6,5,6,1,1,1,1,1,1,1,1,7,5,5,1,5.666666666666667,7,1,5,6.166666666666667
first,10176,4,5,4,3,4,5,2,2,1,5,1,3,2,2,4,2,5,5,4.166666666666667,5.8,2.75,4.666666666666667,4.970833333333333
first,10178,5,5,5,5,5,5,1,3,2,4,1,4,1,1,5,1,5,2,5,5.8,2.25,6,5.6375
first,10179,4,4,3,4,4,4,4,5,5,6,4,2,2,2,6,1,6,1,3.8333333333333335,3.2,2,6.666666666666667,4.925
first,10181,4,5,5,2,5,5,2,2,1,2,3,1,1,1,7,1,4,1,4.333333333333333,6,1,6,5.833333333333333
first,10183,4,4,4,3,4,5,2,2,2,3,4,3,2,3,5,2,5,2,4,5.4,2.75,5.666666666666667,5.079166666666667
first,10184,4,5,5,4,4,5,1,4,1,5,1,3,1,1,4,1,6,1,4.5,5.6,2.25,6.666666666666667,5.629166666666666
first,10185,4,4,4,4,4,4,4,4,3,4,3,2,2,3,6,3,5,3,4,4.4,2.25,5,4.7875
first,10186,5,6,4,6,4,3,1,1,4,2,1,4,1,3,4,1,7,1,4.666666666666667,6.2,3,7,5.716666666666667
first,10187,7,7,7,7,7,7,1,4,1,1,3,5,1,1,1,1,6,1,7,6,3.5,6.666666666666667,6.041666666666667
first,10188,4,4,4,4,3,4,3,3,3,3,3,1,2,1,6,2,4,4,3.8333333333333335,5,1.5,4.666666666666667,5
first,10189,4,4,3,5,6,2,2,5,2,4,1,5,4,2,5,1,6,2,4,5.2,3.5,6.333333333333333,5.008333333333333
first,10190,4,5,5,5,4,4,2,1,1,4,3,2,1,2,6,2,3,5,4.5,5.8,1.75,4,5.1375
first,10191,5,6,6,7,6,4,1,6,2,2,3,2,1,1,7,2,5,6,5.666666666666667,5.2,1.25,4.333333333333333,5.4875
first,10192,6,7,7,7,6,4,1,7,7,2,1,1,1,1,7,1,2,4,6.166666666666667,4.4,1,4.333333333333333,5.475
first,10193,6,5,5,4,5,4,3,5,5,2,3,1,1,1,6,2,3,3,4.833333333333333,4.4,1.25,4.666666666666667,5.1625000000000005
first,10195,5,6,5,5,6,5,4,4,4,4,1,1,1,1,7,1,5,2,5.333333333333333,4.6,1,6,5.733333333333333
first,10196,4,4,4,4,4,4,1,7,1,6,4,1,1,1,7,1,5,1,4,4.2,1,6.333333333333333,5.383333333333333
first,10197,4,6,4,5,6,4,1,1,2,1,1,1,1,1,7,1,6,6,4.833333333333333,6.8,1,5,5.908333333333333
first,10198,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,1,7,1,7,7,1,7,7
first,10199,7,4,4,1,4,4,1,1,1,1,1,1,3,1,2,2,4,4,4,7,2.75,4.666666666666667,5.229166666666667
first,10200,6,6,7,7,6,6,2,4,2,2,3,1,1,1,7,4,5,2,6.333333333333333,5.4,1,5,5.933333333333334
first,10201,7,7,7,5,7,5,2,2,3,2,2,2,3,1,6,1,7,1,6.333333333333333,5.8,2,7,6.283333333333333
first,10202,4,4,4,4,4,4,4,4,4,7,5,5,5,5,1,1,7,1,4,3.2,5.5,7,4.175
first,10203,1,7,7,1,1,7,1,1,1,1,1,2,1,1,7,2,5,5,4,7,1.25,4.666666666666667,5.604166666666667
first,10204,7,7,7,7,7,6,1,1,4,2,1,1,1,1,7,1,6,3,6.833333333333333,6.2,1,6,6.508333333333333
first,10206,5,6,4,3,5,4,1,2,1,1,2,3,3,2,2,2,5,2,4.5,6.6,3.5,5.666666666666667,5.316666666666666
first,10208,6,6,7,6,7,6,1,2,4,4,1,4,1,1,7,1,7,1,6.333333333333333,5.6,1.75,7,6.295833333333333
first,10209,2,3,3,4,3,4,6,7,7,7,6,1,1,1,7,1,7,1,3.1666666666666665,1.4,1,7,4.641666666666667
first,10210,2,5,4,4,2,4,4,6,5,6,5,4,4,5,4,1,6,1,3.5,2.8,4.25,6.666666666666667,4.179166666666667
first,10211,6,7,5,6,6,7,3,6,6,7,3,2,2,3,7,5,3,6,6.166666666666667,3,2,2.6666666666666665,4.458333333333334
first,10212,7,6,6,7,7,5,2,1,3,3,1,4,2,2,6,2,6,2,6.333333333333333,6,2.5,6,5.958333333333333
first,10213,4,6,5,7,4,7,1,7,1,4,4,1,1,1,7,4,2,4,5.5,4.6,1,3.3333333333333335,5.108333333333333
first,10214,3,4,3,1,3,4,4,5,4,4,4,1,1,2,4,4,3,3,3,3.8,2,4,4.2
first,10215,5,7,4,4,6,4,1,1,1,1,1,1,1,1,7,3,6,1,5,7,1,6,6.25
first,10216,7,7,5,1,5,4,1,4,1,1,1,1,2,1,7,1,6,2,4.833333333333333,6.4,1.25,6.333333333333333,6.079166666666667
first,10217,4,5,4,2,5,3,1,1,1,2,1,1,1,1,7,1,6,4,3.8333333333333335,6.8,1,5.666666666666667,5.825
first,10218,4,3,3,2,4,4,3,3,4,2,1,4,3,2,3,2,6,1,3.3333333333333335,5.4,3.5,6.333333333333333,4.891666666666667
first,10219,4,4,4,3,3,4,4,4,4,2,3,1,1,1,7,3,4,5,3.6666666666666665,4.6,1,4,4.816666666666666
first,10220,7,7,4,7,4,4,1,1,4,1,1,1,1,1,7,1,4,1,5.5,6.4,1,6,6.225
first,10221,5,5,4,4,5,4,1,4,4,3,1,1,1,1,7,1,6,2,4.5,5.4,1,6.333333333333333,5.808333333333334
first,10222,1,1,1,1,1,1,6,7,6,7,6,3,3,4,3,2,4,4,1,1.6,3.75,4.666666666666667,2.879166666666667
first,10223,7,6,6,6,7,6,1,2,2,2,1,2,1,1,7,3,6,3,6.333333333333333,6.4,1.25,5.333333333333333,6.204166666666667
first,10224,6,7,7,6,7,6,6,7,4,4,6,1,1,3,7,2,4,4,6.5,2.6,1.5,4.666666666666667,5.066666666666666
first,10226,4,4,4,5,4,2,4,6,4,6,5,1,1,3,7,1,6,1,3.8333333333333335,3,1.5,6.666666666666667,5
first,10227,6,2,3,2,3,1,4,5,4,3,3,4,4,4,3,4,4,4,2.8333333333333335,4.2,4.25,4,3.695833333333333
first,10228,4,4,5,3,4,4,3,3,3,5,2,2,1,4,6,1,5,2,4,4.8,2.25,6,5.1375
first,10230,1,4,1,3,6,1,1,4,1,2,5,4,1,1,1,1,5,5,2.6666666666666665,5.4,3.25,5,4.454166666666667
first,10231,7,7,7,7,7,7,1,2,1,1,1,1,1,1,7,1,5,1,7,6.8,1,6.333333333333333,6.783333333333333
