Study,UserID,Item12A,Item19A,Item04A,Item20A,Item16A,Item01A,Item15R,Item21R,Item10R,Item08R,Item13S,Item14S,Item17S,Attention,Relevance,Satisfaction,Level of Motivation
second,10169,2,2,2,2,1,2,5,3,6,5,2,2,2,1.8333333333333333,3.25,2,2.3076923076923075
second,10170,5,5,5,3,6,4,4,2,2,4,5,4,3,4.666666666666667,5,4,4.615384615384615
second,10171,5,5,5,4,5,5,2,1,1,1,5,6,5,4.833333333333333,6.75,5.333333333333333,5.538461538461538
second,10172,4,5,6,5,3,6,3,2,2,3,5,4,2,4.833333333333333,5.5,3.6666666666666665,4.769230769230769
second,10174,3,1,4,3,4,4,4,6,4,6,4,2,6,3.1666666666666665,3,4,3.3076923076923075
second,10175,7,6,5,4,6,7,1,1,1,1,7,5,4,5.833333333333333,7,5.333333333333333,6.076923076923077
second,10176,3,3,3,3,3,3,4,5,6,5,3,3,4,3,3,3.3333333333333335,3.076923076923077
second,10178,5,5,5,5,5,4,3,2,2,6,5,4,4,4.833333333333333,4.75,4.333333333333333,4.6923076923076925
second,10179,4,4,4,4,5,4,2,3,3,3,5,3,5,4.166666666666667,5.25,4.333333333333333,4.538461538461538
second,10181,5,1,5,4,5,5,5,4,3,3,3,5,3,4.166666666666667,4.25,3.6666666666666665,4.076923076923077
second,10183,3,5,2,2,3,4,4,4,6,4,4,4,4,3.1666666666666665,3.5,4,3.4615384615384617
second,10184,6,4,6,6,6,5,3,2,2,1,6,6,4,5.5,6,5.333333333333333,5.615384615384615
second,10185,4,5,5,3,4,4,4,4,3,2,4,4,4,4.166666666666667,4.75,4,4.3076923076923075
second,10186,3,1,4,4,7,1,1,3,4,4,7,5,5,3.3333333333333335,5,5.666666666666667,4.384615384615385
second,10187,4,4,4,5,4,6,5,6,5,5,5,5,4,4.5,2.75,4.666666666666667,4
second,10188,5,3,5,4,4,4,4,4,2,1,5,4,5,4.166666666666667,5.25,4.666666666666667,4.615384615384615
second,10189,1,1,1,2,1,1,2,6,6,6,1,1,1,1.1666666666666667,3,1,1.6923076923076923
second,10190,1,1,4,1,3,3,1,5,6,1,7,7,4,2.1666666666666665,4.75,6,3.8461538461538463
second,10191,6,7,6,6,5,6,4,2,1,2,6,6,6,6,5.75,6,5.923076923076923
second,10192,7,7,7,7,7,7,1,1,6,1,7,7,4,7,5.75,6,6.384615384615385
second,10193,4,4,3,3,5,3,6,3,4,1,2,4,2,3.6666666666666665,4.5,2.6666666666666665,3.6923076923076925
second,10196,4,4,1,4,5,4,4,5,6,4,4,5,4,3.6666666666666665,3.25,4.333333333333333,3.6923076923076925
second,10197,4,2,5,4,4,7,4,3,1,4,5,3,5,4.333333333333333,5,4.333333333333333,4.538461538461538
second,10198,7,7,7,7,7,7,1,1,1,4,7,7,4,7,6.25,6,6.538461538461538
second,10200,4,4,5,4,5,5,3,3,5,3,6,5,5,4.5,4.5,5.333333333333333,4.6923076923076925
second,10201,5,5,4,5,5,4,2,2,3,4,6,6,6,4.666666666666667,5.25,6,5.153846153846154
second,10202,4,3,4,4,4,5,4,4,4,6,4,4,4,4,3.5,4,3.8461538461538463
second,10203,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7
