Study,UserID,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24
pilot,10116,3,7,4,4,2,6,4,4,4,3,2,2,4,2,5,4,4,2,1,5,4,4,2,6
pilot,10120,7,3,7,7,6,2,1,1,6,4,6,5,3,2,1,1,1,1,5,4,6,6,6,5
pilot,10121,1,2,5,5,2,2,3,2,6,5,3,6,3,3,4,5,3,2,2,2,5,5,5,4
pilot,10122,2,3,3,5,3,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1
pilot,10123,2,5,3,4,3,2,3,3,2,3,4,3,3,4,3,2,3,4,4,5,3,3,4,3
pilot,10126,5,2,5,7,6,2,5,1,6,6,3,6,1,2,2,1,2,1,2,2,6,5,5,4
pilot,10127,4,2,5,7,6,3,5,4,6,3,5,6,5,2,3,4,4,2,4,1,6,7,4,6
pilot,10128,1,4,2,3,7,1,6,6,1,1,1,1,5,1,1,1,1,1,7,6,1,1,1,1
pilot,10129,1,7,7,4,2,4,2,4,2,5,1,1,5,5,5,5,4,5,4,2,3,1,1,1
pilot,10130,4,3,6,5,4,5,2,5,5,6,2,4,1,4,4,5,4,5,5,3,5,5,3,5
pilot,10131,4,5,6,7,4,7,1,2,5,6,6,7,3,1,7,2,6,2,7,1,7,7,1,7
pilot,10132,1,7,7,6,4,4,3,4,1,6,3,1,3,2,3,2,2,2,7,6,1,1,2,1
pilot,10134,2,6,4,4,3,3,4,6,2,4,2,2,4,3,5,3,5,3,4,4,2,2,2,2
pilot,10135,5,4,5,7,7,1,5,6,5,7,5,5,2,4,2,4,2,4,2,2,5,5,6,2
pilot,10136,1,7,3,3,1,6,6,6,1,4,4,1,5,1,5,3,6,5,4,6,1,1,1,1
pilot,10137,5,1,5,4,5,1,1,1,5,5,7,6,1,1,4,1,1,1,3,1,6,5,4,6
pilot,10138,3,4,7,7,4,6,1,3,6,7,3,6,1,4,5,4,4,2,4,2,5,4,3,4
pilot,10139,1,4,5,7,7,4,5,1,6,5,7,3,4,4,7,3,1,1,1,1,5,3,4,4
pilot,10140,1,4,3,3,4,4,4,4,4,4,4,1,5,5,4,4,4,5,4,5,4,2,1,2
pilot,10141,2,4,5,4,4,6,3,4,5,4,4,3,5,4,4,3,4,1,5,3,5,5,5,4
pilot,10142,4,6,4,7,1,3,3,4,6,4,7,4,2,1,4,4,4,1,5,2,4,4,1,6
pilot,10143,4,4,6,6,5,3,2,2,4,5,3,4,2,2,4,3,2,2,2,2,5,4,4,4
pilot,10145,1,7,7,4,1,4,1,4,4,7,4,4,1,4,7,4,4,4,4,6,3,2,1,4
pilot,10146,5,3,6,6,6,3,2,2,5,6,7,5,1,3,4,3,3,3,3,3,5,5,5,5
pilot,10148,4,3,6,4,4,1,1,1,4,6,2,4,2,2,4,5,3,5,4,1,6,5,2,3
pilot,10149,4,3,7,3,1,7,5,6,1,7,1,1,1,5,6,5,6,5,7,6,7,1,1,1
pilot,10152,7,3,7,6,7,4,6,1,7,5,4,7,5,3,2,2,2,2,7,2,7,7,7,7
pilot,10153,5,4,5,5,7,3,2,2,5,4,4,5,5,2,6,2,5,2,4,4,3,6,5,4
pilot,10154,3,6,5,4,2,6,3,5,4,4,2,2,5,2,6,5,6,3,4,6,1,1,2,2
pilot,10158,7,3,7,7,4,4,1,1,6,2,7,7,1,1,4,1,1,1,2,2,6,7,4,6
first,10169,4,4,6,6,6,6,2,2,6,2,7,6,2,1,2,4,2,2,2,2,6,6,6,6
first,10170,5,2,5,7,7,1,2,2,5,5,7,5,1,1,2,1,1,1,3,2,6,6,7,4
first,10171,6,2,3,7,7,2,1,1,6,2,6,6,1,1,3,1,2,1,2,1,5,5,2,6
first,10172,6,4,5,7,3,2,4,3,6,3,7,5,5,1,2,1,2,1,2,3,5,5,5,4
first,10174,4,4,6,7,4,4,1,3,5,6,6,4,1,1,4,1,3,1,2,3,4,6,4,6
first,10175,6,1,5,7,7,1,1,1,6,5,7,6,5,1,1,1,1,1,1,1,5,5,6,6
first,10176,5,5,5,4,6,1,5,1,5,4,4,4,2,2,2,3,2,2,3,2,4,4,2,3
first,10178,5,4,5,5,5,2,2,1,5,5,5,5,1,1,3,4,1,1,4,3,5,5,5,5
first,10179,4,6,6,6,3,5,1,4,4,5,6,3,1,2,5,2,4,2,4,3,4,4,3,4
first,10181,5,2,4,7,2,1,1,3,5,3,7,5,1,1,2,1,2,1,4,2,5,4,4,2
first,10183,5,3,5,5,5,2,2,4,4,4,5,4,2,2,2,3,2,3,2,2,4,4,4,3
first,10184,5,5,6,7,7,1,1,1,5,4,4,5,1,1,4,3,1,1,2,2,4,4,4,4
first,10185,4,4,5,4,3,3,3,3,4,4,6,4,3,2,4,2,4,3,4,3,4,4,4,4
first,10186,3,2,7,7,4,4,1,1,6,4,4,4,1,1,1,4,1,3,4,1,4,5,5,6
first,10187,7,1,6,7,5,1,1,3,7,5,1,7,1,1,4,5,1,1,4,1,7,7,7,7
first,10188,4,3,4,3,3,3,4,3,4,3,6,4,2,2,3,1,3,1,3,4,3,4,4,4
first,10189,2,4,6,5,5,2,2,1,4,4,5,3,1,4,5,5,2,2,2,1,6,4,2,5
first,10190,4,4,3,6,7,1,5,3,5,2,6,5,2,1,1,2,2,2,3,3,4,4,4,5
first,10191,4,2,5,7,6,2,6,3,6,4,7,6,2,1,6,2,1,1,4,1,6,5,4,7
first,10192,4,2,2,7,7,7,4,1,7,4,7,7,1,1,7,1,1,1,1,6,6,6,4,7
first,10193,4,2,3,5,4,5,3,3,5,2,6,5,2,1,5,1,3,1,4,2,5,6,5,4
first,10195,5,4,5,6,4,4,2,1,6,5,7,5,1,1,4,1,4,1,5,2,6,5,4,5
first,10196,4,6,5,4,2,1,1,4,4,5,7,4,1,1,7,1,1,1,4,4,4,4,4,4
first,10197,4,1,6,7,7,2,6,1,6,6,7,4,1,1,1,1,1,1,2,1,6,4,6,5
first,10198,7,1,7,7,7,1,1,1,7,4,7,7,1,1,1,1,1,1,1,1,7,7,7,7
first,10199,4,1,4,7,7,1,4,1,4,4,2,4,2,3,1,1,1,1,4,1,4,7,7,1
first,10200,6,2,5,6,5,2,2,3,6,3,7,7,4,1,4,1,2,1,3,2,6,6,4,7
first,10201,5,2,7,7,7,3,1,2,7,6,6,7,1,3,2,2,2,1,2,1,7,7,3,5
first,10202,4,7,7,7,4,4,1,5,4,7,1,4,1,5,4,5,4,5,4,4,4,4,3,4
first,10203,7,1,5,7,7,1,5,1,7,5,7,7,2,1,1,2,1,1,1,1,1,1,1,1
first,10204,6,2,6,6,7,4,3,1,7,6,7,7,1,1,1,1,1,1,1,1,7,7,7,7
first,10206,4,1,5,6,7,1,2,2,6,4,2,4,2,3,2,3,1,2,3,2,5,5,6,3
first,10208,6,4,7,7,7,4,1,1,6,5,7,7,1,1,2,4,1,1,2,2,7,6,5,6
first,10209,4,7,7,7,4,7,1,6,3,2,7,3,1,1,7,1,6,1,4,5,3,2,1,4
first,10210,4,6,6,6,3,5,1,5,5,5,4,4,1,4,6,4,4,5,5,5,2,2,2,4
first,10211,7,7,3,3,3,6,6,3,7,3,7,5,5,2,6,2,3,3,2,2,6,6,5,6
first,10212,5,3,6,6,7,3,2,1,6,4,6,6,2,2,1,4,2,2,1,1,7,7,4,7
first,10213,7,4,2,7,4,1,4,4,6,1,7,5,4,1,7,1,1,1,7,2,4,4,2,7
first,10214,4,4,3,4,4,4,3,4,4,3,4,3,4,1,5,1,4,2,3,4,3,3,2,1
first,10215,4,1,6,6,6,1,1,1,7,2,7,4,3,1,1,1,1,1,1,1,6,5,4,4
first,10216,4,1,6,7,7,1,2,1,7,3,7,5,1,2,4,1,1,1,4,3,5,7,7,1
first,10217,3,2,6,5,4,1,4,1,5,2,7,4,1,1,1,1,1,1,4,2,5,4,4,2
first,10218,4,2,6,6,5,4,1,1,3,4,3,3,2,3,3,4,3,2,2,2,4,4,3,2
first,10219,4,2,4,4,1,4,5,3,4,2,7,4,3,1,4,1,4,1,2,3,3,4,1,3
first,10220,4,1,4,7,7,4,1,1,7,4,7,4,1,1,1,1,1,1,1,1,4,7,7,7
first,10221,4,3,6,6,6,4,2,1,5,5,7,4,1,1,4,1,1,1,7,4,5,5,1,4
first,10222,1,7,4,5,2,6,4,6,1,1,3,1,2,3,7,3,6,4,6,6,1,1,2,1
first,10223,6,2,6,5,6,2,3,1,6,3,7,6,3,1,2,2,1,1,6,3,7,7,6,6
first,10224,6,4,4,7,7,4,4,6,7,4,7,7,2,1,7,1,6,3,5,3,7,6,2,6
first,10226,2,6,6,6,2,4,1,5,4,2,7,4,1,1,6,1,4,3,5,2,4,4,1,5
first,10227,1,3,4,6,6,4,4,3,2,4,3,3,4,4,5,4,4,4,2,2,3,6,3,2
first,10228,4,5,5,7,4,3,2,2,4,5,6,5,1,1,3,2,3,4,5,3,4,4,3,3
first,10230,1,2,5,6,5,1,5,5,4,2,1,1,1,1,4,4,1,1,5,5,6,1,4,3
first,10231,7,1,5,7,6,1,1,1,7,5,7,7,1,1,2,1,1,1,6,1,7,7,7,7
first,10232,6,2,6,5,5,4,3,2,4,4,1,5,1,1,4,2,2,2,2,1,6,5,4,7
first,10233,2,7,4,4,6,3,3,3,4,5,7,2,2,1,6,1,3,2,6,5,1,2,3,3
first,10234,2,2,4,6,2,5,4,4,3,3,7,2,4,2,6,1,4,1,1,3,6,5,4,2
first,10237,6,3,2,6,7,5,3,2,5,4,7,4,2,1,2,1,1,1,3,2,6,5,4,3
first,10238,4,4,5,7,3,5,2,4,3,5,4,4,2,4,7,4,5,5,3,2,4,4,3,4
first,10240,4,6,5,6,6,7,4,5,3,4,7,4,3,1,7,1,6,1,7,6,2,4,4,4
third,10169,7,4,5,7,5,2,5,2,7,6,1,7,5,5,4,5,2,5,4,2,7,7,7,7
third,10170,3,2,4,6,4,1,3,3,4,5,1,4,3,1,3,1,2,1,2,2,6,4,3,4
third,10171,5,2,7,7,6,2,1,1,7,6,6,5,1,2,2,2,2,1,1,2,6,6,2,6
third,10172,4,5,4,6,5,5,5,5,5,5,5,5,5,4,5,5,6,5,5,5,7,5,4,5
third,10174,3,4,4,4,5,3,2,4,4,4,5,6,5,4,4,5,4,5,6,5,6,4,4,4
third,10175,4,1,4,5,7,1,1,1,4,4,7,4,1,1,3,1,1,1,1,1,4,4,4,4
third,10176,3,6,4,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4
third,10179,6,5,6,6,2,5,1,4,4,5,7,4,2,1,7,1,6,2,4,4,3,3,2,2
third,10181,2,5,2,3,3,5,4,3,3,5,4,2,5,4,5,1,1,5,5,4,2,3,4,1
third,10183,3,2,2,3,2,3,3,5,3,4,2,2,4,4,4,4,4,5,4,4,3,3,4,3
third,10184,4,3,3,5,3,4,4,4,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4
third,10185,5,5,4,5,4,6,3,3,3,5,4,6,4,4,3,4,6,5,3,6,6,4,3,5
third,10186,1,4,7,7,5,4,1,1,3,7,1,3,1,5,4,4,4,4,3,3,6,4,2,6
third,10188,4,3,4,3,5,1,3,1,3,1,7,3,2,1,3,1,1,1,3,4,4,3,7,1
third,10189,1,5,5,4,1,4,3,4,2,6,4,2,1,1,5,1,5,2,6,5,4,2,1,1
third,10190,2,3,4,5,5,5,5,4,4,4,5,4,3,5,7,5,6,5,4,5,3,3,3,3
third,10191,1,5,4,4,2,4,4,5,2,4,7,2,2,1,5,1,5,1,6,4,3,3,1,3
third,10192,4,3,7,6,4,4,5,4,5,5,3,1,1,4,3,4,2,4,4,3,4,4,4,6
third,10193,1,1,2,3,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1
third,10197,4,4,4,4,4,2,3,4,2,4,5,2,3,3,2,3,3,5,3,3,5,3,3,5
third,10198,5,5,6,4,4,6,3,6,3,6,3,2,2,4,1,4,4,4,4,4,4,6,6,4
