Study,UserID,Item01,Item02,Item03,Item04,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26
second,10169,2,2,2,2,4,2,5,1,6,2,2,2,2,5,1,2,6,2,2,3,6,4,3,7,2
second,10170,4,6,6,5,4,6,4,4,2,5,5,5,4,4,6,3,2,5,3,2,3,2,6,6,6
second,10171,5,6,5,5,6,5,1,4,1,5,5,5,6,2,5,5,3,5,4,1,4,2,6,7,5
second,10172,6,6,7,6,6,5,3,4,2,5,4,5,4,3,3,2,4,5,5,2,6,3,5,5,5
second,10174,4,3,6,4,5,2,6,2,4,4,3,4,2,4,4,6,1,1,3,6,4,4,4,4,4
second,10175,7,5,6,5,6,5,1,6,1,6,7,7,5,1,6,4,2,6,4,1,6,1,6,7,6
second,10176,3,3,4,3,3,4,5,3,6,6,3,3,3,4,3,4,1,3,3,5,4,4,3,3,3
second,10178,4,5,5,5,5,5,6,4,2,5,5,5,4,3,5,4,2,5,5,2,2,2,5,5,4
second,10179,4,6,5,4,5,5,3,2,3,4,4,5,3,2,5,5,2,4,4,3,1,3,6,6,5
second,10181,5,2,6,5,4,4,3,3,3,5,5,3,5,5,5,3,3,1,4,4,5,4,3,3,3
second,10183,4,5,5,2,5,3,4,3,6,3,3,4,4,4,3,4,2,5,2,4,3,3,5,4,3
second,10184,5,6,6,6,6,6,1,6,2,6,6,6,6,3,6,4,3,4,6,2,6,3,7,6,4
second,10185,4,4,4,5,4,3,2,3,3,4,4,4,4,4,4,4,4,5,3,4,2,2,4,4,4
second,10186,1,5,2,4,7,4,4,4,4,3,3,7,5,1,7,5,1,1,4,3,4,1,7,7,6
second,10187,6,5,5,4,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,6,6,5,5,5,6
second,10188,4,4,5,5,5,4,1,4,2,4,5,5,4,4,4,5,3,3,4,4,4,3,5,4,4
second,10189,1,2,2,1,2,1,6,1,6,1,1,1,1,2,1,1,1,1,2,6,2,6,2,3,1
second,10190,3,5,7,4,4,5,1,4,6,6,1,7,7,1,3,4,3,1,1,5,5,6,7,5,2
second,10191,6,7,7,6,6,7,2,4,1,5,6,6,6,4,5,6,2,7,6,2,4,1,7,7,7
second,10192,7,7,7,7,7,7,1,7,6,7,7,7,7,1,7,4,2,7,7,1,7,1,7,7,7
second,10193,3,2,4,3,5,4,1,3,4,1,4,2,4,6,5,2,6,4,3,3,2,5,4,3,4
second,10196,4,7,3,1,7,4,4,4,6,4,4,4,5,4,5,4,6,4,4,5,4,3,2,4,5
second,10197,7,5,5,5,5,4,4,4,1,3,4,5,3,4,4,5,1,2,4,3,3,5,4,6,3
second,10198,7,7,7,7,7,7,4,7,1,7,7,7,7,1,7,4,1,7,7,1,4,1,7,7,7
second,10200,5,5,6,5,6,4,3,4,5,4,4,6,5,3,5,5,2,4,4,3,5,2,6,5,5
second,10201,4,7,5,4,6,4,4,3,3,6,5,6,6,2,5,6,3,5,5,2,6,3,6,6,6
second,10202,5,5,4,4,5,4,6,4,4,5,4,4,4,4,4,4,1,3,4,4,4,5,5,5,4
second,10203,7,7,4,7,7,7,1,7,1,7,7,7,7,1,7,7,1,7,7,1,7,1,7,7,7
second,10204,7,6,7,6,7,7,1,4,2,7,7,7,7,3,7,5,4,7,7,1,7,1,7,5,6
second,10206,4,4,6,5,6,2,5,4,2,4,3,4,5,4,4,5,2,4,3,2,5,3,6,5,4
second,10208,4,5,4,3,5,3,3,4,6,5,3,3,4,4,4,4,6,5,4,4,4,3,5,4,5
second,10209,1,2,7,1,4,2,1,4,6,1,1,4,1,4,4,3,5,1,1,6,1,1,2,4,4
second,10210,4,4,4,4,6,2,2,2,3,4,4,2,6,2,2,3,3,2,3,6,6,3,3,3,3
second,10211,1,2,2,1,2,1,1,2,5,3,2,2,2,5,2,1,5,1,1,4,1,4,4,2,1
second,10212,2,4,6,4,4,3,2,3,4,5,3,4,2,3,4,3,5,4,3,3,2,3,4,5,4
second,10213,4,5,4,3,6,5,2,2,3,4,5,5,6,3,4,6,4,6,5,4,6,3,6,7,5
second,10214,4,7,5,5,4,5,2,3,2,4,4,3,4,3,5,4,3,5,4,2,2,3,5,5,5
second,10215,6,7,7,4,5,4,1,7,1,4,3,6,5,1,6,2,3,4,4,1,1,1,6,6,6
second,10216,2,4,7,5,4,5,1,4,3,7,3,4,6,5,4,4,2,7,2,3,7,6,7,7,4
second,10217,5,5,6,6,6,4,2,4,2,6,4,5,6,3,5,4,4,4,5,2,3,5,6,6,5
second,10218,4,7,3,2,7,4,3,4,2,5,4,5,5,3,5,5,3,2,2,3,4,1,7,7,7
second,10219,1,2,4,1,2,1,4,4,4,3,5,4,2,7,2,4,2,4,3,6,4,5,2,3,4
second,10220,1,7,5,1,7,7,1,7,1,7,1,7,7,1,1,4,1,1,4,1,1,4,7,7,7
second,10221,4,4,6,2,4,6,2,4,6,6,3,2,3,5,4,3,3,4,4,5,5,5,4,6,4
second,10223,1,2,4,1,2,4,4,2,5,4,2,2,2,6,2,3,4,3,3,6,2,4,2,2,2
second,10224,4,7,7,7,7,5,1,4,1,4,5,5,6,4,6,6,2,5,5,2,6,2,6,6,5
second,10226,6,7,2,4,5,4,3,4,1,6,6,6,5,2,4,6,1,5,5,1,4,6,6,6,4
second,10227,7,7,6,5,6,6,2,6,2,6,6,6,6,2,6,5,1,5,6,2,4,2,6,6,6
second,10228,4,5,5,4,5,4,3,4,3,4,5,4,4,4,4,4,3,4,4,3,4,4,5,4,4
second,10230,6,6,7,7,7,5,1,5,3,5,5,4,5,1,6,7,1,7,6,3,6,4,7,7,5
second,10231,3,3,6,4,6,5,1,1,4,3,2,6,4,2,2,4,4,2,2,5,4,4,6,5,4
second,10232,5,5,5,5,6,5,2,5,2,6,5,6,5,1,6,6,1,5,5,1,6,1,7,2,6
second,10233,2,4,6,3,2,1,4,1,5,4,4,1,2,6,4,1,3,6,7,5,5,4,6,4,3
second,10234,4,7,4,4,5,3,1,2,1,4,4,4,3,3,4,5,2,6,6,6,4,5,4,4,3
second,10237,4,5,7,3,5,4,1,4,2,5,4,3,5,2,5,3,6,4,3,3,5,2,5,5,5
second,10238,4,5,5,4,5,5,4,5,4,5,5,5,5,3,5,4,1,5,4,4,5,3,5,6,5
second,10240,2,2,4,2,2,4,4,2,5,4,2,1,2,5,2,2,4,2,2,5,2,4,3,2,2
second,10242,1,2,2,1,5,1,4,1,6,1,1,1,1,4,1,1,6,1,1,6,3,3,7,4,4
third,10169,7,7,5,7,7,7,3,7,2,6,7,7,7,4,7,7,1,7,7,1,7,1,7,7,7
third,10170,4,6,4,6,6,6,5,4,2,5,5,4,4,2,4,5,1,5,4,2,5,1,6,6,6
third,10171,4,7,6,6,7,6,1,5,2,6,5,6,6,2,5,4,2,5,5,2,3,2,7,7,6
third,10172,5,5,6,5,5,5,5,5,5,5,5,6,4,5,5,5,4,6,4,5,5,4,5,5,6
third,10174,7,7,3,5,4,4,4,3,3,4,4,6,5,5,5,4,5,6,4,6,3,5,3,4,4
third,10175,4,4,6,5,5,5,1,5,1,5,5,6,6,3,6,5,1,6,5,2,5,1,5,7,6
third,10176,4,4,3,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4
third,10178,4,4,4,4,4,4,4,4,4,4,4,2,4,6,4,4,4,4,4,4,4,4,4,4,4
third,10179,2,6,5,4,5,4,2,2,3,4,4,3,4,2,5,5,2,2,4,4,3,2,6,4,4
third,10181,4,5,4,4,3,4,4,4,4,4,4,1,1,4,5,3,4,5,3,2,5,2,4,5,4
third,10183,2,2,2,2,2,2,4,2,5,3,2,2,2,6,3,4,2,2,2,5,2,4,2,3,3
third,10184,5,4,4,4,5,4,4,4,4,4,4,6,4,1,4,4,4,2,4,4,4,6,4,4,4
third,10185,4,6,4,3,5,3,6,6,4,3,5,4,5,3,2,5,3,4,5,5,4,5,4,3,3
third,10186,6,7,5,4,6,4,1,5,5,5,1,7,7,1,4,5,1,1,5,3,4,5,2,6,4
third,10188,3,3,4,4,4,3,2,2,1,2,4,3,3,1,4,3,2,2,3,2,2,3,4,4,4
third,10189,1,3,2,2,4,1,1,1,3,3,1,3,2,7,2,3,1,1,1,6,1,5,2,4,3
third,10190,3,6,5,6,6,5,4,4,5,3,5,3,4,5,5,4,5,5,5,5,5,4,2,3,3
third,10191,4,4,3,2,4,2,6,2,3,3,4,4,4,3,4,5,2,4,2,3,1,2,3,3,5
third,10192,4,4,5,4,4,4,4,4,4,4,4,7,6,5,5,7,2,7,7,1,7,4,6,5,6
third,10193,1,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,4,1,1,1,1,1,2,2,1
third,10197,7,5,3,7,5,4,4,5,1,4,4,4,4,2,4,2,4,5,4,5,1,3,5,4,3
third,10198,4,5,4,5,6,6,2,4,3,5,5,7,7,4,7,6,1,7,7,2,2,3,5,5,5
third,10199,4,4,4,5,4,3,2,4,4,4,4,6,4,4,4,4,5,3,1,4,5,4,2,5,4
third,10200,5,7,6,4,5,4,2,4,3,6,5,5,6,3,5,7,1,6,5,3,6,2,6,6,5
third,10201,3,5,7,6,6,6,5,3,3,5,5,6,5,6,4,6,2,6,5,4,6,2,6,6,6
third,10202,4,5,3,2,5,2,3,5,5,5,3,5,5,3,4,5,2,2,4,3,3,6,5,5,3
third,10203,4,7,4,4,7,7,3,6,4,4,5,5,7,5,4,7,6,6,4,4,2,1,5,4,5
third,10204,1,2,4,1,2,1,4,1,6,1,1,2,1,4,1,4,4,1,1,1,1,6,2,4,1
third,10206,4,5,4,4,6,4,3,4,3,5,6,5,5,4,5,6,2,4,4,3,4,3,4,6,5
third,10208,2,4,3,2,4,2,3,4,6,3,2,5,5,4,3,3,3,3,3,5,3,3,4,3,4
third,10209,2,4,2,2,4,1,1,4,6,4,2,2,2,4,3,3,3,2,3,4,1,5,4,4,4
third,10210,1,2,2,1,2,1,6,1,6,1,1,1,1,4,1,1,4,1,1,6,4,1,2,4,1
third,10213,5,7,7,5,7,7,1,3,1,4,7,7,4,1,7,7,1,7,2,2,5,5,7,4,4
third,10214,3,2,2,1,2,1,3,1,5,3,2,3,4,6,4,4,2,1,2,5,1,6,2,2,2
third,10215,5,2,2,4,2,1,1,5,1,4,4,3,3,4,3,1,1,1,1,1,1,1,2,4,3
third,10216,3,5,7,4,6,5,2,4,1,6,6,5,5,3,4,6,1,2,4,2,3,3,6,7,4
third,10217,3,3,4,3,4,4,3,4,3,5,4,4,4,3,5,4,3,4,4,3,2,2,6,6,6
third,10218,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,5,5,3,3,3,4,4,4
third,10219,1,2,4,3,4,2,5,2,4,1,2,1,1,4,2,1,1,3,1,5,4,4,2,2,2
third,10220,4,7,4,1,7,1,1,4,1,4,1,7,4,4,1,7,1,1,1,1,4,4,4,7,1
third,10221,2,2,4,4,3,3,6,3,4,4,2,4,3,6,4,5,3,3,2,6,3,4,4,3,2
third,10223,4,4,3,3,4,4,4,4,3,4,4,4,5,3,4,4,3,4,4,2,5,3,5,7,5
third,10224,5,5,5,4,5,4,3,4,3,5,4,5,4,4,5,6,3,4,4,4,4,4,4,5,4
third,10226,4,4,3,3,2,1,5,1,4,4,2,3,2,2,6,3,1,2,4,4,4,5,2,5,2
third,10227,5,4,5,5,4,5,2,5,2,5,5,6,6,4,6,6,6,6,6,4,6,4,5,6,6
third,10228,1,2,2,1,2,1,1,1,2,1,1,4,4,4,4,4,5,4,2,6,1,2,2,2,3
third,10230,4,5,5,3,2,2,3,6,4,7,4,4,6,3,6,2,4,6,5,3,2,5,3,4,4
third,10231,4,4,7,4,7,4,2,1,4,7,4,7,5,4,4,4,4,4,4,4,6,4,7,5,4
third,10232,4,6,5,4,5,4,1,4,2,6,6,6,5,4,6,6,1,5,4,2,7,2,6,7,4
third,10234,6,2,2,2,6,2,2,1,1,1,2,1,2,2,2,2,3,1,6,4,1,6,5,4,2
third,10237,3,5,3,4,2,3,2,4,4,5,3,3,4,4,3,6,3,5,4,4,2,4,5,5,4
third,10238,4,5,5,4,5,4,4,4,3,5,5,3,2,4,4,5,1,5,4,3,5,3,5,6,5
