UserID,NroUSP,Type,Group,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,P1s0,P1s1,P1s2,P1s3
10169.0,10377538.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,5040.0,5040.0,0.0,4760.0,5040.0,2520.0,5040.0,2520.0,5040.0,5040.0,NA,NA,NA,NA
10170.0,10260351.0,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,4914.0,5040.0,2520.0,4760.0,0.0,0.0,2520.0,4725.0,5040.0,3360.0,NA,NA,NA,NA
10171.0,698531.0,non-gamified,Grupo  Team 6,Apprentice,NA,5040.0,4872.0,0.0,3080.0,5040.0,5040.0,5040.0,5040.0,0.0,1260.0,5040.0,2520.0,3360.0,2520.0
10174.0,10276852.0,ont-gamified,Grupo Urano,Master,Yee Achiever,5040.0,3696.0,2520.0,4760.0,5040.0,2520.0,5040.0,2520.0,2520.0,5040.0,NA,NA,NA,NA
10175.0,10310700.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,4914.0,5040.0,2520.0,4760.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,NA,NA,NA,NA
10176.0,10276949.0,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,5040.0,5040.0,2520.0,3360.0,0.0,5040.0,5040.0,4410.0,2016.0,3360.0,5040.0,2520.0,1680.0,2520.0
10178.0,8656201.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,504.0,3612.0,0.0,3360.0,0.0,0.0,1680.0,0.0,5040.0,0.0,5040.0,2520.0,1680.0,1260.0
10179.0,10310759.0,non-gamified,Grupo Team 9,Master,NA,5040.0,5040.0,2520.0,4760.0,5040.0,5040.0,5040.0,5040.0,0.0,5040.0,NA,NA,NA,NA
10181.0,10276866.0,non-gamified,Grupo Team 10,Master,NA,5040.0,5040.0,2520.0,4760.0,5040.0,2520.0,5040.0,5040.0,2016.0,5040.0,NA,NA,NA,NA
10183.0,10352030.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,3906.0,4956.0,2520.0,5040.0,5040.0,1890.0,1680.0,4725.0,2016.0,0.0,5040.0,2520.0,1680.0,1260.0
10184.0,10276675.0,ont-gamified,Grupo Apolo,Master,Yee Socializer,5040.0,5040.0,840.0,4760.0,5040.0,2520.0,5040.0,4725.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0
10185.0,10276960.0,non-gamified,Grupo Team 12,Apprentice,NA,1512.0,3864.0,3360.0,4760.0,5040.0,1890.0,5040.0,2205.0,5040.0,5040.0,NA,NA,NA,NA
10186.0,10310551.0,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,5040.0,4872.0,1680.0,4760.0,0.0,5040.0,5040.0,5040.0,0.0,5040.0,NA,NA,NA,NA
10187.0,9790781.0,non-gamified,Grupo Team 15,Apprentice,NA,2772.0,4788.0,2520.0,4760.0,5040.0,2520.0,5040.0,2205.0,0.0,5040.0,5040.0,5040.0,5040.0,5040.0
10188.0,10276995.0,non-gamified,Grupo Team 3,Master,NA,4032.0,5040.0,5040.0,3360.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,3780.0
10189.0,9363926.0,ont-gamified,Grupo Hades,Master,Yee Socializer,3906.0,4536.0,2520.0,4760.0,5040.0,5040.0,5040.0,4725.0,5040.0,5040.0,5040.0,2520.0,1680.0,1260.0
10190.0,10276907.0,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,3654.0,4536.0,2520.0,3360.0,5040.0,5040.0,5040.0,1575.0,2520.0,0.0,NA,NA,NA,NA
10191.0,10276981.0,non-gamified,Grupo  Team 6,Master,NA,4032.0,5040.0,5040.0,4760.0,5040.0,2520.0,5040.0,5040.0,5040.0,5040.0,NA,NA,NA,NA
10192.0,10276682.0,non-gamified,Grupo Team 5,Apprentice,NA,4788.0,5040.0,2520.0,4760.0,0.0,1890.0,5040.0,4725.0,0.0,3360.0,5040.0,2520.0,3360.0,2520.0
10193.0,10276762.0,ont-gamified,Grupo Afrodite,Master,Yee Achiever,4914.0,4956.0,5040.0,4760.0,5040.0,2520.0,5040.0,5040.0,0.0,5040.0,5040.0,5040.0,5040.0,5040.0
10195.0,10351971.0,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,4914.0,5040.0,2520.0,4760.0,5040.0,2520.0,5040.0,2205.0,2016.0,5040.0,NA,NA,NA,NA
10196.0,10310655.0,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,3906.0,3948.0,2520.0,3080.0,0.0,2520.0,5040.0,5040.0,2520.0,3360.0,5040.0,2520.0,3360.0,2520.0
10197.0,10276661.0,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,2646.0,4956.0,0.0,4760.0,0.0,5040.0,5040.0,5040.0,2520.0,5040.0,NA,NA,NA,NA
10198.0,10310888.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,2646.0,4704.0,2520.0,3080.0,0.0,1890.0,5040.0,1890.0,2520.0,3360.0,5040.0,2520.0,1680.0,1260.0
10199.0,10276737.0,ont-gamified,Grupo Gaia,Master,Yee Achiever,4914.0,5040.0,2520.0,3360.0,5040.0,5040.0,1680.0,5040.0,2520.0,5040.0,NA,NA,NA,NA
10200.0,9795272.0,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,4032.0,2940.0,2520.0,5040.0,0.0,2520.0,5040.0,4725.0,5040.0,5040.0,5040.0,2520.0,1680.0,1260.0
10201.0,10276928.0,ont-gamified,Grupo Caronte,Master,Yee Achiever,5040.0,5040.0,2520.0,3360.0,0.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0
10202.0,10277036.0,non-gamified,Grupo Team 11,Apprentice,NA,4914.0,4620.0,2520.0,4760.0,5040.0,2520.0,5040.0,4725.0,2520.0,0.0,5040.0,2520.0,1680.0,1260.0
10203.0,9921470.0,non-gamified,Grupo Team 3,Apprentice,NA,3780.0,2604.0,5040.0,3360.0,0.0,2520.0,5040.0,NA,2016.0,5040.0,0.0,0.0,0.0,0.0
