UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item01A,Item04A,Item05A,Item12A,Item19A,Item20A,Item09S,Item11S,Item14S,Item24S,Item25S
10169.0,10377538.0,non-gamified,Grupo Team 10,Apprentice,NA,2,2,2,2,2,2,1,2,2,3,7
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,NA,4,5,4,5,5,3,4,5,4,6,6
10171.0,698531.0,ont-gamified,Grupo Losvakai,Master,Yee Achiever,5,5,6,5,5,4,4,5,6,6,7
10172.0,10273971.0,ont-gamified,Grupo Koil,Master,Yee Achiever,6,6,6,4,5,5,4,5,4,5,5
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,NA,4,4,4,3,1,3,2,4,2,4,4
10175.0,10310700.0,non-gamified,Grupo Team 6,Master,NA,7,5,6,7,6,4,6,6,5,6,7
10176.0,10276949.0,non-gamified,Grupo Team 9,Apprentice,NA,3,3,3,3,3,3,3,6,3,3,3
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,NA,4,5,5,5,5,5,4,5,4,5,5
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,4,4,4,4,4,4,2,4,3,6,6
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,NA,5,5,4,5,1,4,3,5,5,3,3
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer,4,2,3,3,5,2,3,3,4,5,4
10184.0,10276675.0,non-gamified,Grupo Team 7,Master,NA,5,6,6,6,4,6,6,6,6,7,6
10185.0,10276960.0,ont-gamified,Grupo Tosskor,Master,Yee Achiever,4,5,5,4,5,3,3,4,4,4,4
10186.0,10310551.0,non-gamified,Grupo Team 5,Apprentice,NA,1,4,6,3,1,4,4,3,5,7,7
10187.0,9790781.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,6,4,4,4,4,5,5,4,5,5,5
10188.0,10276995.0,ont-gamified,Grupo Paldira,Master,Yee Achiever,4,5,4,5,3,4,4,4,4,5,4
