UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole
10169.0,10377538.0,non-gamified,Grupo Team 10,Apprentice,
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,
10175.0,10310700.0,non-gamified,Grupo Team 6,Master,
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer
10184.0,10276675.0,non-gamified,Grupo Team 7,Master,
10185.0,10276960.0,ont-gamified,Grupo Tosskor,Master,Yee Achiever
10186.0,10310551.0,non-gamified,Grupo Team 5,Apprentice,
10187.0,9790781.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever
10189.0,9363926.0,non-gamified,Grupo Team 2,Apprentice,
10191.0,10276981.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer
10193.0,10276762.0,non-gamified,Grupo Team 2,Master,
10196.0,10310655.0,non-gamified,Grupo Team 5,Apprentice,
10197.0,10276661.0,non-gamified,Grupo Team 11,Master,
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer
10209.0,10262669.0,non-gamified,Grupo Team 1,Master,
10190.0,10276907.0,non-gamified,Grupo Team 8,Apprentice,
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever
10211.0,9311643.0,ont-gamified,Grupo Razorg,Master,Yee Achiever
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,
10223.0,9795185.0,non-gamified,Grupo Team 3,Master,
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,
10233.0,9805320.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer
10242.0,9424506.0,non-gamified,Grupo Team 11,Apprentice,
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,
10171.0,698531.0,ont-gamified,Grupo Losvakai,Master,Yee Achiever
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,
10203.0,9921470.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever
10198.0,10310888.0,non-gamified,Grupo Team 1,Apprentice,
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,
10216.0,10276720.0,ont-gamified,Grupo Ellaru,Master,Yee Socializer
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,
10176.0,10276949.0,non-gamified,Grupo Team 9,Apprentice,
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,
10188.0,10276995.0,ont-gamified,Grupo Paldira,Master,Yee Achiever
10192.0,10276682.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer
10234.0,10310676.0,non-gamified,Grupo Team 6,Apprentice,
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,
10172.0,10273971.0,ont-gamified,Grupo Koil,Master,Yee Achiever
