UserID,NroUSP,Type,Group,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3
10169.0,10377538.0,non-gamified,Grupo Team 10,Apprentice,NA,60.0,26.0,0.0,7.0,0.0,6.0,36.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,NA,72.0,52.0,0.0,0.0,5.0,12.0,36.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10172.0,10273971.0,ont-gamified,Grupo Koil,Master,Yee Achiever,72.0,52.0,1.0,14.0,18.0,18.0,36.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,NA,60.0,0.0,1.0,3.0,12.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10175.0,10310700.0,non-gamified,Grupo Team 6,Master,NA,72.0,52.0,1.0,14.0,18.0,18.0,26.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10176.0,10276949.0,non-gamified,Grupo Team 9,Apprentice,NA,48.0,52.0,1.0,6.0,6.0,18.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,NA,72.0,52.0,1.0,0.0,12.0,11.0,16.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,72.0,52.0,1.0,14.0,12.0,11.0,36.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,NA,44.0,52.0,1.0,14.0,10.0,11.0,36.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer,60.0,52.0,1.0,6.0,11.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10184.0,10276675.0,non-gamified,Grupo Team 7,Master,NA,72.0,52.0,1.0,14.0,18.0,5.0,36.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
10185.0,10276960.0,ont-gamified,Grupo Tosskor,Master,Yee Achiever,44.0,52.0,1.0,14.0,18.0,18.0,36.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0
10186.0,10310551.0,non-gamified,Grupo Team 5,Apprentice,NA,60.0,52.0,1.0,0.0,12.0,5.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0
10187.0,9790781.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,48.0,52.0,1.0,6.0,12.0,11.0,6.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
10188.0,10276995.0,ont-gamified,Grupo Paldira,Master,Yee Achiever,48.0,52.0,1.0,14.0,11.0,6.0,36.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,2.0,2.0,3.0
10189.0,9363926.0,non-gamified,Grupo Team 2,Apprentice,NA,58.0,52.0,1.0,6.0,6.0,6.0,26.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0
10190.0,10276907.0,non-gamified,Grupo Team 8,Apprentice,NA,60.0,24.0,1.0,14.0,11.0,12.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0
10192.0,10276682.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,60.0,52.0,1.0,0.0,12.0,11.0,36.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10196.0,10310655.0,non-gamified,Grupo Team 5,Apprentice,NA,59.0,52.0,1.0,14.0,12.0,12.0,36.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0
10197.0,10276661.0,non-gamified,Grupo Team 11,Master,NA,71.0,52.0,1.0,7.0,12.0,12.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
10198.0,10310888.0,non-gamified,Grupo Team 1,Apprentice,NA,72.0,52.0,1.0,14.0,6.0,11.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,NA,60.0,24.0,0.0,6.0,5.0,4.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,NA,72.0,52.0,1.0,14.0,5.0,18.0,36.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,72.0,24.0,1.0,6.0,17.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10203.0,9921470.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,59.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,NA,72.0,52.0,1.0,14.0,18.0,11.0,36.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,59.0,52.0,1.0,6.0,18.0,4.0,36.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,72.0,52.0,1.0,14.0,18.0,12.0,36.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,72.0,52.0,1.0,7.0,18.0,5.0,36.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,48.0,50.0,1.0,7.0,18.0,6.0,36.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,60.0,52.0,1.0,14.0,18.0,6.0,36.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,48.0,52.0,1.0,14.0,12.0,6.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,60.0,52.0,1.0,14.0,12.0,18.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,72.0,52.0,1.0,14.0,18.0,6.0,36.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,NA,72.0,52.0,1.0,4.0,2.0,12.0,16.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,72.0,24.0,1.0,14.0,12.0,12.0,36.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,60.0,52.0,1.0,14.0,18.0,12.0,26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,70.0,12.0,0.0,0.0,6.0,6.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,33.0,52.0,1.0,14.0,5.0,11.0,36.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,60.0,0.0,1.0,14.0,18.0,12.0,36.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,48.0,38.0,1.0,6.0,12.0,18.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,70.0,52.0,1.0,14.0,6.0,0.0,26.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,72.0,52.0,1.0,14.0,11.0,18.0,36.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,60.0,52.0,1.0,14.0,18.0,18.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,72.0,52.0,1.0,6.0,18.0,5.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,60.0,52.0,1.0,14.0,18.0,18.0,36.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,59.0,52.0,1.0,6.0,12.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,72.0,52.0,1.0,6.0,12.0,5.0,36.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0
