UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3
10169.0,10377538.0,non-gamified,Grupo Team 10,Apprentice,NA,54600.0,32760.0,0.0,32760.0,0.0,21840.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,NA,65520.0,65520.0,0.0,0.0,18200.0,43680.0,65520.0,65520.0,65520.0,65520.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA
10172.0,10273971.0,ont-gamified,Grupo Koil,Master,Yee Achiever,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,0.0,0.0,0.0,0.0
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,NA,54600.0,0.0,65520.0,14040.0,43680.0,18200.0,12740.0,65520.0,32760.0,21840.0,16380.0,65520.0,65520.0,65520.0,65520.0,65520.0,32760.0,21840.0,16380.0
10175.0,10310700.0,non-gamified,Grupo Team 6,Master,NA,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,47320.0,65520.0,32760.0,43680.0,32760.0,65520.0,65520.0,43680.0,49140.0,65520.0,32760.0,21840.0,16380.0
10176.0,10276949.0,non-gamified,Grupo Team 9,Apprentice,NA,43680.0,65520.0,65520.0,28080.0,21840.0,65520.0,32760.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,NA,65520.0,65520.0,65520.0,0.0,43680.0,40040.0,29120.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,65520.0,65520.0,65520.0,65520.0,43680.0,40040.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,NA,40040.0,65520.0,65520.0,65520.0,36400.0,40040.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer,54600.0,65520.0,65520.0,28080.0,40040.0,14560.0,12740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65520.0,65520.0,65520.0,65520.0
