UserID,NroUSP,Gamified,Group,CLRole,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26
10169,10377538,no,Grupo2  Team 10,Aprendiz2,2,2,1,2,2,4,2,5,1,6,2,2,2,2,5,1,2,6,2,2,3,6,4,3,7,2
10170,10260351,no,Grupo2  Team 6,Aprendiz2,4,6,6,5,4,4,6,4,4,2,5,5,5,4,4,6,3,2,5,3,2,3,2,6,6,6
10171,698531,yes,Grupo2   Losvakai,Mestre2,5,6,5,5,6,6,5,1,4,1,5,5,5,6,2,5,5,3,5,4,1,4,2,6,7,5
10172,10273971,yes,Grupo2   Koil,Mestre2,6,6,7,6,6,6,5,3,4,2,5,4,5,4,3,3,2,4,5,5,2,6,3,5,5,5
10174,10276852,no,Grupo2  Team 1,Aprendiz2,4,3,6,4,4,5,2,6,2,4,4,3,4,2,4,4,6,1,1,3,6,4,4,4,4,4
10175,10310700,no,Grupo2  Team 6,Mestre2,7,5,6,5,6,6,5,1,6,1,6,7,7,5,1,6,4,2,6,4,1,6,1,6,7,6
10176,10276949,no,Grupo2  Team 9,Aprendiz2,3,3,4,3,3,3,4,5,3,6,6,3,3,3,4,3,4,1,3,3,5,4,4,3,3,3
10178,8656201,no,Grupo2  Team 11,Aprendiz2,4,5,5,5,5,5,5,6,4,2,5,5,5,4,3,5,4,2,5,5,2,2,2,5,5,4
10179,10310759,yes,Grupo2   Tosskor,Aprendiz2,4,6,5,4,4,5,5,3,2,3,4,4,5,3,2,5,5,2,4,4,3,1,3,6,6,5
10181,10276866,no,Grupo2  Team 7,Aprendiz2,5,2,6,5,4,4,4,3,3,3,5,5,3,5,5,5,3,3,1,4,4,5,4,3,3,3
10183,10352030,no,Grupo2   Belos,Aprendiz2,4,5,5,2,3,5,3,4,3,6,3,3,4,4,4,3,4,2,5,2,4,3,3,5,4,3
10184,10276675,no,Grupo2  Team 7,Mestre2,5,6,6,6,6,6,6,1,6,2,6,6,6,6,3,6,4,3,4,6,2,6,3,7,6,4
10185,10276960,yes,Grupo2   Tosskor,Mestre2,4,4,4,5,5,4,3,2,3,3,4,4,4,4,4,4,4,4,5,3,4,2,2,4,4,4
10186,10310551,no,Grupo2  Team 5,Aprendiz2,1,5,1,4,6,7,4,4,4,4,3,3,7,5,1,7,5,1,1,4,3,4,1,7,7,6
10187,9790781,yes,Grupo2   Razorg,Aprendiz2,6,5,5,4,4,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,6,6,5,5,5,6
10188,10276995,yes,Grupo2   Paldira,Mestre2,4,4,5,5,4,5,4,1,4,2,4,5,5,4,4,4,5,3,3,4,4,4,3,5,4,4
10189,9363926,no,Grupo2  Team 2,Aprendiz2,1,2,2,1,2,1,1,7,1,7,1,1,1,1,2,1,1,1,1,2,7,2,7,1,3,1
10190,10276907,no,Grupo2  Team 8,Aprendiz2,3,5,7,4,2,4,5,1,4,6,6,1,7,7,1,3,4,3,1,1,5,5,7,7,5,2
10191,10276981,yes,Grupo2   Yeka,Aprendiz2,6,7,7,6,7,6,7,2,4,1,5,6,6,6,4,5,6,2,7,6,2,4,1,7,7,7
10192,10276682,yes,Grupo2   Yeka,Aprendiz2,7,7,7,7,7,7,7,1,7,6,7,7,7,7,1,7,4,2,7,7,1,7,1,7,7,7
10193,10276762,no,Grupo2  Team 2,Mestre2,3,2,4,3,6,5,4,1,3,4,1,4,2,4,6,5,2,6,4,3,3,2,5,4,3,4
10195,10351971,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10196,10310655,no,Grupo2  Team 5,Aprendiz2,4,7,3,1,3,7,4,4,4,7,4,4,4,5,4,5,4,6,4,4,5,4,3,2,4,5
10197,10276661,no,Grupo2  Team 11,Mestre2,7,5,5,5,4,5,4,4,4,1,3,4,5,3,4,4,5,1,2,4,3,3,5,4,6,3
10198,10310888,no,Grupo2  Team 1,Aprendiz2,7,7,7,7,4,7,7,4,7,1,7,7,7,7,1,7,4,1,7,7,1,4,1,7,7,7
10199,10276737,no,,,4,7,7,6,6,5,5,6,7,6,4,4,7,4,6,7,4,3,6,7,6,7,5,5,5,7
10200,9795272,no,Grupo2  Team 4,Aprendiz2,5,5,6,5,3,6,4,3,4,5,4,4,6,5,3,5,5,2,4,4,3,5,2,6,5,5
10201,10276928,no,Grupo2  Team 10,Mestre2,4,7,5,4,5,6,4,4,3,3,6,5,6,6,2,5,6,3,5,5,2,6,3,6,6,6
10202,10277036,yes,Grupo2   Paldira,Aprendiz2,5,5,4,4,4,5,4,6,4,4,5,4,4,4,4,4,4,1,3,4,4,4,5,5,5,4
10203,9921470,yes,Grupo2   Paldira,Aprendiz2,7,7,4,7,7,7,7,1,7,1,7,7,7,7,1,7,7,1,7,7,1,7,1,7,7,7
10204,10310471,no,Grupo2  Team 5,Mestre2,7,6,7,6,7,7,7,1,4,2,7,7,7,7,3,7,5,4,7,7,1,7,1,7,5,6
10206,10310721,no,Grupo2  Team 9,Mestre2,4,4,6,5,3,6,2,5,4,2,4,3,4,5,4,4,5,2,4,3,2,5,3,6,5,4
10208,10276932,yes,Grupo2   Yeka,Mestre2,4,5,4,3,5,5,3,3,4,6,5,3,3,4,4,4,4,6,5,4,4,4,3,5,4,5
10209,10262669,no,Grupo2  Team 1,Mestre2,1,1,7,1,7,4,2,1,4,6,1,1,4,1,4,4,3,5,1,1,6,1,1,1,4,4
10210,10277015,yes,Grupo2   Losvakai,Aprendiz2,4,4,4,4,6,6,2,2,2,3,4,4,2,6,2,2,3,3,2,3,6,6,3,3,3,3
10211,9311643,yes,Grupo2   Razorg,Mestre2,1,1,1,1,1,1,1,1,2,5,3,2,2,2,5,2,1,5,1,1,4,1,4,4,1,1
10212,9065750,yes,Grupo2   Ellaru,Aprendiz2,2,4,6,4,2,4,3,2,3,4,5,3,4,2,3,4,3,5,4,3,3,2,3,4,5,4
10213,10277040,no,Grupo2  Team 8,Mestre2,4,5,4,3,7,6,5,2,2,3,4,5,5,6,3,4,6,4,6,5,4,6,3,6,7,5
10214,10277022,yes,Grupo2   Koil,Aprendiz2,4,7,5,5,5,4,5,2,3,2,4,4,3,4,3,5,4,3,5,4,2,2,3,5,5,5
10215,9285227,no,Grupo2  Team 7,Aprendiz2,6,7,7,4,3,5,4,1,7,1,4,3,6,5,1,6,2,3,4,4,1,1,1,6,6,6
10216,10276720,yes,Grupo2   Ellaru,Mestre2,2,4,7,5,7,4,5,1,4,3,7,3,4,6,5,4,4,2,7,2,3,7,6,7,7,4
10217,9805341,yes,Grupo2   Belos,Mestre2,5,5,6,6,6,6,4,2,4,2,6,4,5,6,3,5,4,4,4,5,2,3,5,6,6,5
10218,9842913,no,Grupo2  Team 10,Aprendiz2,4,7,3,2,4,7,4,3,4,2,5,4,5,5,3,5,5,3,2,2,3,4,1,7,7,7
10219,10276831,yes,Grupo2   Razorg,Aprendiz2,1,2,4,1,4,1,1,4,4,4,3,5,4,2,7,2,4,2,4,3,6,4,5,2,3,4
10220,9760151,no,Grupo2  Team 4,Aprendiz2,1,7,5,1,1,7,7,1,7,1,7,1,7,7,1,1,4,1,1,4,1,1,4,7,7,7
10221,9082496,no,Grupo2  Team 3,Aprendiz2,4,4,6,2,3,4,6,2,4,6,6,3,2,3,5,4,3,3,4,4,5,5,5,4,6,4
10222,9436110,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10223,9795185,no,Grupo2  Team 3,Mestre2,1,1,4,1,2,2,4,4,2,5,4,2,2,2,6,2,3,4,3,3,6,2,4,2,2,2
10224,9368772,no,Grupo2  Team 9,Aprendiz2,4,7,7,7,5,7,5,1,4,1,4,5,5,6,4,6,6,2,5,5,2,6,2,6,6,5
10226,10310342,yes,Grupo2   Yeka,Aprendiz2,6,7,1,4,3,5,4,3,4,1,6,6,6,5,2,4,6,1,5,5,1,4,6,6,6,4
10227,9274382,no,Grupo2  Team 2,Aprendiz2,7,7,6,5,4,6,6,2,6,2,6,6,6,6,2,6,5,1,5,6,2,4,2,6,6,6
10228,10310492,yes,Grupo2   Losvakai,Aprendiz2,4,5,5,4,4,5,4,3,4,3,4,5,4,4,4,4,4,3,4,4,3,4,4,5,4,4
10229,9292462,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230,10351992,yes,Grupo2   Koil,Aprendiz2,6,6,7,7,7,7,5,1,5,3,5,5,4,5,1,6,7,1,7,6,3,6,4,7,7,5
10231,10276911,no,Grupo2  Team 4,Mestre2,3,3,6,4,4,6,5,1,1,4,3,2,6,4,2,2,4,4,2,2,5,4,4,6,5,4
10232,10276974,no,Grupo2  Team 3,Aprendiz2,5,5,5,5,5,6,5,2,5,2,6,5,6,5,1,6,6,1,5,5,1,6,1,7,1,6
10233,9805320,yes,Grupo2   Tosskor,Aprendiz2,2,4,6,3,5,2,1,4,1,5,4,4,1,2,6,4,1,3,6,7,5,5,4,6,4,3
10234,10310676,no,Grupo2  Team 6,Aprendiz2,4,7,4,4,5,5,3,1,2,1,4,4,4,3,3,4,5,2,6,6,6,4,5,4,4,3
10236,9779461,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10237,10377688,yes,Grupo2   Ellaru,Aprendiz2,4,5,7,3,6,5,4,1,4,2,5,4,3,5,2,5,3,6,4,3,3,5,2,5,5,5
10238,10276953,yes,Grupo2   Belos,Aprendiz2,4,5,5,4,4,5,5,4,5,4,5,5,5,5,3,5,4,1,5,4,4,5,3,5,6,5
10240,10276654,no,Grupo2  Team 8,Aprendiz2,2,2,4,2,2,2,4,4,2,5,4,2,1,2,5,2,2,4,2,2,5,2,4,3,2,2
10241,9885286,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
