UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ParticipationLevel,NroNecessaryInteractions,(1) Elaborar lista de exercícios,(2) Demonstrar a solução de um problema,(3) Enviar (ou reenviar) a solução do problema,(c) Aceitar a solução como boa,NroSolutionReviewed (Apprentice),NroSolutionReviewed (Master),NroSolutionWithoutReviewed (Apprentice),NroSolutionWithoutReviewed (Master),NroSolutionGoodReview,NroDesiredInteractions,(a) Expressar dúvidas em relação à demonstração,(b) Esclarecer as dúvidas,(d) Notificar os erros existentes na solução,(e) Apresentar dicas ou otra forma de ajuda,(f) Expressar dificuldade em resolver o problema,(g) Explicar como resolver o problema
10211,9311643,ont-gamified,Attractive Devils,Master,Social Achiever,complete,4,1,1,0,2,0,4,0,0,0,3,0,1,2,0,0,0
10198,10310888,ont-gamified,Attractive Devils,Apprentice,Social Achiever,complete,3,0,0,3,0,3,0,0,0,2,1,1,0,0,0,0,0
10192,10276682,ont-gamified,Attractive Devils,Apprentice,Social Achiever,partial,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10191,10276981,w/o-gamified,Grupo1,Master,,complete,4,1,1,0,2,0,3,0,0,0,2,0,0,1,1,0,0
10199,10276737,w/o-gamified,Grupo1,Apprentice,,complete,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
10248,9755822,w/o-gamified,Grupo1,Apprentice,,partial,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10179,10310759,w/o-gamified,Grupo10,Master,,semicomplete,8,1,1,0,6,0,9,0,1,0,7,0,1,2,2,0,2
10184,10276675,w/o-gamified,Grupo10,Apprentice,,complete,7,0,0,7,0,7,0,0,0,4,3,1,0,0,0,2,0
10218,9842913,w/o-gamified,Grupo10,Apprentice,,complete,3,0,0,3,0,2,0,1,0,2,0,0,0,0,0,0,0
10170,10260351,w/o-gamified,Grupo11,Apprentice,,complete,3,0,0,3,0,3,0,0,0,3,1,1,0,0,0,0,0
10196,10310655,w/o-gamified,Grupo11,Master,,complete,10,2,2,0,6,0,6,0,0,0,3,0,1,1,1,0,0
10201,10276928,w/o-gamified,Grupo11,Apprentice,,complete,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0
10181,10276866,w/o-gamified,Grupo2,Apprentice,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10238,10276953,w/o-gamified,Grupo2,Master,,partial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10183,10352030,w/o-gamified,Grupo3,Apprentice,,partial,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
10219,10276831,w/o-gamified,Grupo3,Master,,semicomplete,5,1,1,0,3,0,3,0,1,0,0,0,0,0,0,0,0
10220,9760151,w/o-gamified,Grupo3,Apprentice,,complete,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0
10190,10276907,w/o-gamified,Grupo4,Apprentice,,partial,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10226,10310342,w/o-gamified,Grupo4,Apprentice,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10234,10310676,w/o-gamified,Grupo4,Master,,partial,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10227,9274382,w/o-gamified,Grupo5,Master,,partial,4,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
10240,10276654,w/o-gamified,Grupo5,Apprentice,,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
