UserID,NroUSP,Type,Group,CLRole,PlayerRole
10169.0,10377538.0,ont-gamified,Resistance,Apprentice,Social Achiever
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever
10179.0,10310759.0,w/o-gamified,Grupo10,Master,
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever
10187.0,9790781.0,ont-gamified,Mafia,Apprentice,Social Achiever
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever
10191.0,10276981.0,w/o-gamified,Grupo1,Master,
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever
10196.0,10310655.0,w/o-gamified,Grupo11,Master,
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,
10208.0,10276932.0,ont-gamified,Mercenaries,Master,Social Achiever
10209.0,10262669.0,ont-gamified,Mafia,Apprentice,Social Achiever
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,
10211.0,9311643.0,ont-gamified,Attractive Devils,Master,Social Achiever
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever
10219.0,10276831.0,w/o-gamified,Grupo3,Master,
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever
10224.0,9368772.0,ont-gamified,Mercenaries,Apprentice,Social Achiever
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,
10227.0,9274382.0,w/o-gamified,Grupo5,Master,
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever
10231.0,10276911.0,w/o-gamified,Grupo9,Master,
10233.0,9805320.0,w/o-gamified,Grupo6,Master,
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever
10238.0,10276953.0,w/o-gamified,Grupo2,Master,
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,
10174.0,10276852.0,w/o-gamified,Grupo7,Master,
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever
10178.0,8656201.0,ont-gamified,Outlaws,Apprentice,Social Achiever
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever
10212.0,9065750.0,w/o-gamified,Grupo8,Master,
10199.0,10276737.0,w/o-gamified,Grupo1,Apprentice,
10240.0,10276654.0,w/o-gamified,Grupo5,Apprentice,
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever
10234.0,10310676.0,w/o-gamified,Grupo4,Master,
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,
10248.0,9755822.0,w/o-gamified,Grupo1,Apprentice,
