NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2
8656201.0,10178.0,ont-gamified,Outlaws,Apprentice,Social Achiever,30.0,0.0,22.0,22.0,0.0,0.0,0.0
9082496.0,10221.0,ont-gamified,Warriors,Apprentice,Social Achiever,22.0,13.0,0.0,0.0,0.0,0.0,8.0
9274382.0,10227.0,w/o-gamified,Grupo5,Master,NA,38.0,14.0,11.0,22.0,6.0,14.0,0.0
9285227.0,10215.0,ont-gamified,Vikings,Master,Social Achiever,29.0,28.0,22.0,10.0,7.0,0.0,8.0
9363926.0,10189.0,ont-gamified,Vikings,Apprentice,Social Achiever,47.0,11.0,0.0,0.0,5.0,0.0,0.0
9760151.0,10220.0,w/o-gamified,Grupo3,Apprentice,NA,29.0,13.0,0.0,22.0,0.0,0.0,8.0
9790781.0,10187.0,ont-gamified,Mafia,Apprentice,Social Achiever,29.0,0.0,22.0,22.0,0.0,0.0,0.0
9795185.0,10223.0,ont-gamified,Slayers,Master,Social Achiever,29.0,14.0,0.0,22.0,14.0,14.0,0.0
9795272.0,10200.0,ont-gamified,Warriors,Apprentice,Social Achiever,29.0,27.0,10.0,0.0,6.0,0.0,0.0
9805341.0,10217.0,w/o-gamified,Grupo9,Apprentice,NA,29.0,26.0,0.0,22.0,14.0,0.0,18.0
9842913.0,10218.0,w/o-gamified,Grupo10,Apprentice,NA,29.0,13.0,22.0,22.0,0.0,0.0,8.0
9921470.0,10203.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,30.0,42.0,22.0,0.0,0.0,0.0,8.0
10260351.0,10170.0,w/o-gamified,Grupo11,Apprentice,NA,21.0,12.0,10.0,22.0,0.0,7.0,18.0
10262669.0,10209.0,ont-gamified,Mafia,Apprentice,Social Achiever,29.0,28.0,10.0,22.0,0.0,14.0,8.0
10273971.0,10172.0,w/o-gamified,Grupo5,Apprentice,NA,38.0,41.0,0.0,0.0,7.0,0.0,0.0
10276654.0,10240.0,w/o-gamified,Grupo5,Apprentice,NA,29.0,27.0,0.0,22.0,0.0,6.0,0.0
10276661.0,10197.0,w/o-gamified,Grupo8,Apprentice,NA,29.0,28.0,0.0,22.0,13.0,0.0,8.0
10276675.0,10184.0,w/o-gamified,Grupo10,Apprentice,NA,29.0,28.0,11.0,22.0,7.0,0.0,18.0
10276682.0,10192.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29.0,25.0,22.0,22.0,0.0,0.0,0.0
10276720.0,10216.0,ont-gamified,Silly Knights,Master,Social Achiever,29.0,28.0,10.0,22.0,7.0,7.0,0.0
10276762.0,10193.0,ont-gamified,Vandals,Apprentice,Yee Achiever,29.0,27.0,11.0,22.0,6.0,0.0,0.0
10276831.0,10219.0,w/o-gamified,Grupo3,Master,NA,21.0,27.0,10.0,22.0,14.0,0.0,0.0
10276852.0,10174.0,w/o-gamified,Grupo7,Master,NA,38.0,14.0,10.0,22.0,6.0,14.0,8.0
10276866.0,10181.0,w/o-gamified,Grupo2,Apprentice,NA,29.0,26.0,0.0,0.0,7.0,0.0,0.0
10276907.0,10190.0,w/o-gamified,Grupo4,Apprentice,NA,29.0,12.0,0.0,10.0,7.0,6.0,8.0
10276911.0,10231.0,w/o-gamified,Grupo9,Master,NA,29.0,42.0,0.0,22.0,14.0,14.0,8.0
10276928.0,10201.0,w/o-gamified,Grupo11,Apprentice,NA,29.0,27.0,0.0,22.0,14.0,14.0,0.0
10276949.0,10176.0,ont-gamified,Outlaws,Master,Social Achiever,29.0,27.0,22.0,18.0,14.0,14.0,0.0
10276953.0,10238.0,w/o-gamified,Grupo2,Master,NA,56.0,11.0,22.0,0.0,14.0,0.0,8.0
10276960.0,10185.0,w/o-gamified,Grupo9,Apprentice,NA,47.0,42.0,22.0,0.0,7.0,0.0,0.0
10276974.0,10232.0,w/o-gamified,Grupo7,Apprentice,NA,29.0,27.0,22.0,22.0,0.0,6.0,7.0
10276981.0,10191.0,w/o-gamified,Grupo1,Master,NA,29.0,41.0,22.0,22.0,0.0,13.0,0.0
10276995.0,10188.0,ont-gamified,Vandals,Master,Yee Achiever,30.0,14.0,0.0,22.0,14.0,14.0,0.0
10277015.0,10210.0,w/o-gamified,Grupo6,Apprentice,NA,30.0,40.0,11.0,0.0,6.0,12.0,0.0
10277022.0,10214.0,ont-gamified,Vikings,Apprentice,Social Achiever,20.0,0.0,10.0,0.0,0.0,6.0,0.0
10277036.0,10202.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,29.0,26.0,0.0,0.0,0.0,0.0,0.0
10277040.0,10213.0,w/o-gamified,Grupo7,Apprentice,NA,21.0,12.0,0.0,22.0,0.0,7.0,18.0
10310342.0,10226.0,w/o-gamified,Grupo4,Apprentice,NA,29.0,12.0,10.0,0.0,6.0,0.0,9.0
10310471.0,10204.0,w/o-gamified,Grupo6,Apprentice,NA,29.0,13.0,10.0,0.0,7.0,6.0,0.0
10310492.0,10228.0,ont-gamified,Resistance,Apprentice,Social Achiever,29.0,0.0,0.0,0.0,0.0,0.0,8.0
10310551.0,10186.0,ont-gamified,Slayers,Apprentice,Social Achiever,21.0,29.0,12.0,10.0,8.0,8.0,0.0
10310700.0,10175.0,ont-gamified,Warriors,Master,Social Achiever,29.0,28.0,0.0,10.0,7.0,14.0,18.0
10310721.0,10206.0,w/o-gamified,Grupo8,Apprentice,NA,39.0,27.0,10.0,0.0,13.0,0.0,18.0
10310759.0,10179.0,w/o-gamified,Grupo10,Master,NA,48.0,27.0,22.0,22.0,6.0,6.0,8.0
10310888.0,10198.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29.0,27.0,0.0,0.0,7.0,0.0,0.0
10351992.0,10230.0,ont-gamified,Resistance,Master,Social Achiever,29.0,24.0,22.0,22.0,12.0,0.0,8.0
10352030.0,10183.0,w/o-gamified,Grupo3,Apprentice,NA,29.0,26.0,22.0,0.0,0.0,0.0,0.0
10377538.0,10169.0,ont-gamified,Resistance,Apprentice,Social Achiever,29.0,14.0,10.0,0.0,0.0,0.0,0.0
10377688.0,10237.0,ont-gamified,Outlaws,Apprentice,Social Achiever,29.0,27.0,0.0,22.0,14.0,0.0,0.0
