UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item08IE,Item09IE,Item11IE,Item12IE,Item21IE,Item24IE,Item03PC,Item05PC,Item13PC,Item18PC,Item20PC,Item02PT,Item04PT,Item06PT,Item23PT,Item01EI,Item14EI,Item19EI,Item22EI
10169.0,10377538.0,ont-gamified,Resistance,Apprentice,Social Achiever,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,4.0,2.0,2.0,7.0,7.0,6.0,1.0,5.0,5.0,5.0,6.0
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,6.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever,6.0,6.0,6.0,5.0,7.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,7.0,1.0,6.0
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,7.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,6.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,2.0,4.0
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,4.0
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0
10179.0,10310759.0,w/o-gamified,Grupo10,Master,NA,3.0,3.0,2.0,6.0,4.0,4.0,7.0,6.0,5.0,5.0,4.0,1.0,1.0,2.0,7.0,2.0,6.0,1.0,5.0
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,2.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,7.0,1.0,4.0,5.0
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,4.0
