UserID,Type,CLGroup,CLRole,PlayerRole,Item22IE,Item09IE,Item12IE,Item24IE,Item21IE,Item01IE,Item17PC,Item15PC,Item06PC,Item02PC,Item08PC,Item16PT,Item14PT,Item18PT,Item11PT,Item13EI,Item03EI,Item07EI,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
10116,non-gamified,GroupC,Master,NA,4,4,2,6,4,3,4,5,6,7,4,4,2,2,2,4,4,4,3.8333333333333335,2.8,3.5,4,3.783333333333333
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer,6,6,5,5,6,7,1,1,2,3,1,1,2,1,6,3,7,1,5.833333333333333,6.4,1.5,6.333333333333333,6.266666666666667
10121,ont-gamified,Grupo Hades,Master,Yee Achiever,5,6,6,4,5,1,3,4,2,2,2,5,3,2,3,3,5,3,4.5,5.4,3.75,5,4.7875
10122,non-gamified,GroupB,Apprentice,NA,1,1,2,1,1,2,1,1,2,3,2,1,1,1,2,2,3,2,1.3333333333333333,6.2,2.25,5,4.570833333333333
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,3,2,3,3,3,2,3,3,2,5,3,2,4,4,4,3,3,3,2.6666666666666665,4.8,3.5,4.333333333333333,4.075
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,5,6,6,4,6,5,2,2,2,2,1,1,2,1,3,1,5,5,5.333333333333333,6.2,2.25,5,5.570833333333333
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,7,6,6,6,6,4,4,3,3,2,4,4,2,2,5,5,5,5,5.833333333333333,4.8,2.75,3.6666666666666665,4.887499999999999
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,1,1,1,1,1,1,1,1,1,4,6,1,1,1,1,5,2,6,1,5.4,2.5,2.3333333333333335,3.5583333333333336
10129,non-gamified,GroupB,Apprentice,NA,1,2,1,1,3,1,4,5,4,7,4,5,5,5,1,5,7,2,1.5,3.2,5.5,5.333333333333333,3.133333333333333
10130,non-gamified,GroupC,Apprentice,NA,5,5,4,5,5,4,4,4,5,3,5,5,4,5,2,1,6,2,4.666666666666667,3.8,5,6.333333333333333,4.45
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,7,5,7,7,7,4,6,7,7,5,2,2,1,2,6,3,6,1,6.166666666666667,2.6,1.75,6,5.254166666666666
10132,non-gamified,GroupA,Apprentice,NA,1,1,1,1,1,1,2,3,4,7,4,2,2,2,3,3,7,3,1,4,2.75,5.666666666666667,3.979166666666667
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,2,2,2,2,2,2,5,5,3,6,6,3,3,3,2,4,4,4,2,3,3.75,4,3.3125
10135,non-gamified,GroupB,Apprentice,NA,5,5,5,2,5,5,2,2,1,4,6,4,4,4,5,2,5,5,4.5,5,3.75,4.666666666666667,4.604166666666667
10136,non-gamified,GroupC,Apprentice,NA,1,1,1,1,1,1,6,5,6,7,6,3,1,5,4,5,3,6,1,2,3.25,2.6666666666666665,2.6041666666666665
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,5,5,6,6,6,5,1,4,1,1,1,1,1,1,7,1,5,1,5.5,6.4,1,6.333333333333333,6.308333333333334
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,4,6,6,4,5,3,4,5,6,4,3,4,4,2,3,1,7,1,4.666666666666667,3.6,3.75,7,4.879166666666666
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,3,6,3,4,5,1,1,7,4,4,1,3,4,1,7,4,5,5,3.6666666666666665,4.6,2.25,4,4.504166666666666
10140,non-gamified,GroupC,Apprentice,NA,2,4,1,2,4,1,4,4,4,4,4,4,5,5,4,5,3,4,2.3333333333333335,4,4.5,3.3333333333333335,3.291666666666667
