UserID,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10116,non-gamified,GroupC,Master,NA,17,-0.11357294579123271,0.3404460557640438,0.9912592856334346,1.0627057360432999
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer,29,1.9055652511372145,0.4831151168454193,0.7906581194523592,0.8880077574827042
10121,ont-gamified,Grupo Hades,Master,Yee Achiever,21,0.39919386735116996,0.3820082242267687,1.4813007242964729,1.7132025796694061
10122,non-gamified,GroupB,Apprentice,NA,2,-2.052346136375981,0.5717423511758457,0.8777908362655396,0.6900933762559412
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,10,-0.8319791817322215,0.33030419056592975,0.24038574808836297,0.25976963503335593
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,26,1.2733257983058535,0.4431020178526832,0.4521056729942701,0.45673771745884356
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,29,1.9055652511372145,0.4831151168454193,0.739632866413383,0.8076846520696518
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,0,-3.5152952430681976,1.3470927129118802,0.08660482140270058,0.09587562217238639
10129,non-gamified,GroupB,Apprentice,NA,3,-1.785151127196218,0.48550528082136196,0.42709786125862026,0.47066790173196726
10130,non-gamified,GroupC,Apprentice,NA,22,0.5529952204217218,0.3950720561907081,0.11899806587565342,0.1187686713413206
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,31,2.3995832302498257,0.5300944950760875,2.083047493507612,2.162668164362444
10132,non-gamified,GroupA,Apprentice,NA,0,-3.5152952430681976,1.3470927129118802,0.08660482140270058,0.09587562217238639
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,6,-1.2851216362168434,0.37536493957154665,0.13913620616633268,0.12994046659556624
10135,non-gamified,GroupB,Apprentice,NA,21,0.39919386735116996,0.3820082242267687,1.0099790807754518,1.0989804979164797
10136,non-gamified,GroupC,Apprentice,NA,0,-3.5152952430681976,1.3470927129118802,0.08660482140270058,0.09587562217238639
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,27,1.4744559960710024,0.4545480987353545,0.3243352759856218,0.31705756575185434
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,22,0.5529952204217218,0.3950720561907081,0.7113260728953738,0.7157443910808488
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,16,-0.22343251552657215,0.3339578715284178,0.9201277495699606,0.8875730249829779
10140,non-gamified,GroupC,Apprentice,NA,8,-1.0446754489146168,0.3455484379187494,0.5027874230028703,0.5126378003584399
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer,18,0.0020687155690903565,0.3485853567389589,0.42952403445298337,0.44943859069158654
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,22,0.5529952204217218,0.3950720561907081,0.8716594334490154,0.8208001064052629
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,19,0.1250169492122062,0.35834357660951416,0.11759173528440808,0.11924283168245481
10145,non-gamified,GroupB,Master,NA,12,-0.6310088518604511,0.3244489753105459,0.6062393523970094,0.5996079551216895
10146,non-gamified,GroupA,Apprentice,NA,24,0.894596760964265,0.4204651527148982,0.1016956441595901,0.1077585963185537
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,20,0.2568859466255362,0.36958757428672584,0.5876158490566169,0.5419818133613983
10149,non-gamified,GroupA,Apprentice,NA,9,-0.9360625210459913,0.3365347352360077,3.322436133712149,3.2878926649523272
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever,36,5.2205995055927765,1.4944633929688624,0.08031789097347403,0.08934443962525573
10153,non-gamified,GroupA,Apprentice,NA,22,0.5529952204217218,0.3950720561907081,1.2920056710845096,1.193608540811185
10154,non-gamified,GroupC,Apprentice,NA,7,-1.1600035620179805,0.35809313030519435,1.152685841610879,1.0920807946849025
10158,non-gamified,GroupD,Apprentice,NA,33,3.0260047699363626,0.6232826965742019,0.8649194646122894,0.8501939674800646
