UserID,PAs0,PAs1,PAs2,PAs3,PBs0,PBs1,PBs2,PBs3,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3
10116,1,2,3,3,1,1,1,1,1,2,3,4,0,0,0,0
10119,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10120,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0
10121,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10122,1,2,3,4,1,1,2,2,0,0,0,0,NA,NA,NA,NA
10126,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10127,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10128,1,1,2,2,1,2,2,3,1,1,1,1,0,0,0,0
10129,1,1,2,2,1,1,1,1,1,1,2,2,0,0,0,0
10130,1,1,1,2,1,1,1,1,1,2,2,3,NA,NA,NA,NA
10131,1,1,2,2,1,1,1,2,0,0,0,0,NA,NA,NA,NA
10132,1,1,1,1,1,2,3,4,1,2,3,3,0,0,0,0
10133,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
10134,1,1,1,1,1,1,1,1,1,2,2,3,0,0,0,0
10135,1,1,1,1,1,2,3,4,0,0,0,0,0,0,0,0
10136,1,2,3,3,1,1,2,2,1,1,1,2,0,0,0,0
10137,1,1,1,1,1,1,2,2,1,2,3,4,0,0,0,0
10138,1,2,3,4,1,2,2,3,1,1,1,1,0,0,0,0
10139,1,1,2,2,1,2,3,4,0,0,0,0,NA,NA,NA,NA
10140,1,1,1,1,1,1,1,2,1,2,3,4,1,2,2,3
10141,1,2,3,4,1,2,3,4,1,1,1,1,1,1,1,1
10143,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10144,1,2,3,4,1,2,2,3,0,0,0,0,0,0,0,0
10145,1,2,2,3,1,2,3,3,1,1,1,1,0,0,0,0
10146,1,2,2,3,1,2,3,4,1,1,1,1,1,1,2,2
10148,1,2,3,4,1,1,2,2,1,1,1,1,1,2,3,4
10149,1,2,2,3,1,2,3,3,1,1,2,2,0,0,0,0
10152,1,2,2,3,1,1,1,1,0,0,0,0,0,0,0,0
10153,1,2,3,4,1,2,3,4,1,2,3,4,0,0,0,0
10154,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10158,1,2,3,4,1,1,1,1,0,0,0,0,NA,NA,NA,NA
