UserID,Type,Group,CLRole,PlayerRole,logintimeP1,firstsubmtimeP1,viewtimeP1,apxtP1,nsubmP1,nevalP1,corrP1,nviewP1,logintimeP2,firstsubmtimeP2,viewtimeP2,apxtP2,nsubmP2,nevalP2,corrP2,nviewP2,logintimeP3,firstsubmtimeP3,viewtimeP3,apxtP3,nsubmP3,nevalP3,corrP3,nviewP3,logintimeP4,firstsubmtimeP4,viewtimeP4,apxtP4,nsubmP4,nevalP4,corrP4,nviewP4
10119,ont-gamified,Grupo Zeus,Master,Yee Achiever,1478905920,1478906632,1478906578,54,1,1,0,3,1478905920,1478907614,1478907609,1021,3,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,1478906393,1478907697,1478906822,4155,26,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,1478906305,1478906964,1478906612,2044,6,1,0,14,1478906305,1478909430,1478909273,825,2,2,0,7,1478906305,1478910702,1478910155,1026,4,3,0,3,0,0,0,0,0,0,0,1
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer,1478906171,1478908195,1478906523,2740,3,3,0,19,1478906171,1478909086,1478908518,813,2,2,0,11,1478906171,1478911137,1478909374,1763,1,1,0,9,0,0,0,0,0,0,0,1
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,1478906216,1478907790,1478906598,1263,2,2,10,1,1478906216,1478908571,1478907901,699,2,2,10,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,1478905852,1478906512,1478906184,1504,16,1,0,5,1478905852,1478908136,1478907820,1094,5,2,0,13,1478905852,1478909418,1478909124,294,1,1,0,3,1478905852,1478910412,1478909663,749,1,1,0,1
10121,ont-gamified,Grupo Hades,Master,Yee Achiever,1478905651,1478907053,1478906273,1340,7,4,10,7,1478905651,1478908059,1478907662,922,2,1,10,8,1478905651,1478909902,1478908625,1277,1,0,0,8,0,0,0,0,0,0,0,0
10133,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,1478905826,1478908030,1478906433,4428,9,5,10,12,1478905826,1478909883,1478909225,717,2,2,10,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,1478906200,1478907050,1478906458,592,1,1,0,13,1478906200,1478908740,1478908333,407,1,1,0,5,1479347925,1479348145,1479347944,201,1,1,0,4,0,0,0,0,0,0,0,0
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,1478905718,1478907130,1478906374,1315,9,5,10,10,1478905718,1478907855,1478907735,401480,15,5,10,9,1478905718,1478909369,1478908689,1671,4,1,0,9,0,0,0,0,0,0,0,0
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,1478905719,1478906295,1478906063,483,3,2,10,2,1478905719,1478906982,1478906721,2990,5,5,10,4,1478905719,1478908262,1478907518,744,1,1,0,3,1478905719,1478911034,1478909728,1354,2,1,0,4
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever,1478907128,1478907822,1478907512,346,2,1,10,2,1478907128,1478908451,1478907885,654,3,1,10,2,1478907128,1478910093,1478908565,2218,7,3,10,5,0,0,0,0,0,0,0,1
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,1478905692,1478906472,1478906121,662,7,7,10,8,1478905692,1478907025,1478906808,570,7,3,0,6,1478905692,1478908509,1478907509,440037,13,7,0,12,1478905692,1478910653,1478910151,502,1,1,0,3
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,1478905888,1478907067,1478906334,1902,17,4,0,2,1478905888,1478908828,1478908500,820,5,3,0,3,1478905888,1478910908,1478909354,1554,1,1,0,3,0,0,0,0,0,0,0,0
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1478905714,1478907053,1478906457,1171,7,1,10,4,1478905714,1478907805,1478907684,775,3,2,10,7,1478905714,1478908741,1478908052,237444,6,2,0,24,0,0,0,0,0,0,0,6
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1478905932,1478908036,1478906896,1140,1,1,0,2,1478905932,1478908380,1478908137,1555,7,2,0,27,1478905932,1478910690,1478909872,436839,2,2,0,10,0,0,0,0,0,0,0,2
10151,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1478906802,1478907651,1478907279,1708,14,2,10,9,1478906802,1478908745,1478908536,407,5,2,10,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer,1478905648,1478906487,1478906144,1425,16,1,10,5,1478905648,1478907739,1478907608,4323,6,4,10,4,1478905648,1478908379,1478907868,6881,51,1,10,9,1478914269,1478915317,1478914782,3738,9,1,10,2
10146,non-gamified,GroupA,Apprentice,,1478906223,1478907315,1478906938,393,2,1,10,4,1478906223,1478907726,1478907461,342664,3,2,0,11,1478906223,1478908420,1478908038,340987,7,1,0,9,1479248979,1479257739,1479250175,7564,1,1,0,3
10149,non-gamified,GroupA,Apprentice,,1478906325,1478908383,1478907021,1362,1,1,0,4,1478906325,1478908835,1478908454,381,1,1,0,13,1479247252,1479248034,1479247263,771,1,1,0,7,1479247252,1479247399,1479247380,19,1,1,0,2
10132,non-gamified,GroupA,Apprentice,,1478905811,1478907704,1478906241,1905,3,3,0,5,1478905811,1478908770,1478908255,515,1,1,0,4,1479248484,1479248688,1479248553,135,1,1,0,4,0,0,0,0,0,0,0,1
10153,non-gamified,GroupA,Apprentice,,1478907821,1478909173,1478908102,1645,6,4,10,2,1478907821,1478910034,1478909781,253,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10144,non-gamified,GroupA,Master,,1478906351,1478908811,1478906842,1995,2,1,10,1,1478906351,1478909526,1478908912,1230,3,3,10,5,1478910106,1478911475,1478910160,58107,8,6,10,3,1478964519,1478970234,1478968353,3829,4,2,10,3
10122,non-gamified,GroupB,Apprentice,,1478905675,1478908050,1478906616,2616,5,4,10,1,1478905675,1478909563,1478909253,455,4,2,10,1,1478905675,1478910698,1478909721,977,1,0,0,2,0,0,0,0,0,0,0,0
10145,non-gamified,GroupB,Master,,1478906218,1478907478,1478906627,920,2,2,10,11,1478906218,1478907892,1478907755,607,6,6,10,7,1478906218,1478908762,1478908388,9524,10,5,10,19,1478916504,1478920811,1478916544,4267,1,1,10,8
10129,non-gamified,GroupB,Apprentice,,1478905756,1478907265,1478906156,438539,3,2,0,6,1478905756,1478907746,1478907450,318,2,1,0,7,1478905756,1478909218,1478907902,439453,2,1,0,14,0,0,0,0,0,0,0,2
10125,non-gamified,GroupB,Apprentice,,1478905706,1478906411,1478906055,711,8,4,10,5,1478905706,1478907135,1478906867,1651,19,1,10,6,1478905706,1478908887,1478908583,529868,11,1,0,7,1478905706,1478910217,1478909128,1089,1,0,0,2
10135,non-gamified,GroupB,Apprentice,,1478905853,1478906965,1478906606,49272,14,4,10,18,1478955522,1478956049,1478955548,712,5,1,10,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3
10140,non-gamified,GroupC,Apprentice,,1478906156,1478908182,1478906479,1703,1,1,10,9,1478906156,1478908844,1478908442,402,1,1,0,12,1478906156,1478910931,1478909459,1472,1,1,0,3,0,0,0,0,0,0,0,0
10130,non-gamified,GroupC,Apprentice,,1478905783,1478907779,1478906266,1513,1,1,10,5,1478905783,1478908603,1478907957,436480,4,3,0,10,1479343164,1479343486,1479343177,309,1,1,0,7,0,0,0,0,0,0,0,0
10136,non-gamified,GroupC,Apprentice,,1478905875,1478906621,1478906343,334,2,1,0,5,1478905875,1478907847,1478907280,567,1,1,0,6,1478905875,1478909037,1478908006,1031,1,1,0,2,0,0,0,0,0,0,0,1
10154,non-gamified,GroupC,Apprentice,,1478908390,1478911115,1478908797,2318,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10116,non-gamified,GroupC,Master,,1478905604,1478906451,1478906198,875,3,2,10,10,1478905604,1478907243,1478906527,969,6,1,10,3,1478905604,1478908666,1478907563,252019,21,4,10,14,0,0,0,0,0,0,0,2
10160,non-gamified,GroupD,Master,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10159,non-gamified,GroupD,Apprentice,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10158,non-gamified,GroupD,Apprentice,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
