UserID,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10116,non-gamified,GroupC,Master,NA,10,0.2070747279978936,0.3865837019045244,0.4819683585134689,0.4994269817412085
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer,2,-1.1261394748439868,0.5778061099360358,0.39826589125002543,0.30561043778326535
10121,ont-gamified,Grupo Hades,Master,Yee Achiever,11,0.3454562466271758,0.3956483359796562,0.48712347965734315,0.45205881927742864
10122,non-gamified,GroupB,Apprentice,NA,5,-0.4881027039605078,0.41992655575093535,1.5645761912971397,1.940469276600931
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,10,0.2070747279978936,0.3865837019045244,0.8205373238115894,0.7929734081495236
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,5,-0.4881027039605078,0.41992655575093535,0.8538299136023186,0.9957971430899208
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,7,-0.1950989718859835,0.38960567386173456,0.3304702045029947,0.35889006670048407
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,6,-0.33626190168329534,0.40111423296278587,2.148642748619944,2.637488130785677
10129,non-gamified,GroupB,Apprentice,NA,18,3.172929219259192,1.487452255433926,0.12188499514218816,0.13267737576516517
10130,non-gamified,GroupC,Apprentice,NA,16,1.4130595699157567,0.6332210229027846,0.32789295323924444,0.3210192597983777
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,3,-0.8604688235459802,0.49635475094629894,0.24724823828691733,0.19860412474897787
10132,non-gamified,GroupA,Apprentice,NA,7,-0.1950989718859835,0.38960567386173456,0.2523145598433922,0.297659264744993
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,11,0.3454562466271758,0.3956483359796562,0.23214429169879933,0.23157590155059268
10135,non-gamified,GroupB,Apprentice,NA,11,0.3454562466271758,0.3956483359796562,0.8612443402927898,0.9014479874497136
10136,non-gamified,GroupC,Apprentice,NA,9,0.07315700529340778,0.3827685908841434,1.4015614674997987,1.3091820876559108
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,0,-2.620824872650016,1.3732536662015447,0.1293360092442492,0.1453938710050856
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,11,0.3454562466271758,0.3956483359796562,0.29741654109124493,0.3041871250087584
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,5,-0.4881027039605078,0.41992655575093535,1.8659648979345043,1.8542515862595352
10140,non-gamified,GroupC,Apprentice,NA,14,0.8453611614877062,0.47245639535755557,1.1941764349532937,1.2581530169575539
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer,8,-0.05982173039386194,0.38373877926210453,0.7179391168262067,0.6319658858166508
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,3,-0.8604688235459802,0.49635475094629894,1.6804389635237895,1.8158265810216525
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,8,-0.05982173039386194,0.38373877926210453,0.13589999963459978,0.14882368082677688
10145,non-gamified,GroupB,Master,NA,12,0.49281785313896265,0.4111288724759383,0.39844647245436876,0.4133848044507692
10146,non-gamified,GroupA,Apprentice,NA,6,-0.33626190168329534,0.40111423296278587,1.1403892096632693,1.3882193109780043
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,14,0.8453611614877062,0.47245639535755557,1.1998213249287932,1.2626916171797185
10149,non-gamified,GroupA,Apprentice,NA,18,3.172929219259192,1.487452255433926,0.12188499514218816,0.13267737576516517
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever,7,-0.1950989718859835,0.38960567386173456,0.2007402062979104,0.1840756216630021
10153,non-gamified,GroupA,Apprentice,NA,6,-0.33626190168329534,0.40111423296278587,0.07300571719157384,0.08214329701553603
10154,non-gamified,GroupC,Apprentice,NA,12,0.49281785313896265,0.4111288724759383,0.6785416526563799,0.6545985488599518
10158,non-gamified,GroupD,Apprentice,NA,0,-2.620824872650016,1.3732536662015447,0.1293360092442492,0.1453938710050856
