ID,QID,Item,Content
109.0,21.0,Item01,Foi muito descontraído realizar a atividade
110.0,21.0,Item02,Senti como se eu tivesse sido obrigado a fazer a atividade
111.0,21.0,Item03,Me esforcei muito na realização da atividade.
112.0,21.0,Item04,Para mim foi importante realizar bem a atividade
113.0,21.0,Item05,Fiz a atividade porque eu quis
114.0,21.0,Item06,Realmente não tive escolha para realizar (ou não) a atividade
115.0,21.0,Item07,Não coloquei muita energia (esforço) na atividade
116.0,21.0,Item08,Senti que não fiz a atividade por vontade própria
117.0,21.0,Item09,Gostei muito de fazer a atividade
118.0,21.0,Item10,Tive que me esforçar muito na atividade
119.0,21.0,Item11,Não me senti nervoso ao realizar a atividade
120.0,21.0,Item12,A atividade foi divertida
121.0,21.0,Item13,Não me esforcei muito para realizar bem a atividade
122.0,21.0,Item14,Eu me senti muito tenso ao realizar a atividade
123.0,21.0,Item15,Fiz a atividade porque eu tinha que fazer
124.0,21.0,Item16,Eu me senti ansioso enquanto trabalhava na atividade
125.0,21.0,Item17,Fiz a atividade porque eu não tinha outra escolha
126.0,21.0,Item18,Senti-me pressionado enquanto fazia a atividade
127.0,21.0,Item19,Achei  que a atividade seria chata
128.0,21.0,Item20,A atividade não chamou minha atenção
129.0,21.0,Item21,Descreveria a atividade como muito interessante
130.0,21.0,Item22,Achei a atividade muito agradável
131.0,21.0,Item23,Eu senti que tive escolha para realizar a atividade
132.0,21.0,Item24,"Enquanto estava fazendo a atividade, refleti o quanto eu gostei"
