UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer
10179,10310759,non-gamified,Grupo Team 9,Master,NA
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA
10189,9363926,ont-gamified,Grupo Hades,Master,Yee Socializer
10191,10276981,non-gamified,Grupo  Team 6,Master,NA
10193,10276762,ont-gamified,Grupo Afrodite,Master,Yee Achiever
10196,10310655,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever
10197,10276661,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever
10200,9795272,ont-gamified,Grupo Hades,Apprentice,Yee Socializer
10201,10276928,ont-gamified,Grupo Caronte,Master,Yee Achiever
10202,10277036,non-gamified,Grupo Team 11,Apprentice,NA
10204,10310471,ont-gamified,Grupo Hermes,Master,Yee Achiever
10206,10310721,ont-gamified,Grupo Hera,Master,Yee Achiever
10208,10276932,non-gamified,Grupo Team 7,Apprentice,NA
10209,10262669,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever
10210,10277015,non-gamified,Grupo Team 9,Apprentice,NA
10211,9311643,non-gamified,Grupo Team 2,Master,NA
10213,10277040,ont-gamified,Grupo Morfeu,Master,Yee Socializer
10214,10277022,non-gamified,Grupo Team 5,Master,NA
10219,10276831,non-gamified,Grupo Team 12,Master,NA
10220,9760151,non-gamified,Grupo Team 2,Apprentice,NA
10223,9795185,ont-gamified,Grupo Cronus,Master,Yee Achiever
10230,10351992,non-gamified,Grupo Team 14,Master,NA
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever
10237,10377688,non-gamified,Grupo Team 11,Master,NA
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA
10218,9842913,ont-gamified,Grupo Ares,Master,Yee Achiever
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA
10217,9805341,non-gamified,Grupo Team 13,Master,NA
10195,10351971,ont-gamified,Grupo Urano,Apprentice,Yee Achiever
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever
10203,9921470,non-gamified,Grupo Team 3,Apprentice,NA
10198,10310888,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10221,9082496,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever
10216,10276720,non-gamified,Grupo Team 15,Master,NA
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever
10199,10276737,ont-gamified,Grupo Gaia,Master,Yee Achiever
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever
10188,10276995,non-gamified,Grupo Team 3,Master,NA
10192,10276682,non-gamified,Grupo Team 5,Apprentice,NA
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever
