UserID,Un1,Un2,Ap1,Ap2,Ap3,An3,Ev1,Ev2,P1s2,ReB,UnB,ApB,ApC,AnC,EvA,PAs3,pre.PersonScores,pos.PersonScores,pre.theta,pos.theta,pre.sd.error,pos.sd.error,gain.theta
10169,17,0,6,1,4,8,12,10,NA,32,3,11,3,7,6,3,58,65,-0.524585847121639,-0.18070961359291243,0.1447961702106853,0.10264828284952517,0.3438762335287266
10170,17,3,3,0,0,15,8,10,NA,31,4,11,4,14,6,NA,56,70,-0.5647362672819103,-0.12118556843123568,0.13672810151113174,0.10747317612972261,0.4435506988506746
10171,11,0,6,1,8,16,3,0,2,40,4,12,8,14,6,2,47,86,-0.7160223863761851,0.23442630461112018,0.11398824083433853,0.30006854206992284,0.9504486909873053
10174,17,3,6,1,4,8,12,5,NA,22,4,11,3,14,6,NA,56,60,-0.5647362672819103,-0.20612261850645983,0.13672810151113174,0.10442446051415134,0.35861364877545043
10175,17,3,6,1,8,16,12,10,NA,40,4,12,4,14,6,3,73,83,0.10735244369397628,0.015832242197546746,0.3007069185738062,0.15982273388990445,-0.09152020149642953
10176,12,3,6,0,8,14,8,4,1,40,4,12,4,13,2,3,56,78,-0.596303042778415,-0.0652157206504884,0.13000621321459283,0.12105633137556769,0.5310873221279265
10178,12,0,2,0,0,0,0,10,1,31,4,11,4,14,6,4,25,74,-1.002621891370053,-0.10514336759998462,0.1373981796365167,0.10967970695454778,0.8974785237700684
10179,17,3,6,1,8,16,12,0,NA,40,4,12,8,14,6,NA,63,84,-0.39588495477080377,0.32193299089730243,0.17133057778511013,0.3867195201676478,0.7178179456681062
10181,17,3,6,1,4,16,12,4,NA,39,4,8,4,14,6,NA,63,75,-0.39588495477080377,-0.07403019424024597,0.17133057778511013,0.1191656461860346,0.3218547605305578
10183,18,3,2,1,3,15,0,4,1,40,3,9,3,13,6,3,47,77,-0.7160223863761851,-0.07614559630543917,0.11398824083433853,0.1173889276448867,0.6398767900707459
10184,17,1,6,1,4,15,12,10,3,40,0,12,8,14,6,4,69,84,-0.25603637251385114,0.04779627327755167,0.19951915534349313,0.17929853754864078,0.3038326457914028
10185,17,4,6,1,3,7,12,10,NA,40,3,12,8,14,6,NA,60,83,-0.4782282380756463,0.13351248471791122,0.15431216900381087,0.24491182336831724,0.6117407227935575
