NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA,score
698531,10171,non-gamified,Grupo  Team 6,Apprentice,NA,0.7,0.6,0.9,0.8,1,1.1,1,1.2,1.4,1.3,10
8656201,10178,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,0.46,0.33,0.9,0.8,0.5,0.55,1,1.2,0.47,1.3,7.5
9065750,10212,non-gamified,Grupo Team 4,Master,NA,0.42,0.6,0.9,0.8,1,0.55,1,1.2,1.4,1.3,9.17
9082496,10221,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,0.56,0.38,0,0.11,0,0.18,1,1.2,0.47,1.3,5.2
9274382,10227,non-gamified,Grupo Team 4,Apprentice,NA,0.56,0.6,0.9,0.53,1,1.1,1,1.2,0.93,0,7.83
9285227,10215,ont-gamified,Grupo Zeus,Master,Yee Socializer,0.7,0.6,0.9,0.53,1,1.1,1,1,1.4,1.3,9.53
9363926,10189,ont-gamified,Grupo Hades,Master,Yee Socializer,0.7,0.38,0,0.8,1,1.1,1,1,0,1.3,7.28
9368772,10224,non-gamified,Grupo Team 10,Apprentice,NA,0.22,0.22,0.9,0.8,1,1.1,1,1,1.4,1.3,8.940000000000001
9436110,10222,non-gamified,Grupo Team 16,Master,NA,0.32,0.6,0.9,0.8,1,0.55,1,1.2,0,1.3,7.67
9760151,10220,non-gamified,Grupo Team 2,Apprentice,NA,0.7,0.49,0,0.8,1,1.1,1,1.2,0.47,1.3,8.06
9790781,10187,non-gamified,Grupo Team 15,Apprentice,NA,0.46,0.33,0.9,0.8,0.5,0.55,1,1.2,0.47,1.3,7.5
9795185,10223,ont-gamified,Grupo Cronus,Master,Yee Achiever,0.7,0.38,0.9,0.8,1,1.1,1,1,1.4,1.3,9.58
9795272,10200,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,0.56,0.6,0.9,0.8,1,1.1,1,1.2,0,1.3,8.459999999999999
9805320,10233,non-gamified,Grupo Team 16,Apprentice,NA,0.7,0.6,0.9,0.27,0.5,0.18,1,1.2,1.4,1.3,8.049999999999999
9805341,10217,non-gamified,Grupo Team 13,Master,NA,0.7,0.6,0.9,0.8,1,1.1,1,1.2,1.4,1.3,10
9842913,10218,ont-gamified,Grupo Ares,Master,Yee Achiever,0.56,0.6,0.9,0.8,0.75,1.1,1,1.2,1.4,1.3,9.61
9921470,10203,non-gamified,Grupo Team 3,Apprentice,NA,0.32,0.03,0,0.8,0,0.18,0.5,0,0,0,1.84
10260351,10170,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,0.46,0.6,0.9,0.8,0.5,0.55,1,1.2,0.47,1.3,7.78
10262669,10209,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,0.7,0.55,0.9,0.53,1,1.1,1,1.2,1.4,1.3,9.68
10276654,10240,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,0.7,0.49,0,0.8,0.5,1.1,1,1.2,0.47,1.3,7.5600000000000005
10276661,10197,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,0.7,0.6,0.9,0.8,1,0.55,1,1.2,0.93,1.3,8.98
10276675,10184,ont-gamified,Grupo Apolo,Master,Yee Socializer,0.7,0.6,0,0.8,1,1.1,1,1.2,1.4,1.3,9.1
10276682,10192,non-gamified,Grupo Team 5,Apprentice,NA,0.7,0.6,0.9,0.8,1,0.55,1,1.2,1.4,1.3,9.45
10276720,10216,non-gamified,Grupo Team 15,Master,NA,0.7,0.48,0.9,0.8,1,1.1,1,1.2,1.4,1.3,9.879999999999999
10276737,10199,ont-gamified,Grupo Gaia,Master,Yee Achiever,0.7,0.48,0.9,0.53,1,1.1,0,1,1.4,0,7.11
10276762,10193,ont-gamified,Grupo Afrodite,Master,Yee Achiever,0.7,0.49,0,0.8,1,1.1,1,1,1.4,1.3,8.79
10276831,10219,non-gamified,Grupo Team 12,Master,NA,0.7,0.6,0.9,0.8,1,0.18,1,1.2,0.47,1.3,8.15
10276852,10174,ont-gamified,Grupo Urano,Master,Yee Achiever,0.22,0.32,0.9,0.37,0.5,0.18,1,1.2,0,1.3,5.99
10276866,10181,non-gamified,Grupo Team 10,Master,NA,0.6,0.6,0.9,0.8,0.25,0.55,1,1.2,0.47,1.3,7.67
10276907,10190,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,0.7,0.27,0,0.8,1,1.1,1,1.2,0,1.3,7.37
10276911,10231,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,0.7,0.6,0.9,0.8,1,0.55,1,1.2,1.4,1.3,9.45
10276928,10201,ont-gamified,Grupo Caronte,Master,Yee Achiever,0.7,0.6,0.6,0.8,1,0.55,1,1.2,1.4,1.3,9.15
10276932,10208,non-gamified,Grupo Team 7,Apprentice,NA,0.7,0.6,0.9,0.8,1,0.55,1,1.2,1.4,1.3,9.45
10276949,10176,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,0.7,0.6,0.9,0.8,1,0.55,1,1,0.47,0,7.02
10276953,10238,non-gamified,Grupo Team 13,Apprentice,NA,0.7,0.27,0.6,0.8,1,0.55,1,1,0.47,1.3,7.69
10276960,10185,non-gamified,Grupo Team 12,Apprentice,NA,0.7,0.55,0.6,0.8,1,1.1,1,1.2,1.4,1.3,9.649999999999999
10276974,10232,ont-gamified,Grupo Artemis,Master,Yee Achiever,0.7,0.6,0.9,0.8,1,0,1,1.2,0.47,1.3,7.97
10276981,10191,non-gamified,Grupo  Team 6,Master,NA,0.7,0.6,0.9,0.53,1,1.1,1,1.2,1.4,1.3,9.729999999999999
10276995,10188,non-gamified,Grupo Team 3,Master,NA,0.7,0.6,0.9,0.8,1,1.1,1,1.2,1.4,1.3,10
