UserID,PAs0,PAs1,PAs2,PAs3,PBs0,PBs1,PBs2,PBs3
10169,1,2,3,3,1,1,1,1
10171,1,1,2,2,1,1,2,2
10172,1,2,2,3,1,2,3,4
10175,1,2,2,3,1,2,2,3
10176,1,2,2,3,1,1,2,2
10178,1,2,3,4,1,2,2,3
10183,1,2,2,3,1,1,2,2
10184,1,2,3,4,1,2,3,3
10187,1,2,3,4,1,1,1,1
10188,1,2,3,4,NA,NA,NA,NA
10189,1,2,2,3,1,1,1,1
10190,1,1,2,2,NA,NA,NA,NA
10192,1,1,1,1,1,2,2,3
10193,1,2,3,4,NA,NA,NA,NA
10195,1,1,1,1,NA,NA,NA,NA
10196,1,1,1,1,1,1,1,2
10197,1,1,1,1,1,1,1,1
10198,1,1,1,1,NA,NA,NA,NA
10199,1,1,2,2,1,2,3,3
10200,1,1,1,1,NA,NA,NA,NA
10201,1,1,1,1,1,1,1,1
10203,1,1,2,2,NA,NA,NA,NA
10204,1,1,1,1,NA,NA,NA,NA
10206,1,2,3,4,1,2,3,4
10208,1,1,1,1,1,1,2,2
10211,1,2,3,4,1,2,3,4
10213,1,1,2,2,NA,NA,NA,NA
10214,1,1,1,2,1,1,1,1
10215,1,1,1,1,NA,NA,NA,NA
10216,1,2,3,4,1,2,3,4
10217,1,1,2,2,1,2,3,4
10218,1,2,3,3,NA,NA,NA,NA
10224,1,2,2,3,NA,NA,NA,NA
10231,1,2,3,4,1,1,1,1
10232,1,1,1,2,NA,NA,NA,NA
10240,1,1,1,1,1,1,1,1
