NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,score
698531,10171,non-gamified,Grupo  Team 6,Apprentice,NA,0.7,0.49,NA,0.37,1,1.1,1,1.2,0,0,5.86
8656201,10178,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,0,0.21,0,0.53,0,0,0,0,1.4,0,2.14
9065750,10212,non-gamified,Grupo Team 4,Master,NA,0.56,0.38,0.45,0.8,1,1.1,1,1.2,1.4,1.3,9.19
9082496,10221,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,0.6,0.27,0,0.53,0,0.18,0,0.86,1.4,0.87,4.72
9274382,10227,non-gamified,Grupo Team 4,Apprentice,NA,0.46,0.07,0.45,0.53,1,0.18,1,0.86,0.7,0,5.25
9285227,10215,ont-gamified,Grupo Zeus,Master,Yee Socializer,0.6,0.6,0.45,0.53,1,0.55,1,1.2,0.35,1.3,7.58
9292462,10229,non-gamified,Grupo Team 1,Apprentice,NA,0.56,0.55,0,0.8,0,0.18,1,0.6,0.35,0,4.04
9311643,10211,non-gamified,Grupo Team 2,Master,NA,0.6,0.55,0.9,0.8,1,1.1,1,1.2,1.4,1.3,9.85
9363926,10189,ont-gamified,Grupo Hades,Master,Yee Socializer,0.46,0.27,0.45,0.64,1,1.1,1,1.03,1.4,1.3,8.65
9368772,10224,non-gamified,Grupo Team 10,Apprentice,NA,0.22,0.48,0.45,0.53,0,NA,0.5,1.2,0,0.87,4.25
9436110,10222,non-gamified,Grupo Team 16,Master,NA,0.42,0.48,0.9,0.64,0,0.18,1,1.2,0.35,1.3,6.47
9760151,10220,non-gamified,Grupo Team 2,Apprentice,NA,0.6,0.49,0.45,0.64,0,0.55,1,1.2,0.7,1.3,6.930000000000001
9790781,10187,non-gamified,Grupo Team 15,Apprentice,NA,0.22,0.44,0.45,0.64,1,0.55,1,0.43,0,1.3,6.029999999999999
9795185,10223,ont-gamified,Grupo Cronus,Master,Yee Achiever,0.6,0.48,0.9,0.64,1,0.55,1,1.03,0,1.3,7.5
