NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA
698531,10171,non-gamified,Grupo  Team 6,Apprentice,NA,40,60,4,18,12,8,6,14,12,6
8656201,10178,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,31,55,4,18,11,4,6,14,7,6
9065750,10212,non-gamified,Grupo Team 4,Master,NA,24,60,4,18,12,4,6,14,12,6
9082496,10221,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,32,56,0,5,7,3,6,14,7,6
9274382,10227,non-gamified,Grupo Team 4,Apprentice,NA,32,60,4,12,12,8,6,14,8,0
9285227,10215,ont-gamified,Grupo Zeus,Master,Yee Socializer,40,60,4,12,12,8,6,13,12,6
9363926,10189,ont-gamified,Grupo Hades,Master,Yee Socializer,40,56,0,18,12,8,6,13,3,6
9368772,10224,non-gamified,Grupo Team 10,Apprentice,NA,22,53,4,18,12,8,6,13,12,6
9436110,10222,non-gamified,Grupo Team 16,Master,NA,23,60,4,18,12,4,6,14,3,6
9760151,10220,non-gamified,Grupo Team 2,Apprentice,NA,40,58,0,18,12,8,6,14,7,6
9790781,10187,non-gamified,Grupo Team 15,Apprentice,NA,31,55,4,18,11,4,6,14,7,6
9795185,10223,ont-gamified,Grupo Cronus,Master,Yee Achiever,40,56,4,18,12,8,6,13,12,6
9795272,10200,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,32,60,4,18,12,8,6,14,3,6
9805320,10233,non-gamified,Grupo Team 16,Apprentice,NA,40,60,4,6,11,3,6,14,12,6
9805341,10217,non-gamified,Grupo Team 13,Master,NA,40,60,4,18,12,8,6,14,12,6
9842913,10218,ont-gamified,Grupo Ares,Master,Yee Achiever,32,60,4,18,9,8,6,14,12,6
9921470,10203,non-gamified,Grupo Team 3,Apprentice,NA,23,30,0,18,10,3,5,0,2,2
10260351,10170,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,31,60,4,18,11,4,6,14,7,6
10262669,10209,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,40,59,4,12,12,8,6,14,12,6
10276654,10240,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,40,58,0,18,11,8,6,14,7,6
10276661,10197,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,40,60,4,18,12,4,6,14,8,6
10276675,10184,ont-gamified,Grupo Apolo,Master,Yee Socializer,40,60,0,18,12,8,6,14,12,6
10276682,10192,non-gamified,Grupo Team 5,Apprentice,NA,40,60,4,18,12,4,6,14,12,6
10276720,10216,non-gamified,Grupo Team 15,Master,NA,40,48,4,18,12,8,6,14,12,6
10276737,10199,ont-gamified,Grupo Gaia,Master,Yee Achiever,40,48,4,12,12,8,2,13,12,2
10276762,10193,ont-gamified,Grupo Afrodite,Master,Yee Achiever,40,58,0,18,12,8,6,13,12,6
10276831,10219,non-gamified,Grupo Team 12,Master,NA,40,60,4,18,12,3,6,14,7,6
10276852,10174,ont-gamified,Grupo Urano,Master,Yee Achiever,22,45,4,11,11,3,6,14,3,6
10276866,10181,non-gamified,Grupo Team 10,Master,NA,39,60,4,18,8,4,6,14,7,6
