UserID,Un3,Ap2a,Ap2b,An3a,An3b,P2s1,ApB1,ApB2,AnC1,AnC2,PCs3,pre.PersonScores,pos.PersonScores,pre.theta,pos.theta,pre.sd.error,pos.sd.error,gain.theta
10169,40,1,14,4,0,1,0,7,0,6,NA,60,13,0.010140602253118493,-0.23333615123009657,0.06732901570311163,0.1355769283909475,-0.24347675348321507
10170,18,1,14,4,5,NA,0,0,5,12,4,42,21,-0.03950203445013009,-0.14904890036518295,0.0620526633005518,0.11595710241118745,-0.10954686591505286
10172,40,1,6,8,12,2,1,14,18,18,4,69,55,0.05148377559486499,0.4120194795718036,0.08117897762767565,0.2999371107865734,0.3605357039769386
10174,6,0,13,0,0,NA,1,3,12,5,1,19,22,-0.13568774594871236,-0.13753771603868903,0.08496957456905489,0.11422186949162967,-0.0018499700899766713
10175,40,1,14,16,5,1,1,14,18,18,2,77,53,0.14402647817378583,0.28704464732332197,0.12208118431515513,0.20569072986513956,0.14301816914953613
10176,40,1,6,8,5,1,1,6,6,18,NA,61,31,0.01375584806923547,-0.023957994034878163,0.06823940673971413,0.10898589614144484,-0.03771384210411363
10178,40,1,0,12,5,1,1,0,12,11,NA,59,24,0.006684845834947094,-0.09458623172624256,0.066495564330464,0.11030698918872098,-0.10127107756118965
10179,40,1,0,8,5,NA,1,14,12,11,NA,54,38,-0.005301633057908456,0.05052838788885374,0.0643418469750572,0.11653610363784515,0.0558300209467622
10181,28,1,0,8,12,2,1,14,10,11,NA,51,36,-0.017948135061117563,0.028112152452073602,0.06255181002334528,0.11327866487818582,0.04606028751319116
10183,9,1,0,0,0,NA,1,6,11,4,NA,10,22,-0.23736103801214042,-0.11573650889124,0.12152228786660539,0.11228073872284254,0.12162452912090042
10184,40,1,7,8,12,1,1,14,18,5,4,69,42,0.05148377559486499,0.07240719500941079,0.08117897762767565,0.11948162127253247,0.020923419414545792
10185,40,1,14,16,5,NA,1,14,18,18,NA,76,51,0.15153405950353355,0.2997383219925283,0.12562566995329422,0.22036777409955707,0.14820426248899476
10186,29,1,0,8,6,NA,1,0,12,5,NA,44,18,-0.033543739879399466,-0.1617163092128963,0.0619322577612906,0.11900558900406778,-0.12817256933349683
10187,40,1,0,12,5,2,1,6,12,11,NA,60,30,0.010140602253118493,-0.0340083088622222,0.06732901570311163,0.10867503341465772,-0.044148911115340694
10188,40,1,14,16,12,1,1,14,11,6,NA,84,32,0.347128282344565,-0.013833299367240632,0.22800173415264174,0.10946744230482221,-0.36096158171180565
10189,9,0,7,3,5,2,1,6,6,6,2,26,21,-0.10043341211448933,-0.14904890036518295,0.07341967494577367,0.11595710241118745,-0.04861548825069362
10190,30,1,6,16,0,NA,1,14,11,12,NA,53,38,-0.008069151538266955,0.05052838788885374,0.06373454393999839,0.11653610363784515,0.0585975394271207
