UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item12A,Item19A,Item04A,Item20A,Item16A,Item01A,Item15R,Item21R,Item10R,Item08R,Item13S,Item14S,Item17S,Attention,Relevance,Satisfaction,Level of Motivation
10169,10377538,non-gamified,Grupo Team 10,Apprentice,NA,2,2,2,2,1,2,5,3,6,5,2,2,2,1.8333333333333333,3.25,2,2.3076923076923075
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA,5,5,5,3,6,4,4,2,2,4,5,4,3,4.666666666666667,5,4,4.615384615384615
10171,698531,ont-gamified,Grupo Losvakai,Master,Yee Achiever,5,5,5,4,5,5,2,1,1,1,5,6,5,4.833333333333333,6.75,5.333333333333333,5.538461538461538
10172,10273971,ont-gamified,Grupo Koil,Master,Yee Achiever,4,5,6,5,3,6,3,2,2,3,5,4,2,4.833333333333333,5.5,3.6666666666666665,4.769230769230769
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA,3,1,4,3,4,4,4,6,4,6,4,2,6,3.1666666666666665,3,4,3.3076923076923075
10175,10310700,non-gamified,Grupo Team 6,Master,NA,7,6,5,4,6,7,1,1,1,1,7,5,4,5.833333333333333,7,5.333333333333333,6.076923076923077
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA,3,3,3,3,3,3,4,5,6,5,3,3,4,3,3,3.3333333333333335,3.076923076923077
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA,5,5,5,5,5,4,3,2,2,6,5,4,4,4.833333333333333,4.75,4.333333333333333,4.6923076923076925
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,4,4,4,4,5,4,2,3,3,3,5,3,5,4.166666666666667,5.25,4.333333333333333,4.538461538461538
10181,10276866,non-gamified,Grupo Team 7,Apprentice,NA,5,1,5,4,5,5,5,4,3,3,3,5,3,4.166666666666667,4.25,3.6666666666666665,4.076923076923077
