NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB,score
8656201,10178,non-gamified,Grupo Team 11,Apprentice,NA,0.5,2,1,0,1,0.93,0.38,5.81
9065750,10212,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,0.33,1.67,1,0.75,1.5,0.67,1.5,7.42
9082496,10221,non-gamified,Grupo Team 3,Apprentice,NA,0.41,0.33,0,0,0.5,0.67,0.94,2.85
9274382,10227,non-gamified,Grupo Team 2,Apprentice,NA,0.33,1.33,1,0.5,1,2,0.94,7.1
9285227,10215,non-gamified,Grupo Team 7,Apprentice,NA,0.42,2,1,1.5,1,2,1.5,9.42
9363926,10189,non-gamified,Grupo Team 2,Apprentice,NA,0.33,2,1,0.5,0.5,0.67,0.94,5.93
9368772,10224,non-gamified,Grupo Team 9,Apprentice,NA,0.11,2,1,1.5,0.2,0.93,1.5,7.25
9760151,10220,non-gamified,Grupo Team 4,Apprentice,NA,0.42,2,1,1.5,1.5,1.33,0.94,8.69
9790781,10187,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,0.33,2,1,0.5,1,0.93,0,5.77
9795272,10200,non-gamified,Grupo Team 4,Apprentice,NA,0.42,0.67,0,0.5,0.2,0,0.94,2.72
9805341,10217,ont-gamified,Grupo Belos,Master,Yee Socializer,0.5,2,1,1.5,1.5,0.67,1.5,8.67
9842913,10218,non-gamified,Grupo Team 10,Apprentice,NA,0.5,2,1,0,0,1.33,0.38,5.21
9921470,10203,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,0.37,0,0,0,NA,0,0.38,0.75
10260351,10170,non-gamified,Grupo Team 6,Apprentice,NA,0.5,2,0,0,0.2,1.33,1.5,5.53
10273971,10172,ont-gamified,Grupo Koil,Master,Yee Achiever,0.5,2,1,1.5,1.5,2,1.5,10
10276654,10240,non-gamified,Grupo Team 8,Apprentice,NA,0.5,2,1,0.5,1,0.27,1.5,6.77
10276661,10197,non-gamified,Grupo Team 11,Master,NA,0.45,2,1,0.75,1,1.33,1.5,8.04
10276675,10184,non-gamified,Grupo Team 7,Master,NA,0.5,2,1,1.5,1.5,0.27,1.5,8.27
10276682,10192,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.42,2,1,0,1,0.93,1.5,6.85
10276831,10219,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,0.5,0.67,1,1.5,1,1.33,1.5,7.5
10276852,10174,non-gamified,Grupo Team 1,Apprentice,NA,0.42,0,1,0,1,0.27,0,2.68
10276866,10181,non-gamified,Grupo Team 7,Apprentice,NA,0.15,2,1,1.5,0.4,0.93,1.5,7.48
10276907,10190,non-gamified,Grupo Team 8,Apprentice,NA,0.42,0.67,1,1.5,0.7,1.33,1.5,7.12
10276911,10231,non-gamified,Grupo Team 4,Master,NA,0.42,2,1,1.5,1.5,2,1.5,9.92
10276928,10201,non-gamified,Grupo Team 10,Master,NA,0.5,2,1,1.5,0.2,2,1.5,8.7
10276932,10208,ont-gamified,Grupo Yeka,Master,Yee Socializer,0.5,2,1,1.5,1.5,1.33,1.5,9.33
10276949,10176,non-gamified,Grupo Team 9,Apprentice,NA,0.33,2,1,0.5,0.5,2,0.75,7.08
10276953,10238,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,0.37,2,1,0.5,1,2,0.38,7.25
10276960,10185,ont-gamified,Grupo Tosskor,Master,Yee Achiever,0.15,2,1,1.5,1.5,2,1.5,9.65
10276974,10232,non-gamified,Grupo Team 3,Apprentice,NA,0.5,2,1,0.5,1.5,0.27,0.75,6.52
10276981,10191,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.5,2,1,1.5,1.5,1.33,1.5,9.33
10276995,10188,ont-gamified,Grupo Paldira,Master,Yee Achiever,0.33,2,1,1.5,0.7,0.67,1.5,7.7
10277015,10210,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,0.5,2,1,0.75,1.5,0.27,1.5,7.52
10277022,10214,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,0.33,2,1,1.5,1,0.67,1.5,8
10277036,10202,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,0.5,0.67,1,0.5,1.2,0.67,0,4.53
