UserID,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3
10170,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA
10171,1,2,3,4,1,1,2,2,1,2,2,3
10172,1,2,3,4,1,2,3,4,NA,NA,NA,NA
10174,1,1,1,1,1,2,3,4,1,1,1,1
10175,1,1,2,2,1,2,2,3,1,1,1,1
10183,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4
10184,1,2,3,4,1,1,1,1,1,1,2,2
10188,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3
10189,1,1,1,2,NA,NA,NA,NA,1,2,3,4
10191,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
10192,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
10193,1,1,2,2,1,2,3,3,NA,NA,NA,NA
10196,1,2,2,3,1,1,1,1,NA,NA,NA,NA
10197,1,1,1,1,1,1,1,1,NA,NA,NA,NA
10198,1,1,1,1,1,1,1,1,NA,NA,NA,NA
10200,1,1,1,1,1,1,1,1,NA,NA,NA,NA
10201,1,2,3,3,1,1,2,2,NA,NA,NA,NA
10202,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10203,1,1,1,1,1,2,2,3,NA,NA,NA,NA
10204,1,1,1,1,1,2,3,3,1,1,1,2
10206,1,1,2,2,1,2,3,4,NA,NA,NA,NA
10208,1,1,2,2,1,2,2,3,1,2,2,3
10209,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10210,1,2,2,3,1,1,1,1,NA,NA,NA,NA
10211,1,2,3,4,1,2,2,3,1,1,2,2
10213,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4
10214,1,1,1,1,1,1,2,2,1,1,1,1
10215,1,1,1,2,1,1,2,2,NA,NA,NA,NA
10216,1,2,3,4,1,2,3,4,1,2,3,4
10217,1,2,3,3,1,1,1,1,1,1,1,1
10218,NA,NA,NA,NA,1,2,3,4,1,2,3,4
10224,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA
10226,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA
10227,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10230,1,2,3,3,1,1,1,2,NA,NA,NA,NA
10231,1,1,1,1,1,1,1,2,1,1,1,1
10232,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10240,1,2,2,3,1,2,3,4,1,1,2,2
