NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re1,Un3,Ap2a,Ap2b,An3a,An3b,Ev2
698531,10171,ont-gamified,Grupo Losvakai,Master,Yee Achiever,52,40,1,14,16,12,36
8656201,10178,non-gamified,Grupo Team 11,Apprentice,NA,77,40,1,0,12,5,26
9065750,10212,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,74,40,1,6,8,5,36
9082496,10221,non-gamified,Grupo Team 3,Apprentice,NA,37,18,1,0,0,0,25
9274382,10227,non-gamified,Grupo Team 2,Apprentice,NA,49,18,0,6,11,0,0
9285227,10215,non-gamified,Grupo Team 7,Apprentice,NA,50,29,1,0,8,6,16
9311643,10211,ont-gamified,Grupo Razorg,Master,Yee Achiever,78,30,1,14,16,6,36
9363926,10189,non-gamified,Grupo Team 2,Apprentice,NA,63,9,0,7,3,5,16
9368772,10224,non-gamified,Grupo Team 9,Apprentice,NA,75,40,1,6,12,5,7
9424506,10242,non-gamified,Grupo Team 11,Apprentice,NA,74,30,1,14,16,0,6
9760151,10220,non-gamified,Grupo Team 4,Apprentice,NA,76,10,1,0,8,0,27
9790781,10187,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,77,40,1,0,12,5,26
9795185,10223,non-gamified,Grupo Team 3,Master,NA,65,40,1,14,12,12,36
9795272,10200,non-gamified,Grupo Team 4,Apprentice,NA,38,18,1,0,4,5,6
9805320,10233,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,65,40,1,6,12,5,17
9805341,10217,ont-gamified,Grupo Belos,Master,Yee Socializer,65,40,1,14,16,12,36
9842913,10218,non-gamified,Grupo Team 10,Apprentice,NA,63,30,1,0,16,6,27
9921470,10203,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,49,7,1,0,3,0,15
10260351,10170,non-gamified,Grupo Team 6,Apprentice,NA,49,18,1,14,4,5,26
10262669,10209,non-gamified,Grupo Team 1,Master,NA,52,40,1,14,16,12,36
10273971,10172,ont-gamified,Grupo Koil,Master,Yee Achiever,62,40,1,6,8,12,27
10276654,10240,non-gamified,Grupo Team 8,Apprentice,NA,38,40,1,0,4,0,26
10276661,10197,non-gamified,Grupo Team 11,Master,NA,74,40,1,7,12,0,26
10276675,10184,non-gamified,Grupo Team 7,Master,NA,51,40,1,7,8,12,17
10276682,10192,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,51,39,0,6,8,5,26
10276720,10216,ont-gamified,Grupo Ellaru,Master,Yee Socializer,50,40,1,14,16,12,26
10276762,10193,non-gamified,Grupo Team 2,Master,NA,52,40,1,14,16,12,36
10276831,10219,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,52,18,1,6,4,5,26
10276852,10174,non-gamified,Grupo Team 1,Apprentice,NA,49,6,0,13,0,0,0
10276866,10181,non-gamified,Grupo Team 7,Apprentice,NA,38,28,1,0,8,12,6
10276907,10190,non-gamified,Grupo Team 8,Apprentice,NA,49,30,1,6,16,0,17
10276911,10231,non-gamified,Grupo Team 4,Master,NA,52,40,1,14,12,12,36
10276928,10201,non-gamified,Grupo Team 10,Master,NA,63,40,1,6,4,12,17
10276932,10208,ont-gamified,Grupo Yeka,Master,Yee Socializer,65,40,1,14,12,12,36
10276949,10176,non-gamified,Grupo Team 9,Apprentice,NA,64,40,1,6,8,5,16
10276953,10238,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,63,19,0,14,11,5,6
10276960,10185,ont-gamified,Grupo Tosskor,Master,Yee Achiever,65,40,1,14,16,5,26
10276974,10232,non-gamified,Grupo Team 3,Apprentice,NA,38,0,1,6,8,4,16
10276995,10188,ont-gamified,Grupo Paldira,Master,Yee Achiever,65,40,1,14,16,12,36
10277015,10210,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,50,18,1,6,4,5,0
10277022,10214,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,49,40,1,6,12,6,36
10277036,10202,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,62,29,0,0,0,0,15
10277040,10213,non-gamified,Grupo Team 8,Master,NA,64,39,1,6,15,12,26
10310342,10226,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,76,17,1,0,8,12,15
10310471,10204,non-gamified,Grupo Team 5,Master,NA,51,40,1,6,16,12,18
10310492,10228,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,61,29,0,14,4,6,0
10310551,10186,non-gamified,Grupo Team 5,Apprentice,NA,38,29,1,0,8,6,0
10310655,10196,non-gamified,Grupo Team 5,Apprentice,NA,52,19,1,6,8,0,16
10310676,10234,non-gamified,Grupo Team 6,Apprentice,NA,38,0,1,14,4,0,26
10310700,10175,non-gamified,Grupo Team 6,Master,NA,65,40,1,14,16,5,26
10310721,10206,non-gamified,Grupo Team 9,Master,NA,65,29,1,6,12,12,36
10310759,10179,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,51,40,1,0,8,5,26
10310888,10198,non-gamified,Grupo Team 1,Apprentice,NA,25,0,1,0,3,0,16
10351992,10230,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,51,40,1,6,12,5,36
10352030,10183,non-gamified,Grupo Belos,Apprentice,Yee Socializer,65,9,1,0,0,0,0
10377538,10169,non-gamified,Grupo Team 10,Apprentice,NA,78,40,1,14,4,0,27
10377688,10237,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,64,10,1,14,16,6,36
