NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re1,Un3,Ap2a,Ap2b,An3a,An3b,Ev2,score
698531,10171,ont-gamified,Grupo Losvakai,Master,Yee Achiever,0.33,2,1,1.5,1.5,2,1.5,9.83
8656201,10178,non-gamified,Grupo Team 11,Apprentice,NA,0.46,2,1,0,1.13,0.6,0.94,6.12
9065750,10212,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,0.33,2,1,0.5,0.75,0.6,1.5,6.68
9082496,10221,non-gamified,Grupo Team 3,Apprentice,NA,0.17,0.56,1,0,0,0,0.75,2.47
9274382,10227,non-gamified,Grupo Team 2,Apprentice,NA,0.21,0.56,NA,0.5,0.63,0,0,1.89
9285227,10215,non-gamified,Grupo Team 7,Apprentice,NA,0.25,1.28,1,0,0.75,1,0.38,4.65
9311643,10211,ont-gamified,Grupo Razorg,Master,Yee Achiever,0.5,1.5,1,1.5,1.5,1,1.5,8.5
9363926,10189,non-gamified,Grupo Team 2,Apprentice,NA,0.33,0.28,0,0.75,0,0.6,0.38,2.34
9368772,10224,non-gamified,Grupo Team 9,Apprentice,NA,0.38,2,1,0.5,1.13,0.6,0,5.6
9424506,10242,non-gamified,Grupo Team 11,Apprentice,NA,0.33,1.5,1,1.5,1.5,NA,0,5.83
9760151,10220,non-gamified,Grupo Team 4,Apprentice,NA,0.42,0.5,1,NA,0.75,NA,1.13,3.79
9790781,10187,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,0.46,2,1,0,1.13,0.6,0.94,6.12
9795185,10223,non-gamified,Grupo Team 3,Master,NA,0.42,2,1,1.5,1.13,2,1.5,9.54
9795272,10200,non-gamified,Grupo Team 4,Apprentice,NA,0.21,0.56,1,0,0.38,0.6,0,2.74
9805320,10233,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,0.42,2,1,0.5,1.13,0.6,0.56,6.2
9805341,10217,ont-gamified,Grupo Belos,Master,Yee Socializer,0.42,2,1,1.5,1.5,2,1.5,9.92
9842913,10218,non-gamified,Grupo Team 10,Apprentice,NA,0.33,1.5,1,0,1.5,1,1.13,6.46
9921470,10203,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,0.21,0,1,0,0,0,0.19,1.4
10260351,10170,non-gamified,Grupo Team 6,Apprentice,NA,0.21,0.56,1,1.5,0.38,0.6,0.94,5.18
10262669,10209,non-gamified,Grupo Team 1,Master,NA,0.33,2,1,1.5,1.5,2,1.5,9.83
10273971,10172,ont-gamified,Grupo Koil,Master,Yee Achiever,0.29,2,1,0.5,0.75,2,1.13,7.67
10276654,10240,non-gamified,Grupo Team 8,Apprentice,NA,0.21,2,1,0,0.38,0,0.94,4.52
10276661,10197,non-gamified,Grupo Team 11,Master,NA,0.33,2,1,0.75,1.13,0,0.94,6.15
10276675,10184,non-gamified,Grupo Team 7,Master,NA,0.29,2,1,0.75,0.75,2,0.56,7.35
10276682,10192,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.29,1.78,0,0.5,0.75,0.6,0.94,4.86
