UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10169,10377538,non-gamified,Grupo Team 10,Apprentice,NA,9,-0.8686977802207364,0.40027669814673833,0.9221967306925115,0.874885899693272
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA,16,0.006092783754617887,0.364653066981889,0.8076317482262663,0.7888456721349553
10171,698531,ont-gamified,Grupo Losvakai,Master,Yee Achiever,23,1.438038939723953,0.7257520752018017,0.41984813093658807,0.433323196954589
10172,10273971,ont-gamified,Grupo Koil,Master,Yee Achiever,18,0.2653124196348008,0.388736921582182,0.30884971221353663,0.2953074272101095
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA,8,-1.0275471835870793,0.42545722247385853,0.9158069721353114,0.9484517167005697
10175,10310700,non-gamified,Grupo Team 6,Master,NA,24,2.3577241398994397,1.2651793853241258,0.13320535896543007,0.13637641889590507
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA,8,-1.0275471835870793,0.42545722247385853,0.40550338950188625,0.3898080973974626
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA,15,-0.11445695422023318,0.35909213598388223,2.0516400709707816,1.9451350084044505
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,17,0.131585852677883,0.3742010087153014,0.18183408400673143,0.17467813030218043
10181,10276866,non-gamified,Grupo Team 7,Apprentice,NA,13,-0.3506275080934047,0.35808402784040655,0.28604120387953064,0.28689027986744337
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer,10,-0.726351606846974,0.38262502820578176,0.40386822381910203,0.38335071448827324
10184,10276675,non-gamified,Grupo Team 7,Master,NA,20,0.5788749914041235,0.4413092804609279,0.313896230628166,0.27957283735459215
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever,15,-0.11445695422023318,0.35909213598388223,0.18733687843357127,0.1837442658182605
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA,16,0.006092783754617887,0.364653066981889,0.9970738497823508,0.9805682594894893
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,7,-1.212153808175784,0.4619849261770966,0.16162112349131036,0.14738273190987886
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever,17,0.131585852677883,0.3742010087153014,0.7221397767093954,0.6956459368995265
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA,8,-1.0275471835870793,0.42545722247385853,2.392655628367274,2.355546709390406
10190,10276907,non-gamified,Grupo Team 8,Apprentice,NA,15,-0.11445695422023318,0.35909213598388223,2.232612599605229,2.2461442378737186
10191,10276981,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,19,0.4119500258079539,0.41002939609609756,0.7837667457955595,0.8367323174193722
10192,10276682,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,19,0.4119500258079539,0.41002939609609756,2.7877783984875553,2.9517741665400714
10193,10276762,non-gamified,Grupo Team 2,Master,NA,14,-0.23262451137380655,0.3569766923261207,1.3034283512786549,1.2950718244532289
10196,10310655,non-gamified,Grupo Team 5,Apprentice,NA,9,-0.8686977802207364,0.40027669814673833,0.34287912740165327,0.32368839316197834
10197,10276661,non-gamified,Grupo Team 11,Master,NA,16,0.006092783754617887,0.364653066981889,1.0573382389713015,1.0490497907599983
10198,10310888,non-gamified,Grupo Team 1,Apprentice,NA,21,0.7792092851215531,0.48902369319273636,2.488193450887385,2.0215846703572264
10200,9795272,non-gamified,Grupo Team 4,Apprentice,NA,14,-0.23262451137380655,0.3569766923261207,0.3254776153103828,0.32973978550111466
10201,10276928,non-gamified,Grupo Team 10,Master,NA,17,0.131585852677883,0.3742010087153014,0.7010011994336002,0.6403001486327573
10202,10277036,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,10,-0.726351606846974,0.38262502820578176,0.711071878986541,0.7787257805523722
10203,9921470,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,24,2.3577241398994397,1.2651793853241258,0.13320535896543007,0.13637641889590507
10204,10310471,non-gamified,Grupo Team 5,Master,NA,21,0.7792092851215531,0.48902369319273636,0.601487179551225,0.604036388063445
10206,10310721,non-gamified,Grupo Team 9,Master,NA,15,-0.11445695422023318,0.35909213598388223,1.3084753503063709,1.2666498134080604
10208,10276932,ont-gamified,Grupo Yeka,Master,Yee Socializer,11,-0.5949158819442965,0.3704154548961107,0.464284514760038,0.455005727661728
10209,10262669,non-gamified,Grupo Team 1,Master,NA,11,-0.5949158819442965,0.3704154548961107,1.6460558711618412,1.7000597411264273
10210,10277015,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,15,-0.11445695422023318,0.35909213598388223,1.1356642472021352,1.1588696949267512
10211,9311643,ont-gamified,Grupo Razorg,Master,Yee Achiever,13,-0.3506275080934047,0.35808402784040655,0.9293933453810662,0.9315629082325981
10212,9065750,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,16,0.006092783754617887,0.364653066981889,0.13099780120270366,0.12928857930190307
10213,10277040,non-gamified,Grupo Team 8,Master,NA,16,0.006092783754617887,0.364653066981889,0.12535454396855644,0.12354905948167602
10214,10277022,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,19,0.4119500258079539,0.41002939609609756,0.1311778996265609,0.14076909431949275
10215,9285227,non-gamified,Grupo Team 7,Apprentice,NA,24,2.3577241398994397,1.2651793853241258,0.13320535896543007,0.13637641889590507
10216,10276720,ont-gamified,Grupo Ellaru,Master,Yee Socializer,16,0.006092783754617887,0.364653066981889,0.819395487705884,0.7902504700793607
10217,9805341,ont-gamified,Grupo Belos,Master,Yee Socializer,19,0.4119500258079539,0.41002939609609756,0.1311778996265609,0.14076909431949275
10218,9842913,non-gamified,Grupo Team 10,Apprentice,NA,17,0.131585852677883,0.3742010087153014,0.20165140851233643,0.19773966529438586
10219,10276831,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,7,-1.212153808175784,0.4619849261770966,1.3327982153941744,1.2652852069575926
10220,9760151,non-gamified,Grupo Team 4,Apprentice,NA,24,2.3577241398994397,1.2651793853241258,0.13320535896543007,0.13637641889590507
10221,9082496,non-gamified,Grupo Team 3,Apprentice,NA,10,-0.726351606846974,0.38262502820578176,0.8336396171602395,0.8823359057827966
10223,9795185,non-gamified,Grupo Team 3,Master,NA,7,-1.212153808175784,0.4619849261770966,0.3875412987513014,0.3913510840555843
10224,9368772,non-gamified,Grupo Team 9,Apprentice,NA,20,0.5788749914041235,0.4413092804609279,1.0651085161866107,1.0822188673574058
10226,10310342,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,21,0.7792092851215531,0.48902369319273636,1.0471974126519006,0.9192698780840884
10227,9274382,non-gamified,Grupo Team 2,Apprentice,NA,20,0.5788749914041235,0.4413092804609279,0.03833272430041529,0.03817764836746491
10228,10310492,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,15,-0.11445695422023318,0.35909213598388223,0.11463345968705953,0.11677245430207664
10230,10351992,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,20,0.5788749914041235,0.4413092804609279,0.6248783064154788,0.6157694658338896
10231,10276911,non-gamified,Grupo Team 4,Master,NA,16,0.006092783754617887,0.364653066981889,0.9937323097321267,0.9762335376136674
