NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB
8656201,10178,non-gamified,Grupo Team 11,Apprentice,NA,72,52,1,0,12,11,16
9065750,10212,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,48,50,1,7,18,6,36
9082496,10221,non-gamified,Grupo Team 3,Apprentice,NA,70,12,0,0,6,6,26
9274382,10227,non-gamified,Grupo Team 2,Apprentice,NA,48,38,1,6,12,18,26
9285227,10215,non-gamified,Grupo Team 7,Apprentice,NA,60,52,1,14,12,18,36
9363926,10189,non-gamified,Grupo Team 2,Apprentice,NA,58,52,1,6,6,6,26
9368772,10224,non-gamified,Grupo Team 9,Apprentice,NA,33,52,1,14,5,11,36
9760151,10220,non-gamified,Grupo Team 4,Apprentice,NA,60,52,1,14,18,12,26
9790781,10187,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,48,52,1,6,12,11,6
9795272,10200,non-gamified,Grupo Team 4,Apprentice,NA,60,24,0,6,5,4,26
9805341,10217,ont-gamified,Grupo Belos,Master,Yee Socializer,72,52,1,14,18,6,36
9842913,10218,non-gamified,Grupo Team 10,Apprentice,NA,72,52,1,4,2,12,16
9921470,10203,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,59,0,0,0,0,4,16
10260351,10170,non-gamified,Grupo Team 6,Apprentice,NA,72,52,0,0,5,12,36
10273971,10172,ont-gamified,Grupo Koil,Master,Yee Achiever,72,52,1,14,18,18,36
10276654,10240,non-gamified,Grupo Team 8,Apprentice,NA,72,52,1,6,12,5,36
10276661,10197,non-gamified,Grupo Team 11,Master,NA,71,52,1,7,12,12,36
10276675,10184,non-gamified,Grupo Team 7,Master,NA,72,52,1,14,18,5,36
10276682,10192,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,60,52,1,0,12,11,36
10276831,10219,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,72,24,1,14,12,12,36
10276852,10174,non-gamified,Grupo Team 1,Apprentice,NA,60,0,1,3,12,5,7
10276866,10181,non-gamified,Grupo Team 7,Apprentice,NA,44,52,1,14,10,11,36
10276907,10190,non-gamified,Grupo Team 8,Apprentice,NA,60,24,1,14,11,12,36
10276911,10231,non-gamified,Grupo Team 4,Master,NA,60,52,1,14,18,18,36
10276928,10201,non-gamified,Grupo Team 10,Master,NA,72,52,1,14,5,18,36
10276932,10208,ont-gamified,Grupo Yeka,Master,Yee Socializer,72,52,1,14,18,12,36
10276949,10176,non-gamified,Grupo Team 9,Apprentice,NA,48,52,1,6,6,18,18
10276953,10238,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,59,52,1,6,12,18,16
10276960,10185,ont-gamified,Grupo Tosskor,Master,Yee Achiever,44,52,1,14,18,18,36
10276974,10232,non-gamified,Grupo Team 3,Apprentice,NA,72,52,1,6,18,5,18
10276995,10188,ont-gamified,Grupo Paldira,Master,Yee Achiever,48,52,1,14,11,6,36
10277015,10210,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,72,52,1,7,18,5,36
10277022,10214,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,48,52,1,14,12,6,36
10277036,10202,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,72,24,1,6,17,6,7
10277040,10213,non-gamified,Grupo Team 8,Master,NA,60,52,1,14,18,6,36
10310342,10226,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,60,0,1,14,18,12,36
10310471,10204,non-gamified,Grupo Team 5,Master,NA,72,52,1,14,18,11,36
10310492,10228,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,70,52,1,14,6,0,26
10310551,10186,non-gamified,Grupo Team 5,Apprentice,NA,60,52,1,0,12,5,36
10310655,10196,non-gamified,Grupo Team 5,Apprentice,NA,59,52,1,14,12,12,36
10310700,10175,non-gamified,Grupo Team 6,Master,NA,72,52,1,14,18,18,26
10310721,10206,non-gamified,Grupo Team 9,Master,NA,59,52,1,6,18,4,36
10310759,10179,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,72,52,1,14,12,11,36
10310888,10198,non-gamified,Grupo Team 1,Apprentice,NA,72,52,1,14,6,11,36
10351992,10230,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,72,52,1,14,11,18,36
10352030,10183,non-gamified,Grupo Belos,Apprentice,Yee Socializer,60,52,1,6,11,4,7
10377538,10169,non-gamified,Grupo Team 10,Apprentice,NA,60,26,0,7,0,6,36
10377688,10237,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,60,52,1,14,18,18,36
