UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3
10169,10377538,non-gamified,Grupo Team 10,Apprentice,NA,60,26,0,7,0,6,36,NA,NA,NA,NA,NA,NA,NA,NA
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA,72,52,0,0,5,12,36,1,2,3,4,NA,NA,NA,NA
10172,10273971,ont-gamified,Grupo Koil,Master,Yee Achiever,72,52,1,14,18,18,36,1,2,3,4,1,2,3,4
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA,60,0,1,3,12,5,7,1,1,1,1,1,2,3,4
10175,10310700,non-gamified,Grupo Team 6,Master,NA,72,52,1,14,18,18,26,1,1,2,2,1,2,2,3
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA,48,52,1,6,6,18,18,0,0,0,0,NA,NA,NA,NA
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA,72,52,1,0,12,11,16,NA,NA,NA,NA,NA,NA,NA,NA
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,72,52,1,14,12,11,36,NA,NA,NA,NA,NA,NA,NA,NA
10181,10276866,non-gamified,Grupo Team 7,Apprentice,NA,44,52,1,14,10,11,36,NA,NA,NA,NA,NA,NA,NA,NA
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer,60,52,1,6,11,4,7,0,0,0,0,0,0,0,0
10184,10276675,non-gamified,Grupo Team 7,Master,NA,72,52,1,14,18,5,36,1,2,3,4,1,1,1,1
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever,44,52,1,14,18,18,36,NA,NA,NA,NA,NA,NA,NA,NA
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA,60,52,1,0,12,5,36,NA,NA,NA,NA,NA,NA,NA,NA
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,48,52,1,6,12,11,6,NA,NA,NA,NA,NA,NA,NA,NA
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever,48,52,1,14,11,6,36,0,0,0,0,NA,NA,NA,NA
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA,58,52,1,6,6,6,26,1,1,1,2,0,0,0,0
10190,10276907,non-gamified,Grupo Team 8,Apprentice,NA,60,24,1,14,11,12,36,NA,NA,NA,NA,NA,NA,NA,NA
10192,10276682,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,60,52,1,0,12,11,36,1,1,2,2,NA,NA,NA,NA
10196,10310655,non-gamified,Grupo Team 5,Apprentice,NA,59,52,1,14,12,12,36,1,2,2,3,1,1,1,1
10197,10276661,non-gamified,Grupo Team 11,Master,NA,71,52,1,7,12,12,36,1,1,1,1,1,1,1,1
10198,10310888,non-gamified,Grupo Team 1,Apprentice,NA,72,52,1,14,6,11,36,1,1,1,1,1,1,1,1
10200,9795272,non-gamified,Grupo Team 4,Apprentice,NA,60,24,0,6,5,4,26,1,1,1,1,1,1,1,1
10201,10276928,non-gamified,Grupo Team 10,Master,NA,72,52,1,14,5,18,36,1,2,3,3,1,1,2,2
10202,10277036,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,72,24,1,6,17,6,7,1,1,1,1,0,0,0,0
10203,9921470,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,59,0,0,0,0,4,16,1,1,1,1,1,2,2,3
10204,10310471,non-gamified,Grupo Team 5,Master,NA,72,52,1,14,18,11,36,1,1,1,1,1,2,3,3
10206,10310721,non-gamified,Grupo Team 9,Master,NA,59,52,1,6,18,4,36,1,1,2,2,1,2,3,4
10208,10276932,ont-gamified,Grupo Yeka,Master,Yee Socializer,72,52,1,14,18,12,36,1,1,2,2,1,2,2,3
10210,10277015,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,72,52,1,7,18,5,36,1,2,2,3,1,1,1,1
10212,9065750,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,48,50,1,7,18,6,36,NA,NA,NA,NA,NA,NA,NA,NA
10213,10277040,non-gamified,Grupo Team 8,Master,NA,60,52,1,14,18,6,36,NA,NA,NA,NA,NA,NA,NA,NA
10214,10277022,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,48,52,1,14,12,6,36,1,1,1,1,1,1,2,2
