UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re1,Un3,Ap2a,Ap2b,An3a,An3b,Ev2,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3
10169,10377538,non-gamified,Grupo Team 10,Apprentice,NA,78,40,1,14,4,0,27,1,1,1,2,0,0,0,0
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA,49,18,1,14,4,5,26,0,0,0,0,NA,NA,NA,NA
10172,10273971,ont-gamified,Grupo Koil,Master,Yee Achiever,62,40,1,6,8,12,27,1,2,3,4,1,1,1,1
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA,49,6,0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10175,10310700,non-gamified,Grupo Team 6,Master,NA,65,40,1,14,16,5,26,1,1,2,2,1,2,3,3
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA,64,40,1,6,8,5,16,1,1,1,1,1,1,1,1
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA,77,40,1,0,12,5,26,1,1,1,1,1,1,2,2
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,51,40,1,0,8,5,26,NA,NA,NA,NA,NA,NA,NA,NA
10181,10276866,non-gamified,Grupo Team 7,Apprentice,NA,38,28,1,0,8,12,6,1,2,3,4,1,2,3,4
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer,65,9,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10184,10276675,non-gamified,Grupo Team 7,Master,NA,51,40,1,7,8,12,17,1,1,2,2,1,2,2,3
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever,65,40,1,14,16,5,26,NA,NA,NA,NA,NA,NA,NA,NA
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA,38,29,1,0,8,6,0,NA,NA,NA,NA,NA,NA,NA,NA
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,77,40,1,0,12,5,26,1,2,3,4,1,1,1,1
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever,65,40,1,14,16,12,36,1,1,2,2,1,2,3,4
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA,63,9,0,7,3,5,16,1,2,2,3,1,2,3,4
