UserID,Un2,Ap1,Ap3,An3a,An3b,Ev2,ReB,ApA,ApC,AnC1,AnC2,EvB,PGs3,pre.PersonScores,pos.PersonScores,pre.theta,pos.theta,pre.sd.error,pos.sd.error,gain.theta
10169,14,0,10,0,0,0,56,14,8,6,0,8,2,24,94,-0.08826305679727071,0.05555945998274915,0.06153239280092044,0.055574261766085396,0.14382251678001987
10170,12,22,10,0,7,18,39,0,8,7,0,0,3,69,57,0.02821619263600238,-0.021648055599838126,0.05213718626713381,0.04288800018959308,-0.04986424823584051
10172,41,0,0,7,0,0,2,0,9,6,0,0,3,48,20,0.004686533975825399,-0.0825581728653958,0.06212669347617115,0.05938115733988724,-0.0872447068412212
10174,14,22,10,6,14,8,38,0,0,0,12,0,NA,74,50,0.04104532658364394,-0.023147473244396394,0.05288230717617616,0.04244040467865407,-0.06419279982804033
10175,28,10,0,7,14,18,56,14,18,14,0,18,2,77,122,0.04899938012322864,0.18570911857242395,0.05346056196211553,0.0839297979197529,0.13670973844919532
10176,27,18,22,14,14,0,12,6,8,14,0,0,3,95,43,0.10250313060946364,-0.034682305501593076,0.05940476255263934,0.04433007699723827,-0.1371854361110567
10178,0,22,22,0,0,0,48,0,0,13,5,7,3,44,76,-0.03228513679057337,0.010538204585134785,0.052753084686565206,0.04507891035990196,0.04282334137570815
10179,27,22,22,6,6,8,48,6,0,0,6,0,NA,91,60,0.1945697476359542,-0.009165317494916659,0.06472339778228688,0.04239497303624075,-0.20373506513087086
10181,26,0,0,7,0,0,56,14,0,7,0,0,1,33,78,-0.060817555569130016,0.014099493843892983,0.05613652108225851,0.04577887383869315,0.074917049413023
10183,26,0,22,0,0,0,38,4,0,6,6,0,NA,48,54,0.004686533975825399,-0.017820445984056892,0.06212669347617115,0.04229033011417087,-0.02250697995988229
10184,28,22,11,7,0,18,56,0,0,0,0,0,1,86,57,0.07431695900313644,-0.021648055599838126,0.055835676711142174,0.04288800018959308,-0.09596501460297456
10185,42,0,22,7,0,0,56,0,0,0,0,0,NA,71,56,0.033289417598608574,-0.015377300475101578,0.052402832341687626,0.04230877385271702,-0.048666718073710154
10186,29,10,12,8,8,0,38,12,6,0,6,8,4,67,74,0.02321183987606493,0.0071725946627239955,0.05191460562694912,0.044471727611632615,-0.016039245213340936
10187,0,22,22,0,0,0,56,0,0,5,5,0,NA,44,66,-0.03228513679057337,-0.0014270916492401635,0.052753084686565206,0.04326670019707465,0.030858045141333206
10188,14,22,0,14,14,0,56,14,18,0,6,18,1,64,113,0.01581694187345002,0.1358745813861364,0.05166200782621911,0.0713624644105043,0.12005763951268637
10189,11,0,0,5,0,0,20,0,0,0,0,18,NA,16,38,-0.119322468984448,-0.039657596381636115,0.07016561298980435,0.04447553060623007,0.07966487260281188
10190,12,10,0,7,6,8,2,6,0,0,7,0,NA,43,15,-0.0347519865701893,-0.09323862796107352,0.0529584035716302,0.06473698950650134,-0.05848664139088422
10191,41,22,22,0,13,0,38,0,0,0,6,8,4,98,56,0.11274919365692566,-0.04683034931650315,0.06095798253546703,0.17718348729718397,-0.1595795429734288
10192,25,22,22,0,0,0,47,14,18,0,6,18,NA,69,103,0.02821619263600238,0.10217216092439495,0.05213718626713381,0.06503035436744058,0.07395596828839257
10193,27,22,11,6,0,0,13,14,0,0,12,9,1,66,49,0.020733010568079954,-0.07988600727706388,0.05181951879303671,0.054756299613717856,-0.10061901784514383
10197,28,22,0,13,0,8,20,0,18,0,0,8,NA,71,46,0.033289417598608574,0.006333997936580127,0.052402832341687626,0.30733026940271185,-0.026955419662028447
10198,27,0,0,7,0,0,47,14,8,7,6,0,2,34,84,-0.058051886884137933,0.02638963091593455,0.05571673316270572,0.048529739823459296,0.08444151780007249
10200,27,0,10,6,0,0,47,0,8,0,6,0,NA,43,61,-0.0347519865701893,0.021991385464854588,0.0529584035716302,0.04872256021735978,0.056743372035043885
10201,27,22,0,14,14,0,37,0,8,14,0,0,1,77,60,0.04899938012322864,-0.013222064130632006,0.05346056196211553,0.04230733734008147,-0.06222144425386064
10202,26,0,0,0,0,0,56,6,18,14,6,0,NA,26,100,-0.08166467078202552,0.08934559096579611,0.06004179306940258,0.06264788853956611,0.17101026174782163
