UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item22IE,Item09IE,Item12IE,Item24IE,Item21IE,Item01IE,Item17PC,Item15PC,Item06PC,Item02PC,Item08PC,Item16PT,Item14PT,Item18PT,Item11PT,Item13EI,Item03EI,Item07EI,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
10169,10377538,ont-gamified,Resistance,Apprentice,Social Achiever,7,7,7,7,7,7,2,4,2,4,2,5,5,5,1,5,5,5,7,5.2,5.5,3.6666666666666665,4.591666666666667
10170,10260351,w/o-gamified,Grupo11,Apprentice,NA,4,4,4,4,6,3,2,3,1,2,3,1,1,1,1,3,4,3,4.166666666666667,5.8,2.5,4.666666666666667,5.033333333333333
10171,698531,ont-gamified,Mafia,Master,Social Achiever,6,7,5,6,6,5,2,2,2,2,1,2,2,1,6,1,7,1,5.833333333333333,6.2,1.75,7,6.320833333333333
10172,10273971,w/o-gamified,Grupo5,Apprentice,NA,5,5,5,5,7,4,6,5,5,5,5,5,4,5,5,5,4,5,5.166666666666667,2.8,4.25,3.3333333333333335,3.7625
10174,10276852,w/o-gamified,Grupo7,Master,NA,4,4,6,4,6,3,4,4,3,4,4,5,4,5,5,5,4,2,4.5,4.2,4.25,4.333333333333333,4.195833333333333
10175,10310700,ont-gamified,Warriors,Master,Social Achiever,4,4,4,4,4,4,1,3,1,1,1,1,1,1,7,1,4,1,4,6.6,1,6,5.9
10176,10276949,ont-gamified,Outlaws,Master,Social Achiever,4,4,4,4,4,3,4,4,5,6,4,5,4,5,4,4,4,5,3.8333333333333335,3.4,4.5,3.6666666666666665,3.5999999999999996
10179,10310759,w/o-gamified,Grupo10,Master,NA,3,4,4,2,3,6,6,7,5,5,4,1,1,2,7,2,6,1,3.6666666666666665,2.6,1.25,6.333333333333333,4.8375
10181,10276866,w/o-gamified,Grupo2,Apprentice,NA,3,3,2,1,2,2,1,5,5,5,3,1,4,5,4,5,2,4,2.1666666666666665,4.2,3.5,3,3.466666666666667
10183,10352030,w/o-gamified,Grupo3,Apprentice,NA,3,3,2,3,3,3,4,4,3,2,5,4,4,5,2,4,2,3,2.8333333333333335,4.4,4.75,3.6666666666666665,3.5374999999999996
10184,10276675,w/o-gamified,Grupo10,Apprentice,NA,4,3,4,4,4,4,5,4,4,3,4,3,4,4,4,4,3,4,3.8333333333333335,4,3.75,3.6666666666666665,3.9375
10185,10276960,w/o-gamified,Grupo9,Apprentice,NA,4,3,6,5,6,5,6,3,6,5,3,4,4,5,4,4,4,3,4.833333333333333,3.4,4.25,4.333333333333333,4.079166666666667
10186,10310551,ont-gamified,Slayers,Apprentice,Social Achiever,4,3,3,6,6,1,4,4,4,4,1,4,5,4,1,1,7,1,3.8333333333333335,4.6,5,7,4.608333333333333
10188,10276995,ont-gamified,Vandals,Master,Yee Achiever,3,3,3,1,4,4,1,3,1,3,1,1,1,1,7,2,4,3,3,6.2,1,5,5.3
10189,9363926,ont-gamified,Vikings,Apprentice,Social Achiever,2,2,2,1,4,1,5,5,4,5,4,1,1,2,4,1,5,3,2,3.4,2,5.666666666666667,4.266666666666667
10190,10276907,w/o-gamified,Grupo4,Apprentice,NA,3,4,4,3,3,2,6,7,5,3,4,5,5,5,5,3,4,5,3.1666666666666665,3,4.5,4,3.416666666666666
10191,10276981,w/o-gamified,Grupo1,Master,NA,3,2,2,3,3,1,5,5,4,5,5,1,1,1,7,2,4,4,2.3333333333333335,3.2,1,4.666666666666667,4.3
10192,10276682,ont-gamified,Attractive Devils,Apprentice,Social Achiever,4,5,1,6,4,4,2,3,4,3,4,4,4,4,3,1,7,5,4,4.8,4.25,5.666666666666667,4.554166666666667
10193,10276762,ont-gamified,Vandals,Apprentice,Yee Achiever,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1.3333333333333333,7,2.75,5,4.645833333333334
