NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReB,UnB,ApC,ApA,AnC1,AnC2,EvB
8656201,10178,ont-gamified,Outlaws,Apprentice,Social Achiever,48,24,0,0,13,5,7
9082496,10221,ont-gamified,Warriors,Apprentice,Social Achiever,29,39,0,0,0,6,0
9274382,10227,w/o-gamified,Grupo5,Master,NA,0,65,0,8,8,8,10
9285227,10215,ont-gamified,Vikings,Master,Social Achiever,20,78,0,14,7,0,0
9363926,10189,ont-gamified,Vikings,Apprentice,Social Achiever,20,77,0,0,0,0,18
9760151,10220,w/o-gamified,Grupo3,Apprentice,NA,38,38,0,0,0,14,9
9790781,10187,ont-gamified,Mafia,Apprentice,Social Achiever,56,24,0,0,5,5,0
9795185,10223,ont-gamified,Slayers,Master,Social Achiever,20,52,0,6,14,12,8
9795272,10200,ont-gamified,Warriors,Apprentice,Social Achiever,47,78,8,0,0,6,0
9805341,10217,w/o-gamified,Grupo9,Apprentice,NA,56,65,6,14,14,6,6
9842913,10218,w/o-gamified,Grupo10,Apprentice,NA,56,78,0,0,0,0,0
9921470,10203,ont-gamified,Mercenaries,Apprentice,Social Achiever,11,50,0,6,0,0,0
10260351,10170,w/o-gamified,Grupo11,Apprentice,NA,39,51,8,0,7,0,0
10262669,10209,ont-gamified,Mafia,Apprentice,Social Achiever,56,65,18,14,14,6,8
10273971,10172,w/o-gamified,Grupo5,Apprentice,NA,2,78,9,0,6,0,0
10276654,10240,w/o-gamified,Grupo5,Apprentice,NA,29,51,0,6,14,0,0
10276661,10197,w/o-gamified,Grupo8,Apprentice,NA,20,78,18,0,0,0,8
10276675,10184,w/o-gamified,Grupo10,Apprentice,NA,56,0,0,0,0,0,0
10276682,10192,ont-gamified,Attractive Devils,Apprentice,Social Achiever,47,78,18,14,0,6,18
10276720,10216,ont-gamified,Silly Knights,Master,Social Achiever,56,65,0,6,14,14,0
10276737,10199,w/o-gamified,Grupo1,Apprentice,NA,56,65,0,0,12,0,0
10276762,10193,ont-gamified,Vandals,Apprentice,Yee Achiever,13,65,0,14,0,12,9
10276831,10219,w/o-gamified,Grupo3,Master,NA,39,50,8,14,0,0,0
10276852,10174,w/o-gamified,Grupo7,Master,NA,38,51,0,0,0,12,0
10276866,10181,w/o-gamified,Grupo2,Apprentice,NA,56,65,0,14,7,0,0
10276907,10190,w/o-gamified,Grupo4,Apprentice,NA,2,52,0,6,0,7,0
10276911,10231,w/o-gamified,Grupo9,Master,NA,38,78,0,14,14,0,18
10276928,10201,w/o-gamified,Grupo11,Apprentice,NA,37,65,8,0,14,0,0
10276949,10176,ont-gamified,Outlaws,Master,Social Achiever,12,52,8,6,14,0,0
10276953,10238,w/o-gamified,Grupo2,Master,NA,38,64,0,0,14,6,0
10276960,10185,w/o-gamified,Grupo9,Apprentice,NA,56,0,0,0,0,0,0
10276974,10232,w/o-gamified,Grupo7,Apprentice,NA,29,78,8,6,5,4,0
10276981,10191,w/o-gamified,Grupo1,Master,NA,38,77,0,0,0,6,8
10276995,10188,ont-gamified,Vandals,Master,Yee Achiever,56,65,18,14,0,6,18
10277015,10210,w/o-gamified,Grupo6,Apprentice,NA,47,64,18,0,6,6,0
10277022,10214,ont-gamified,Vikings,Apprentice,Social Achiever,21,52,8,14,14,12,0
10277036,10202,ont-gamified,Silly Knights,Apprentice,Social Achiever,56,64,18,6,14,6,0
10277040,10213,w/o-gamified,Grupo7,Apprentice,NA,56,78,0,0,0,5,8
10310342,10226,w/o-gamified,Grupo4,Apprentice,NA,56,50,0,0,7,7,0
10310471,10204,w/o-gamified,Grupo6,Apprentice,NA,56,52,8,0,0,14,0
10310492,10228,ont-gamified,Resistance,Apprentice,Social Achiever,21,39,0,6,7,0,0
10310551,10186,ont-gamified,Slayers,Apprentice,Social Achiever,38,63,6,12,0,6,8
10310700,10175,ont-gamified,Warriors,Master,Social Achiever,56,78,18,14,14,0,18
10310721,10206,w/o-gamified,Grupo8,Apprentice,NA,38,77,7,6,14,6,0
10310759,10179,w/o-gamified,Grupo10,Master,NA,48,52,0,6,0,6,0
10310888,10198,ont-gamified,Attractive Devils,Apprentice,Social Achiever,47,64,8,14,7,6,0
10351992,10230,ont-gamified,Resistance,Master,Social Achiever,2,50,8,0,0,0,8
10352030,10183,w/o-gamified,Grupo3,Apprentice,NA,38,65,0,4,6,6,0
10377538,10169,ont-gamified,Resistance,Apprentice,Social Achiever,56,65,8,14,6,0,8
10377688,10237,ont-gamified,Outlaws,Apprentice,Social Achiever,56,37,8,0,6,0,8
