NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2,score
698531,10171,ont-gamified,Mafia,Master,Social Achiever,1,NA,2,1,2,2,NA,8
8656201,10178,ont-gamified,Outlaws,Apprentice,Social Achiever,0.29,0,2,1,0,0,0,3.29
9065750,10212,w/o-gamified,Grupo8,Master,NA,0.14,0.64,0.8,1,2,2,0.56,7.15
9082496,10221,ont-gamified,Warriors,Apprentice,Social Achiever,0.14,1.29,0,0,0,0,0.56,1.99
9274382,10227,w/o-gamified,Grupo5,Master,NA,0.43,1.5,1,1,0.67,2,NA,6.6
9285227,10215,ont-gamified,Vikings,Master,Social Achiever,0.14,3,2,0.4,1,0,0.56,7.11
9311643,10211,ont-gamified,Attractive Devils,Master,Social Achiever,0.14,0,2,1,1.33,2,0,6.48
9363926,10189,ont-gamified,Vikings,Apprentice,Social Achiever,0.71,0,0,0,0.33,0,0,1.05
9368772,10224,ont-gamified,Mercenaries,Apprentice,Social Achiever,0.29,1.07,2,1,0,0,0,4.36
9755822,10248,w/o-gamified,Grupo1,Apprentice,NA,0.29,1.07,NA,0,NA,NA,NA,1.36
9760151,10220,w/o-gamified,Grupo3,Apprentice,NA,0.14,1.29,NA,1,NA,NA,0.56,2.99
9790781,10187,ont-gamified,Mafia,Apprentice,Social Achiever,0.14,0,2,1,0,0,0,4.07
9795185,10223,ont-gamified,Slayers,Master,Social Achiever,0.14,0,0,1,2,2,0,5.14
9795272,10200,ont-gamified,Warriors,Apprentice,Social Achiever,0.14,1.07,0.8,0,0.67,0,0,2.68
9805320,10233,w/o-gamified,Grupo6,Master,NA,0.14,2.57,0,1,1.67,1.67,0,7.05
9805341,10217,w/o-gamified,Grupo9,Apprentice,NA,0.14,0.86,0,1,2,0,1.5,5.5
9842913,10218,w/o-gamified,Grupo10,Apprentice,NA,0.14,1.29,2,1,0,0,0.56,4.99
9921470,10203,ont-gamified,Mercenaries,Apprentice,Social Achiever,0.29,2.79,2,0,0,NA,0.56,5.63
10260351,10170,w/o-gamified,Grupo11,Apprentice,NA,0,1.07,0.8,1,0,1,1.5,5.37
10262669,10209,ont-gamified,Mafia,Apprentice,Social Achiever,0.14,1.29,0.8,1,0,2,0.56,5.79
10273971,10172,w/o-gamified,Grupo5,Apprentice,NA,0.43,2.57,0,0,1,0,0,4
10276654,10240,w/o-gamified,Grupo5,Apprentice,NA,0.14,2.79,0,1,0,0.67,0,4.6
10276661,10197,w/o-gamified,Grupo8,Apprentice,NA,0.14,3,0,1,1.67,0,0.56,6.37
10276675,10184,w/o-gamified,Grupo10,Apprentice,NA,0.14,1.29,1,1,1,0,1.5,5.93
10276682,10192,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.14,0.64,2,1,0,0,0,3.79
10276720,10216,ont-gamified,Silly Knights,Master,Social Achiever,0.14,3,0.8,1,1,1,0,6.94
10276762,10193,ont-gamified,Vandals,Apprentice,Yee Achiever,0.14,1.07,1,1,0.67,NA,NA,3.88
10276831,10219,w/o-gamified,Grupo3,Master,NA,0,2.79,0.8,1,2,0,0,6.59
10276852,10174,w/o-gamified,Grupo7,Master,NA,0.43,1.5,0.8,1,0.67,2,0.56,6.96
10276866,10181,w/o-gamified,Grupo2,Apprentice,NA,0.14,0.86,0,0,1,0,0,2
10276907,10190,w/o-gamified,Grupo4,Apprentice,NA,0.14,0,0,0.4,1,0.67,0.56,2.77
10276911,10231,w/o-gamified,Grupo9,Master,NA,0.14,2.79,0,1,2,2,0.56,8.49
10276928,10201,w/o-gamified,Grupo11,Apprentice,NA,0.14,1.07,0,1,2,2,0,6.21
10276932,10208,ont-gamified,Mercenaries,Master,Social Achiever,0.29,2.79,0.8,1,2,2,0.56,9.43
10276949,10176,ont-gamified,Outlaws,Master,Social Achiever,0.14,1.07,2,0.6,2,2,0,7.81
10276953,10238,w/o-gamified,Grupo2,Master,NA,1,0,2,0,2,0,0.56,5.56
10276960,10185,w/o-gamified,Grupo9,Apprentice,NA,0.71,2.79,2,0,1,0,0,6.5
10276974,10232,w/o-gamified,Grupo7,Apprentice,NA,0.14,1.07,2,1,0,0.67,0.38,5.26
10276981,10191,w/o-gamified,Grupo1,Master,NA,0.14,2.57,2,1,0,1.67,NA,7.38
