UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2
10169,10377538,ont-gamified,Resistance,Apprentice,Social Achiever,0.5178571428571429,0.3333333333333333,0.45454545454545453,0,0,0,0
10170,10260351,w/o-gamified,Grupo11,Apprentice,NA,0.375,0.2857142857142857,0.45454545454545453,1,0,0.5,1
10172,10273971,w/o-gamified,Grupo5,Apprentice,NA,0.6785714285714286,0.9761904761904762,0,0,0.5,0,0
10174,10276852,w/o-gamified,Grupo7,Master,NA,0.6785714285714286,0.3333333333333333,0.45454545454545453,1,0.42857142857142855,1,0.4444444444444444
10175,10310700,ont-gamified,Warriors,Master,Social Achiever,0.5178571428571429,0.6666666666666666,0,0.45454545454545453,0.5,1,1
10176,10276949,ont-gamified,Outlaws,Master,Social Achiever,0.5178571428571429,0.6428571428571429,1,0.8181818181818182,1,1,0
10178,8656201,ont-gamified,Outlaws,Apprentice,Social Achiever,0.5357142857142857,0,1,1,0,0,0
10179,10310759,w/o-gamified,Grupo10,Master,NA,0.8571428571428571,0.6428571428571429,1,1,0.42857142857142855,0.42857142857142855,0.4444444444444444
10181,10276866,w/o-gamified,Grupo2,Apprentice,NA,0.5178571428571429,0.6190476190476191,0,0,0.5,0,0
10183,10352030,w/o-gamified,Grupo3,Apprentice,NA,0.5178571428571429,0.6190476190476191,1,0,0,0,0
10184,10276675,w/o-gamified,Grupo10,Apprentice,NA,0.5178571428571429,0.6666666666666666,0.5,1,0.5,0,1
10185,10276960,w/o-gamified,Grupo9,Apprentice,NA,0.8392857142857143,1,1,0,0.5,0,0
10186,10310551,ont-gamified,Slayers,Apprentice,Social Achiever,0.375,0.6904761904761905,0.5454545454545454,0.45454545454545453,0.5714285714285714,0.5714285714285714,0
10187,9790781,ont-gamified,Mafia,Apprentice,Social Achiever,0.5178571428571429,0,1,1,0,0,0
10188,10276995,ont-gamified,Vandals,Master,Yee Achiever,0.5357142857142857,0.3333333333333333,0,1,1,1,0
10189,9363926,ont-gamified,Vikings,Apprentice,Social Achiever,0.8392857142857143,0.2619047619047619,0,0,0.35714285714285715,0,0
10190,10276907,w/o-gamified,Grupo4,Apprentice,NA,0.5178571428571429,0.2857142857142857,0,0.45454545454545453,0.5,0.42857142857142855,0.4444444444444444
10191,10276981,w/o-gamified,Grupo1,Master,NA,0.5178571428571429,0.9761904761904762,1,1,0,0.9285714285714286,0
10192,10276682,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.5178571428571429,0.5952380952380952,1,1,0,0,0
10193,10276762,ont-gamified,Vandals,Apprentice,Yee Achiever,0.5178571428571429,0.6428571428571429,0.5,1,0.42857142857142855,0,0
10197,10276661,w/o-gamified,Grupo8,Apprentice,NA,0.5178571428571429,0.6666666666666666,0,1,0.9285714285714286,0,0.4444444444444444
10198,10310888,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.5178571428571429,0.6428571428571429,0,0,0.5,0,0
10200,9795272,ont-gamified,Warriors,Apprentice,Social Achiever,0.5178571428571429,0.6428571428571429,0.45454545454545453,0,0.42857142857142855,0,0
