UserID,Item01,Item02,Item03,Item04,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26
10169,7,7,5,7,7,7,3,7,2,6,7,7,7,4,7,7,1,7,7,1,7,1,7,7,7
10170,4,6,4,6,6,6,5,4,2,5,5,4,4,2,4,5,1,5,4,2,5,1,6,6,6
10171,4,7,6,6,7,6,1,5,2,6,5,6,6,2,5,4,2,5,5,2,3,2,7,7,6
10172,5,5,6,5,5,5,5,5,5,5,5,6,4,5,5,5,4,6,4,5,5,4,5,5,6
10174,7,7,3,5,4,4,4,3,3,4,4,6,5,5,5,4,5,6,4,6,3,5,3,4,4
10175,4,4,6,5,5,5,1,5,1,5,5,6,6,3,6,5,1,6,5,2,5,1,5,7,6
10176,4,4,3,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4
10178,4,4,4,4,4,4,4,4,4,4,4,2,4,6,4,4,4,4,4,4,4,4,4,4,4
10179,2,6,5,4,5,4,2,2,3,4,4,3,4,2,5,5,2,2,4,4,3,2,6,4,4
10181,4,5,4,4,3,4,4,4,4,4,4,1,1,4,5,3,4,5,3,2,5,2,4,5,4
10183,2,2,2,2,2,2,4,2,5,3,2,2,2,6,3,4,2,2,2,5,2,4,2,3,3
10184,5,4,4,4,5,4,4,4,4,4,4,6,4,1,4,4,4,2,4,4,4,6,4,4,4
10185,4,6,4,3,5,3,6,6,4,3,5,4,5,3,2,5,3,4,5,5,4,5,4,3,3
10186,6,7,5,4,6,4,1,5,5,5,1,7,7,1,4,5,1,1,5,3,4,5,2,6,4
10188,3,3,4,4,4,3,2,2,1,2,4,3,3,1,4,3,2,2,3,2,2,3,4,4,4
10189,1,3,1,2,4,1,1,1,3,3,1,3,2,7,2,3,1,1,1,6,1,5,2,4,3
10190,3,6,5,6,6,5,4,4,5,3,5,3,4,5,5,4,5,5,5,5,5,4,1,3,3
10191,4,4,3,2,4,2,6,2,3,3,4,4,4,3,4,5,2,4,2,3,1,2,3,3,5
10192,4,4,5,4,4,4,4,4,4,4,4,7,6,5,5,7,2,7,7,1,7,4,6,5,6
10193,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1
10196,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,1,6,4,4,4,4,4,7,4
10197,7,5,3,7,5,4,4,5,1,4,4,4,4,2,4,2,4,5,4,5,1,3,5,4,3
10198,4,5,4,5,6,6,2,4,3,5,5,7,7,4,7,6,1,7,7,2,2,3,5,5,5
10199,4,4,4,5,4,3,2,4,4,4,4,6,4,4,4,4,5,3,1,4,5,4,2,5,4
10200,5,7,6,4,5,4,2,4,3,6,5,5,6,3,5,7,1,6,5,3,6,2,6,6,5
10201,3,5,7,6,6,6,5,3,3,5,5,6,5,6,4,6,2,6,5,4,6,2,6,6,6
10202,4,5,3,2,5,2,3,5,5,5,3,5,5,3,4,5,2,2,4,3,3,6,5,5,3
10203,4,7,4,4,7,7,3,6,4,4,5,5,7,5,4,7,6,6,4,4,2,1,5,4,5
10204,1,1,4,1,1,1,4,1,7,1,1,2,1,4,1,4,4,1,1,1,1,7,1,4,1
10206,4,5,4,4,6,4,3,4,3,5,6,5,5,4,5,6,2,4,4,3,4,3,4,6,5
10208,2,4,3,2,4,2,3,4,6,3,2,5,5,4,3,3,3,3,3,5,3,3,4,3,4
10209,2,4,1,2,4,1,1,4,6,4,2,2,2,4,3,3,3,2,3,4,1,5,4,4,4
10210,1,1,1,1,1,1,7,1,7,1,1,1,1,4,1,1,4,1,1,7,4,1,1,4,1
10211,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10213,5,7,7,5,7,7,1,3,1,4,7,7,4,1,7,7,1,7,2,2,5,5,7,4,4
10214,3,2,2,1,1,1,3,1,5,3,2,3,4,6,4,4,2,1,2,5,1,6,2,2,2
10215,5,2,2,4,2,1,1,5,1,4,4,3,3,4,3,1,1,1,1,1,1,1,2,4,3
10216,3,5,7,4,6,5,2,4,1,6,6,5,5,3,4,6,1,2,4,2,3,3,6,7,4
10217,3,3,4,3,4,4,3,4,3,5,4,4,4,3,5,4,3,4,4,3,2,2,6,6,6
10218,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,5,5,3,3,3,4,4,4
10219,1,2,4,3,4,2,5,2,4,1,2,1,1,4,2,1,1,3,1,5,4,4,2,2,2
10220,4,7,4,1,7,1,1,4,1,4,1,7,4,4,1,7,1,1,1,1,4,4,4,7,1
10221,2,2,4,4,3,3,7,3,4,4,2,4,3,6,4,5,3,3,2,6,3,4,4,3,2
10223,4,4,3,3,4,4,4,4,3,4,4,4,5,3,4,4,3,4,4,2,5,3,5,7,5
10224,5,5,5,4,5,4,3,4,3,5,4,5,4,4,5,6,3,4,4,4,4,4,4,5,4
10226,4,4,3,3,2,1,5,1,4,4,2,3,2,2,6,3,1,2,4,4,4,5,1,5,2
10227,5,4,5,5,4,5,2,5,2,5,5,6,6,4,6,6,6,6,6,4,6,4,5,6,6
10228,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,5,4,2,7,1,2,2,2,3
10230,4,5,5,3,2,2,3,6,4,7,4,4,6,3,6,2,4,6,5,3,2,5,3,4,4
10231,4,4,7,4,7,4,2,1,4,7,4,7,5,4,4,4,4,4,4,4,6,4,7,5,4
10232,4,6,5,4,5,4,1,4,2,6,6,6,5,4,6,6,1,5,4,2,7,2,6,7,4
10234,6,2,1,2,6,2,2,1,1,1,2,1,2,2,2,2,3,1,6,4,1,6,5,4,2
10237,3,5,3,4,2,3,2,4,4,5,3,3,4,4,3,6,3,5,4,4,2,4,5,5,4
10238,4,5,5,4,5,4,4,4,3,5,5,3,2,4,4,5,1,5,4,3,5,3,5,6,5
10240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
