UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,UnB,ApC,ApA,AnC1,AnC2,EvB,PFs0,PFs1,PFs2,PFs3
10169,10377538,ont-gamified,Resistance,Apprentice,Social Achiever,56,65,8,14,6,0,8,1,2,3,3
10170,10260351,w/o-gamified,Grupo11,Apprentice,NA,39,51,8,0,7,0,0,1,1,2,2
10172,10273971,w/o-gamified,Grupo5,Apprentice,NA,2,78,9,0,6,0,0,1,1,1,2
10174,10276852,w/o-gamified,Grupo7,Master,NA,38,51,0,0,0,12,0,1,1,1,1
10175,10310700,ont-gamified,Warriors,Master,Social Achiever,56,78,18,14,14,0,18,1,1,1,1
10176,10276949,ont-gamified,Outlaws,Master,Social Achiever,12,52,8,6,14,0,0,1,2,3,3
10178,8656201,ont-gamified,Outlaws,Apprentice,Social Achiever,48,24,0,0,13,5,7,0,0,0,0
10179,10310759,w/o-gamified,Grupo10,Master,NA,48,52,0,6,0,6,0,1,1,2,2
10181,10276866,w/o-gamified,Grupo2,Apprentice,NA,56,65,0,14,7,0,0,1,2,3,4
10183,10352030,w/o-gamified,Grupo3,Apprentice,NA,38,65,0,4,6,6,0,NA,NA,NA,NA
10184,10276675,w/o-gamified,Grupo10,Apprentice,NA,56,0,0,0,0,0,0,1,1,1,2
10185,10276960,w/o-gamified,Grupo9,Apprentice,NA,56,0,0,0,0,0,0,1,2,3,4
10186,10310551,ont-gamified,Slayers,Apprentice,Social Achiever,38,63,6,12,0,6,8,1,2,3,4
10187,9790781,ont-gamified,Mafia,Apprentice,Social Achiever,56,24,0,0,5,5,0,NA,NA,NA,NA
10188,10276995,ont-gamified,Vandals,Master,Yee Achiever,56,65,18,14,0,6,18,1,1,1,1
10189,9363926,ont-gamified,Vikings,Apprentice,Social Achiever,20,77,0,0,0,0,18,1,2,2,3
10190,10276907,w/o-gamified,Grupo4,Apprentice,NA,2,52,0,6,0,7,0,1,1,2,2
10191,10276981,w/o-gamified,Grupo1,Master,NA,38,77,0,0,0,6,8,1,1,1,1
10192,10276682,ont-gamified,Attractive Devils,Apprentice,Social Achiever,47,78,18,14,0,6,18,1,1,1,1
10193,10276762,ont-gamified,Vandals,Apprentice,Yee Achiever,13,65,0,14,0,12,9,1,2,2,3
10197,10276661,w/o-gamified,Grupo8,Apprentice,NA,20,78,18,0,0,0,8,1,1,1,1
10198,10310888,ont-gamified,Attractive Devils,Apprentice,Social Achiever,47,64,8,14,7,6,0,1,1,1,1
10200,9795272,ont-gamified,Warriors,Apprentice,Social Achiever,47,78,8,0,0,6,0,NA,NA,NA,NA
10201,10276928,w/o-gamified,Grupo11,Apprentice,NA,37,65,8,0,14,0,0,1,1,1,1
10202,10277036,ont-gamified,Silly Knights,Apprentice,Social Achiever,56,64,18,6,14,6,0,NA,NA,NA,NA
10203,9921470,ont-gamified,Mercenaries,Apprentice,Social Achiever,11,50,0,6,0,0,0,NA,NA,NA,NA
10204,10310471,w/o-gamified,Grupo6,Apprentice,NA,56,52,8,0,0,14,0,1,1,2,2
10206,10310721,w/o-gamified,Grupo8,Apprentice,NA,38,77,7,6,14,6,0,1,1,1,1
10209,10262669,ont-gamified,Mafia,Apprentice,Social Achiever,56,65,18,14,14,6,8,1,1,1,1
10210,10277015,w/o-gamified,Grupo6,Apprentice,NA,47,64,18,0,6,6,0,1,2,2,3
10213,10277040,w/o-gamified,Grupo7,Apprentice,NA,56,78,0,0,0,5,8,1,2,3,4
10214,10277022,ont-gamified,Vikings,Apprentice,Social Achiever,21,52,8,14,14,12,0,1,1,1,1
10215,9285227,ont-gamified,Vikings,Master,Social Achiever,20,78,0,14,7,0,0,1,2,3,4
10216,10276720,ont-gamified,Silly Knights,Master,Social Achiever,56,65,0,6,14,14,0,NA,NA,NA,NA
10217,9805341,w/o-gamified,Grupo9,Apprentice,NA,56,65,6,14,14,6,6,1,1,2,2
10218,9842913,w/o-gamified,Grupo10,Apprentice,NA,56,78,0,0,0,0,0,NA,NA,NA,NA
10219,10276831,w/o-gamified,Grupo3,Master,NA,39,50,8,14,0,0,0,1,2,2,3
10220,9760151,w/o-gamified,Grupo3,Apprentice,NA,38,38,0,0,0,14,9,NA,NA,NA,NA
10221,9082496,ont-gamified,Warriors,Apprentice,Social Achiever,29,39,0,0,0,6,0,1,2,3,3
10223,9795185,ont-gamified,Slayers,Master,Social Achiever,20,52,0,6,14,12,8,NA,NA,NA,NA
10226,10310342,w/o-gamified,Grupo4,Apprentice,NA,56,50,0,0,7,7,0,1,2,3,4
10227,9274382,w/o-gamified,Grupo5,Master,NA,0,65,0,8,8,8,10,NA,NA,NA,NA
10228,10310492,ont-gamified,Resistance,Apprentice,Social Achiever,21,39,0,6,7,0,0,1,2,2,3
10230,10351992,ont-gamified,Resistance,Master,Social Achiever,2,50,8,0,0,0,8,0,0,0,0
10231,10276911,w/o-gamified,Grupo9,Master,NA,38,78,0,14,14,0,18,1,1,1,1
10232,10276974,w/o-gamified,Grupo7,Apprentice,NA,29,78,8,6,5,4,0,1,2,3,4
10237,10377688,ont-gamified,Outlaws,Apprentice,Social Achiever,56,37,8,0,6,0,8,1,2,2,3
10238,10276953,w/o-gamified,Grupo2,Master,NA,38,64,0,0,14,6,0,NA,NA,NA,NA
10240,10276654,w/o-gamified,Grupo5,Apprentice,NA,29,51,0,6,14,0,0,1,2,3,4
