NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2
8656201,10178,ont-gamified,Outlaws,Apprentice,Social Achiever,30,0,22,22,0,0,0
9082496,10221,ont-gamified,Warriors,Apprentice,Social Achiever,22,13,0,0,0,0,8
9274382,10227,w/o-gamified,Grupo5,Master,NA,38,14,11,22,6,14,0
9285227,10215,ont-gamified,Vikings,Master,Social Achiever,29,28,22,10,7,0,8
9363926,10189,ont-gamified,Vikings,Apprentice,Social Achiever,47,11,0,0,5,0,0
9760151,10220,w/o-gamified,Grupo3,Apprentice,NA,29,13,0,22,0,0,8
9790781,10187,ont-gamified,Mafia,Apprentice,Social Achiever,29,0,22,22,0,0,0
9795185,10223,ont-gamified,Slayers,Master,Social Achiever,29,14,0,22,14,14,0
9795272,10200,ont-gamified,Warriors,Apprentice,Social Achiever,29,27,10,0,6,0,0
9805341,10217,w/o-gamified,Grupo9,Apprentice,NA,29,26,0,22,14,0,18
9842913,10218,w/o-gamified,Grupo10,Apprentice,NA,29,13,22,22,0,0,8
9921470,10203,ont-gamified,Mercenaries,Apprentice,Social Achiever,30,42,22,0,0,0,8
10260351,10170,w/o-gamified,Grupo11,Apprentice,NA,21,12,10,22,0,7,18
10262669,10209,ont-gamified,Mafia,Apprentice,Social Achiever,29,28,10,22,0,14,8
10273971,10172,w/o-gamified,Grupo5,Apprentice,NA,38,41,0,0,7,0,0
10276654,10240,w/o-gamified,Grupo5,Apprentice,NA,29,27,0,22,0,6,0
10276661,10197,w/o-gamified,Grupo8,Apprentice,NA,29,28,0,22,13,0,8
10276675,10184,w/o-gamified,Grupo10,Apprentice,NA,29,28,11,22,7,0,18
10276682,10192,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29,25,22,22,0,0,0
10276720,10216,ont-gamified,Silly Knights,Master,Social Achiever,29,28,10,22,7,7,0
10276762,10193,ont-gamified,Vandals,Apprentice,Yee Achiever,29,27,11,22,6,0,0
10276831,10219,w/o-gamified,Grupo3,Master,NA,21,27,10,22,14,0,0
10276852,10174,w/o-gamified,Grupo7,Master,NA,38,14,10,22,6,14,8
10276866,10181,w/o-gamified,Grupo2,Apprentice,NA,29,26,0,0,7,0,0
10276907,10190,w/o-gamified,Grupo4,Apprentice,NA,29,12,0,10,7,6,8
10276911,10231,w/o-gamified,Grupo9,Master,NA,29,42,0,22,14,14,8
10276928,10201,w/o-gamified,Grupo11,Apprentice,NA,29,27,0,22,14,14,0
10276949,10176,ont-gamified,Outlaws,Master,Social Achiever,29,27,22,18,14,14,0
10276953,10238,w/o-gamified,Grupo2,Master,NA,56,11,22,0,14,0,8
10276960,10185,w/o-gamified,Grupo9,Apprentice,NA,47,42,22,0,7,0,0
10276974,10232,w/o-gamified,Grupo7,Apprentice,NA,29,27,22,22,0,6,7
10276981,10191,w/o-gamified,Grupo1,Master,NA,29,41,22,22,0,13,0
10276995,10188,ont-gamified,Vandals,Master,Yee Achiever,30,14,0,22,14,14,0
10277015,10210,w/o-gamified,Grupo6,Apprentice,NA,30,40,11,0,6,12,0
10277022,10214,ont-gamified,Vikings,Apprentice,Social Achiever,20,0,10,0,0,6,0
10277036,10202,ont-gamified,Silly Knights,Apprentice,Social Achiever,29,26,0,0,0,0,0
10277040,10213,w/o-gamified,Grupo7,Apprentice,NA,21,12,0,22,0,7,18
10310342,10226,w/o-gamified,Grupo4,Apprentice,NA,29,12,10,0,6,0,9
10310471,10204,w/o-gamified,Grupo6,Apprentice,NA,29,13,10,0,7,6,0
10310492,10228,ont-gamified,Resistance,Apprentice,Social Achiever,29,0,0,0,0,0,8
10310551,10186,ont-gamified,Slayers,Apprentice,Social Achiever,21,29,12,10,8,8,0
10310700,10175,ont-gamified,Warriors,Master,Social Achiever,29,28,0,10,7,14,18
10310721,10206,w/o-gamified,Grupo8,Apprentice,NA,39,27,10,0,13,0,18
10310759,10179,w/o-gamified,Grupo10,Master,NA,48,27,22,22,6,6,8
10310888,10198,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29,27,0,0,7,0,0
10351992,10230,ont-gamified,Resistance,Master,Social Achiever,29,24,22,22,12,0,8
10352030,10183,w/o-gamified,Grupo3,Apprentice,NA,29,26,22,0,0,0,0
10377538,10169,ont-gamified,Resistance,Apprentice,Social Achiever,29,14,10,0,0,0,0
10377688,10237,ont-gamified,Outlaws,Apprentice,Social Achiever,29,27,0,22,14,0,0
