UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2,P4s0,P4s1,P4s2,P4s3
10169,10377538,ont-gamified,Resistance,Apprentice,Social Achiever,29,14,10,0,0,0,0,NA,NA,NA,NA
10170,10260351,w/o-gamified,Grupo11,Apprentice,NA,21,12,10,22,0,7,18,NA,NA,NA,NA
10172,10273971,w/o-gamified,Grupo5,Apprentice,NA,38,41,0,0,7,0,0,NA,NA,NA,NA
10174,10276852,w/o-gamified,Grupo7,Master,NA,38,14,10,22,6,14,8,NA,NA,NA,NA
10175,10310700,ont-gamified,Warriors,Master,Social Achiever,29,28,0,10,7,14,18,NA,NA,NA,NA
10176,10276949,ont-gamified,Outlaws,Master,Social Achiever,29,27,22,18,14,14,0,NA,NA,NA,NA
10178,8656201,ont-gamified,Outlaws,Apprentice,Social Achiever,30,0,22,22,0,0,0,NA,NA,NA,NA
10179,10310759,w/o-gamified,Grupo10,Master,NA,48,27,22,22,6,6,8,NA,NA,NA,NA
10181,10276866,w/o-gamified,Grupo2,Apprentice,NA,29,26,0,0,7,0,0,NA,NA,NA,NA
10183,10352030,w/o-gamified,Grupo3,Apprentice,NA,29,26,22,0,0,0,0,NA,NA,NA,NA
10184,10276675,w/o-gamified,Grupo10,Apprentice,NA,29,28,11,22,7,0,18,1,2,2,3
10185,10276960,w/o-gamified,Grupo9,Apprentice,NA,47,42,22,0,7,0,0,NA,NA,NA,NA
10186,10310551,ont-gamified,Slayers,Apprentice,Social Achiever,21,29,12,10,8,8,0,NA,NA,NA,NA
10187,9790781,ont-gamified,Mafia,Apprentice,Social Achiever,29,0,22,22,0,0,0,NA,NA,NA,NA
10188,10276995,ont-gamified,Vandals,Master,Yee Achiever,30,14,0,22,14,14,0,1,1,1,1
10189,9363926,ont-gamified,Vikings,Apprentice,Social Achiever,47,11,0,0,5,0,0,NA,NA,NA,NA
10190,10276907,w/o-gamified,Grupo4,Apprentice,NA,29,12,0,10,7,6,8,NA,NA,NA,NA
10191,10276981,w/o-gamified,Grupo1,Master,NA,29,41,22,22,0,13,0,NA,NA,NA,NA
10192,10276682,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29,25,22,22,0,0,0,NA,NA,NA,NA
10193,10276762,ont-gamified,Vandals,Apprentice,Yee Achiever,29,27,11,22,6,0,0,NA,NA,NA,NA
10197,10276661,w/o-gamified,Grupo8,Apprentice,NA,29,28,0,22,13,0,8,1,2,3,4
10198,10310888,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29,27,0,0,7,0,0,NA,NA,NA,NA
10200,9795272,ont-gamified,Warriors,Apprentice,Social Achiever,29,27,10,0,6,0,0,0,0,0,0
10201,10276928,w/o-gamified,Grupo11,Apprentice,NA,29,27,0,22,14,14,0,NA,NA,NA,NA
10202,10277036,ont-gamified,Silly Knights,Apprentice,Social Achiever,29,26,0,0,0,0,0,NA,NA,NA,NA
10203,9921470,ont-gamified,Mercenaries,Apprentice,Social Achiever,30,42,22,0,0,0,8,NA,NA,NA,NA
10204,10310471,w/o-gamified,Grupo6,Apprentice,NA,29,13,10,0,7,6,0,0,0,0,0
10206,10310721,w/o-gamified,Grupo8,Apprentice,NA,39,27,10,0,13,0,18,NA,NA,NA,NA
10209,10262669,ont-gamified,Mafia,Apprentice,Social Achiever,29,28,10,22,0,14,8,NA,NA,NA,NA
10210,10277015,w/o-gamified,Grupo6,Apprentice,NA,30,40,11,0,6,12,0,NA,NA,NA,NA
10213,10277040,w/o-gamified,Grupo7,Apprentice,NA,21,12,0,22,0,7,18,NA,NA,NA,NA
10214,10277022,ont-gamified,Vikings,Apprentice,Social Achiever,20,0,10,0,0,6,0,NA,NA,NA,NA
10215,9285227,ont-gamified,Vikings,Master,Social Achiever,29,28,22,10,7,0,8,NA,NA,NA,NA
10216,10276720,ont-gamified,Silly Knights,Master,Social Achiever,29,28,10,22,7,7,0,NA,NA,NA,NA
10217,9805341,w/o-gamified,Grupo9,Apprentice,NA,29,26,0,22,14,0,18,NA,NA,NA,NA
10218,9842913,w/o-gamified,Grupo10,Apprentice,NA,29,13,22,22,0,0,8,NA,NA,NA,NA
10219,10276831,w/o-gamified,Grupo3,Master,NA,21,27,10,22,14,0,0,0,0,0,0
10220,9760151,w/o-gamified,Grupo3,Apprentice,NA,29,13,0,22,0,0,8,NA,NA,NA,NA
10221,9082496,ont-gamified,Warriors,Apprentice,Social Achiever,22,13,0,0,0,0,8,NA,NA,NA,NA
10223,9795185,ont-gamified,Slayers,Master,Social Achiever,29,14,0,22,14,14,0,NA,NA,NA,NA
10226,10310342,w/o-gamified,Grupo4,Apprentice,NA,29,12,10,0,6,0,9,NA,NA,NA,NA
10227,9274382,w/o-gamified,Grupo5,Master,NA,38,14,11,22,6,14,0,NA,NA,NA,NA
10228,10310492,ont-gamified,Resistance,Apprentice,Social Achiever,29,0,0,0,0,0,8,NA,NA,NA,NA
10230,10351992,ont-gamified,Resistance,Master,Social Achiever,29,24,22,22,12,0,8,NA,NA,NA,NA
10231,10276911,w/o-gamified,Grupo9,Master,NA,29,42,0,22,14,14,8,NA,NA,NA,NA
10232,10276974,w/o-gamified,Grupo7,Apprentice,NA,29,27,22,22,0,6,7,NA,NA,NA,NA
10237,10377688,ont-gamified,Outlaws,Apprentice,Social Achiever,29,27,0,22,14,0,0,NA,NA,NA,NA
10238,10276953,w/o-gamified,Grupo2,Master,NA,56,11,22,0,14,0,8,NA,NA,NA,NA
10240,10276654,w/o-gamified,Grupo5,Apprentice,NA,29,27,0,22,0,6,0,NA,NA,NA,NA
